AUTHOR;DATES / CENTURY;VIAF;TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;KEY WORDS Unite;LINKS;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3
Bajus, Michael;1513 - 1589;http://viaf.org/viaf/27053334;De Libero hominis arbitrio eiusq[ue] potestate, liber unus Item de iustitia & iustificatione libri duo accessit praeterea eiusdem autoris de sacrificio liber unus;1563;Leuven;;Petrus Zangrius;Latin;;Catholicism;Free Will;;;;"Catholicism; Free Willi;";https://books.google.it/books?id=s82yTOflD-IC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Barksdale, Clement;1609 - 1687;http://viaf.org/viaf/40786212;The Sacrifice. A sermon upon psalm 51,17;1655;[Oxford];;"T.W. ; W. Lee";English;;Anglicanism;Sermons;Bible, Psalms;;;"Anglicanism;Sermons;Bible, Psalms;;";https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A30957/A30957.html?sequence=5&isAllowed=y;1. Sacrifice and Bible (16th-18th century);;
Batt, John;16 - 17;;The royall priesthood of Christians: an excellent treatise, wherein the nature of the priesthood, the function of the priests, and qualitie of the sacrifice is lively portrayed, for the sure building up of the faithfull professors of the gospell, in holinesse and sanctitie of life;1605;London;;T. Este for Thomas Man;English;;Catholicism;Priesthood;Judaism;Living Sacrifices;;"Catholicism;Priesthood;Judaism;Living Sacrifices;";https://books.googleusercontent.com/books/content?req=AKW5QacGrRJz0RRLEC8ypmVmVYz55BO0eYXmqGH-lyRlyLwJ3kI45OyuQ6qDZJ63dOpcmBvCvoWaE3qJW6_SI2roLs9hBlURKmdDftg2d56ylU7kT8zekJqZIg80WvS7YyHx60GZFdnZPMYC4Nae3LvVBOCuUv-OSgTcLZQ4SjIVKuV6lJYAU0Y8nA-1mlWXbLlYqwzHCjjm7_AfaLcFC4wCPhQxexzy2YxKRoeeXa_oSfVTbnPa1l-mbDKtWkBq2UFBGCUJ-9OQoAqpexKcwU_9bzc-a2H1RVlj32MHSMUQi37-AfJhUVw;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century)
Bauer, Christian Friedrich;1696 - 1752;http://viaf.org/viaf/25432117;Disputatio Theologica De Sacrificio Laudis Confessione Nominis Christi Perficiendo;1747;Wittenberg;; Eichsfeldius;Latin;;Catholicism;"
Bible, Pentateuch";Disputes;Sacraments;;"Catholicism;
Bible, Pentateuch;Disputes;Sacraments;";https://digital.slub-dresden.de/werkansicht/dlf/60829/1/0/;1. Sacrifice and Bible (16th-18th century);;
Becanus, Martinus;1563 - 1624;http://viaf.org/viaf/41951877;De triplici sacrificio naturae, legis, gratiae. Libelli tres;1610;Mainz;;Ioannes Albinus;Latin;;Catholicism;Jesuits (S.J.);Abel and Cain;Noah;Abraham and Isaac;"Catholicism;Jesuits (S.J.);Abel and Cain;Noah;Abraham and Isaac";https://ia802709.us.archive.org/23/items/bub_gb_YoFjHgVTaHYC/bub_gb_YoFjHgVTaHYC.pdf;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);
Benson, George;1699 - 1762;http://viaf.org/viaf/18642080;Second thoughts concerning the sufferings and death of Christ, as a propitiatory sacrifice for the sins of the world, and a satisfaction to divine justice;1748;London;;"J. Waugh ; J. Noon ; R. King";English;;Anglicanism;Christ's sacrifice;Bible, Old Testament;Bible, New Testament;;"Anglicanism;Christ's sacrifice;Bible, Old Testament;Bible, New Testament;";https://books.google.it/books?id=wRS-MAzkaU4C&newbks=0&printsec=frontcover&dq=Second+thoughts+concerning+the+sufferings+and+death+of+Christ&hl=it&redir_esc=y#v=onepage& q=Second%20thoughts%20concerning%20the%20sufferings%20and%20death%20of%20Christ&f=false;1. Sacrifice and Bible (16th-18th century);;
Beyer, Hartmann;1516 - 1577;http://viaf.org/viaf/50016413;De ficticio Missae Sacrificio argumenta Sophistarum Pontificiorum cum refutationibus eorundem. Argumenta vera, firma, & perspicua contra Sacrificium Missae Papisticae;1550;[Magdeburg];;[Christianus Rhodius];Latin;;Lutheranism;Anti-Catholic Controversy;Mass;;;"Lutheranism;Anti-Catholic Controversy;Mass;;";https://daten.digitale-sammlungen.de/~db/0001/bsb00017784/images/;4. Sacrifice and Eucharist (16th-18th century);;
Bèze, Théodore de;1519 - 1605;http://viaf.org/viaf/66463755;Abraham sacrifiant. Tragedie françoise;1550;Geneve;;"Jean Crespin ; Conrad Badius";;"also included in Poemata. Psalmi Davidici [...], n.p. H. Estienne, 1576; A tragedie of Abrahams sacrifice, written in french by Theodore Beza, and translated into Inglish (sic!),  A.G.  Powles Belchamp 1575; London, Thomas Vautroullier dwelling in the Blacke Friers, 1577; Tragedie françoise du Sacrifice d'Abraham par Théodore de Bèze, [Genève], Gabriel Cartier, 1582; Abrahamus Scrifiant tragoedia translated in latin by Jean Jaquemont, Genève, n. p.,  1598; Tragedie Francoise Du Sacrifice D'Abraham, Hanaw, David Aubry, 1628; Le sacrifice d'Abraham, dont l'argument est pris du vingt-deuxième chapitre de la Genèse, G. Briden, n. p., 1690";Tragedies;Abraham and Isaac;Theatre;Bible, Genesis;Bible, Old Testament;"Tragedies;Abraham and Isaac;Theatre;Bible, Genesis;Bible, Old Testament";https://www.e-rara.ch/mhr_g/content/titleinfo/3930469;1. Sacrifice and Bible (16th-18th century);;
Bèze, Théodore de;1519 - 1605;http://viaf.org/viaf/66463755;Poemata. Psalmi Davidici XXX. Sylvae. Elegiae. Epigrammata, cum alia varii argumenti, tum Epitaphia, et quae peculiari nomine Iconas inscripsit. Omnia in hac tertia editione, partim recognita, partim locupletata;1576;Geneve;;H. Estienne ;;;Bible, Psalms;Poems;Epitaphs;;;"Bible, Psalms;Poems;Epitaphs;;";https://books.google.it/books/about/Theod_Bezae_poemata_Psalmi_Davidici_XXX.html?id=CP37N05c6QkC&redir_esc=y;1. Sacrifice and Bible (16th-18th century);;
Bona, Giovanni;1609 - 1674;http://viaf.org/viaf/37060997;De sacrificio Missae tractatus asceticus. Continens praxim attentè, deuotè, & reuerenter celebrandi;1658;Rome;;Fabius de Falchus;Latin;"Rothomagi, Sumpt. Lud. Billaine bibliop. parisiensis, apud quem prostat, 1668; Monachii, typis Lucae Staub, 1674; Petrum Ketteler, Coloniae, 1680; Parisiis, Vitre, Antoine, 1681; Romae, Felice Cesaretti, Giovanni Battista Bussotti, 1684; Romae & Bergomi, Rubeos, 1687; Zenobi, Romae, Gaetano & Giorgio Placho, 1699; Neapoli, Novello De Bonis, 1714;  Romae, Salvioni in Archigymnasio Sapientiae, 1718; Tridenti Johannis Baptistae Paronii, 1725; Johannis Baptistam Recurti, 1725; Lugduni, Jacobi Lions, 1730; Urbini, Antonium Fantauzzi, 1732; Monteregali, Iohannis Francisci De-Rubeis, 1733; Roma - Mediolani, Josephi Pandulphi Malatestae, 1735; Parisiis, Hippolytum-Ludovicum Guerin, 1747; Neapoli, Raimondi, Giuseppe, 1755; Parmae, fratrum Borsi, 1766; Venetiis, Petri Savioni, 1774; Roma, Generosi Salomoni, 1778";Catholicism;Catholic Liturgy;Mass;;;"Catholicism;Catholic Liturgy;Mass;;";https://archive.org/details/bub_gb_5sneAaKvCYQC;4. Sacrifice and Eucharist (16th-18th century);;
Bray, William;? - 1644;http://viaf.org/viaf/93589756;A sermon of the blessed sacrament of the Lords Supper;1641;London;; T. and R. C. for Henry Seile;English;;Last Supper;Disputes;Anglicanism;Sermons;;"Last Supper;Disputes;Anglicanism;Sermons;";"https://quod.lib.umich.edu/e/eebo2/A77288.0001.001?rgn=main;view=fulltext";4. Sacrifice and Eucharist (16th-18th century);;
Pietro Lombardo;[1110] - 1160;http://viaf.org/viaf/51797933;Examen doctrinae Sorbonicae, De Eucharistiae sacramento & sacrificio;1566;n. p.;;n. p.;Latin;;Doctrin;Eucharist;Catholic;Sorbonne University;Controversy;"Doctrin;Eucharist;Catholic;Sorbonne University;Controversy";https://books.google.it/books?id=j887AAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
[Nelson, Robert];1656 - 1715;http://viaf.org/viaf/18664895;"The great duty of frequenting the Christian sacrifice, and the nature of the preparation required With suitable devotions. Partly collected from the antient liturgies. To which are perfixed instructions for confirmation
";1723;Cork;;n. p.;English;London, John Redwood, 1728;Handbooks;Eucharist;Liturgy;Duty;History;"Handbooks;Eucharist;Liturgy;Duty;History";https://books.google.it/books?id=g91nmgEACAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;4. Sacrifice and Eucharist (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Anonymous / Unknown;? - ?;;Solomons sacrifice. With his prayer in Gibeon, and how God appeared to him in a vision and granted his request. To a pleasant new tune;[1635];London;;Gosson Henry;English;;King;Solomon (King);Prayer;Gibeon;Old Testament;"King;Solomon (King);Prayer;Gibeon;Old Testament";https://www.worldcat.org/title/solomons-sacrifice-vvith-his-prayer-in-gibeon-and-how-god-appeared-to-him-in-a-vision-and-granted-his-request-to-a-pleasant-new-tune/oclc/766881879&referer=brief_results;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Barbault, Jean;1705 - 1766;http://viaf.org/viaf/18437480;Monumens antiques, ou, Collection choisie d'anciens bas-reliefs et fragmens egiptiens, grecs, romains, et etrusques : representant les cérémonies religieuses, sacrifices ... : ouvrage qui contient deux cents planches avec leur explication en abrégé;1783;Rome;;Bouchard et Gravier;French;;Ancient Sacrifices;Sacrifice Compared;Sculpture;Ancient Egyptians;Ancient Greeks;"Ancient Sacrifices;Sacrifice Compared;Sculpture;Ancient Egyptians;Ancient Greeks"; https://www.worldcat.org/title/monumens-antiques-ou-collection-choisie-danciens-bas-reliefs-et-fragmens-egiptiens-grecs-romains-et-etrusques-representant-les-ceremonies-religieuses-sacrifices-ouvrage-qui-contient-deux-cents-planches-avec-leur-explication-en-abrege/oclc/79272795&referer=brief_results;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Bona, Giovanni;1609 - 1674;http://viaf.org/viaf/37060997;De la Liturgie, ou Traité sur le saint sacrifice de la messe;1854;Paris;;n. p.;French;;Catholic;Eucharist;Mass;Liturgy;;"Catholic;Eucharist;Mass;Liturgy;";https://www.worldcat.org/title/de-la-liturgie-ou-traite-sur-le-saint-sacrifice-de-la-messe/oclc/1079956152&referer=brief_results;4. Sacrifice and Eucharist (16th-18th century);;
Boyd, Robert;1578 - 1627;http://viaf.org/viaf/76304323;A spirituall hymne or The sacrifice of a sinner to be offred upon the altar of a humbled heart, to Christ our Redeemer. Inverted in English sapphicks, from the Latine, of the reverend, religious, and learned divine, Mr Robert Boyd of Trocborege. By Sr William Mure yo: of Rowallane knight. By whom is also annexed a poeme, entituled Doomes-day. Containing, hells horrour, and heavens happinesse;1628;Edinburgh;;n. p.;English;;Calvinist;Presbyterian;Christ's Redemption;Individual Sacrifice;;"Calvinist;Presbyterian;Christ's Redemption;Individual Sacrifice;";https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A16534 ;4. Sacrifice and Eucharist (16th-18th century);;
"Boyd, Robert; Mure, William";"1578 - 1627; 1594 - 1657";"http://viaf.org/viaf/76304324; http://viaf.org/viaf/60538685";A spirituall hymne or The sacrifice of a sinner : to be offred vpon the altar of a humbled heart, to Christ our Redeemer. Inverted in English sapphicks, from the Latine, of the reverend, religious, and learned divine, Mr Robert Boyd of Trocborege. By Sr William Mure yo: of Rowallane knight. By whom is also annexed a poeme, entituled Doomes-day. Containing, hells horrour, and heavens happinesse;1628;Edinburgh;;Wreittoun Iohn;English;;Spiritual;Scotland;Sin;Hymn;;"Spiritual;Scotland;Sin;Hymn;";https://www.worldcat.org/title/spirituall-hymne-or-the-sacrifice-of-a-sinner-to-be-offred-vpon-the-altar-of-a-humbled-heart-to-christ-our-redeemer-inverted-in-english-sapphicks-from-the-latine-of-the-reverend-religious-and-learned-divine-mr-robert-boyd-of-trocborege-by-sr-william-mure-yo-of-rowallane-knight-by-whom-is-also-annexed-a-poeme-entituled-doomes-day-containing-hells-horrour-and-heavens-happinesse/oclc/1203324404&referer=brief_results;4. Sacrifice and Eucharist (16th-18th century);;
Brevint, Daniel;1616 - 1695;http://viaf.org/viaf/64351670;The Christian sacrament and sacrifice: by way of discourse, meditation, and prayer upon the nature, parts, and blessings of the Holy communion;1673;Oxford;;n. p.;English;London, J. Walthoe, J. Bonwicke, J. Rivington and J. Fletcher. E. Wicksteed, 1757 ;Anglican;Eucharist;Prayers;Meditations;Meditations;"Anglican;Eucharist;Prayers;Meditations;Meditations";https://translate.google.com/translate?hl=it&sl=en&u=https://quod.lib.umich.edu/e/eebo2/A29341.0001.001%3Fview%3Dtoc&prev=search&pto=aue ;4. Sacrifice and Eucharist (16th-18th century);;
Brevint, Daniel;1616 - 1695;http://viaf.org/viaf/64351670;The Christian sacrament and sacrifice. Missale Romanum;1847;London;;"Vincent J.; Hatchard and son";English;;Anglican;Eucharist;Liturgical Books;Liturgical Books;;"Anglican;Eucharist;Liturgical Books;Liturgical Books;";https://books.google.it/books?id=FrYHAAAAQAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;4. Sacrifice and Eucharist (16th-18th century);;
Baker, William;1585 - ?;http://viaf.org/viaf/17091426;Homilia De Abrahami sacrificio;1602;Geneva;;Le Preux Iohannes;Latin;Geneva, J. Le Preux, 1604;Reformed;Abraham;Homily/Sermon;Bible, Genesis;;"Reformed;Abraham;Homily/Sermon;Bible, Genesis;";https://books.google.it/books?id=TPs_AAAAcAAJ&printsec=frontcover&source=gbs_v2_summary_r&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);;
Bunyan, John;1628 - 1688; http://viaf.org/viaf/71388170;The acceptable sacrifice, or, The excellency of a broken heart shewing the nature, signs and proper effects of a contrite spirit;1689;London;;Larkin George;English;;Mysticism;Puritan;Baptist;Individual Sacrifice;Individual Sacrifice;"Mysticism;Puritan;Baptist;Individual Sacrifice;Individual Sacrifice";https://www.worldcat.org/title/acceptable-sacrifice-or-the-excellency-of-a-broken-heart-shewing-the-nature-signs-and-proper-effects-of-a-contrite-spirit/oclc/12085612&referer=brief_results;6. Sacrifices of self: Martyrology after Reformation (16th-18th century);;
Calvin, Jean;1509 - 1564;http://viaf.org/viaf/90631825;Trois sermons sur le sacrifice d'Abraham : au commencement et à la fin du premier desquels, sont inserées les prieres que l'auteur a acccoustumées faire en ses sermons ordinaires;1561;Geneva;;n. p.;French;;Sermon;Prayers;Calvinist;Isaac;Bible, Genesis;"Sermon;Prayers;Calvinist;Isaac;Bible, Genesis";http://www.e-rara.ch/zuz/content/titleinfo/340931;1. Sacrifice and Bible (16th-18th century);;
Caron, Claude;? - 1609;http://viaf.org/viaf/213069454;Response aux blasphèmes d'un ministre de Calvin sacramentaire semez dans ses escris contre le S. Sacrifice de l'autel;1590;Tournon;;n. p.;French;;Calvinism;Controversy;Sacraments;Lyturgical Books;Catholic;"Calvinism;Controversy;Sacraments;Lyturgical Books;Catholic";"https://books.google.it/books?id=9gs8AAAAcAAJ&pg=PA3&lpg=PA3&dq=R%C3%A9ponse+aux+blasph%C3%A8mes+d%27un+ministre+de+Calvin+sacramentaire+semez+dans+ses+escris+contre+le+S.+Sacrifice+de+l%27autel&source=bl&ots=i-CVh1W8td&sig=ACfU3U3BtQzzSxjqz1RFQTcoq1ZNm6E9Qg&hl=it&sa=X&ved=2ahUKEwi29ezw_qzwAhWLKewKHaVgCKwQ6AEwA3oECAEQAw#v=onepage&q=R%C3%A9ponse%20aux%20blasph%C3%A8mes%20d'un%20ministre%20de%20Calvin%20sacramentaire%20semez%20dans%20ses%20escris%20contre%20le%20S.%20Sacrifice%20de%20l'autel&f=false
";6. Sacrifices of self: Martyrology after Reformation (16th-18th century);;
Cennick, John;1718 - 1755;http://viaf.org/viaf/70359049;"Twenty discourses on the following important subjects, viz. I. The woman of Samaria. II. The first Principles of Christianity. III. The Sufferings and Satisfaction of Christ. IV. The Beetitudes. V. The Dasmoniac. VI. Dives and Lazarus. Vii. The hidden Treasure. Viii. The Offices of the Messiah. IX. The great Sacrifice. X. Lot's Flight. XI. Deliverance from Death. XII. The Privilege of Believers. XIII. The Patterns of Mercy. XIV. The Vision of dry Bones. XV. The Safety of a true Christian. XVI. The Assurance of Faith ; or, the Experience of a true Christian. XVII. The linsey-woolsey Garment. XVIII. The Reproach of the Cross. XIX. The Widow of Nain. XX. The beatific vision ; or, beholding Jesus crucified. By John Cennick. vol. II";1765;London;;Lewis M.;English;;Sermons;Methodist;Moravian Church;Christ's sacrifice;;"Sermons;Methodist;Moravian Church;Christ's sacrifice;";https://www.worldcat.org/title/twenty-discourses-on-the-following-important-subjects-viz-i-the-woman-of-samaria-ii-the-first-principles-of-christianity-iii-the-sufferings-and-satisfaction-of-christ-iv-the-beetitudes-v-the-dasmoniac-vi-dives-and-lazarus-vii-the-hidden-treasure-viii-the-offices-of-the-messiah-ix-the-great-sacrifice-x-lots-flight-xi-deliverance-from-death-xii-the-privilege-of-believers-xiii-the-patterns-of-mercy-xiv-the-vision-of-dry-bones-xv-the-safety-of-a-true-christian-xvi-the-assurance-of-faith-or-the-experience-of-a-true-christian-xvii-the-linsey-woolsey-garment-xviii-the-reproach-of-the-cross-xix-the-widow-of-nain-xx-the-beatific-vision-or-beholding-jesus-crucified-by-john-cennick-vol-ii/oclc/745127350&referer=brief_results;4. Sacrifice and Eucharist (16th-18th century);;
Challoner, Richard;1691 - 1781;http://viaf.org/viaf/54166109;The Catholic Christian instructed in the sacraments, sacrifice, ceremonies, and observances of the church: By way of question and answer;1786;Philadelphia;;Talbot C.;English;;Handbooks;Catholic;Pedagogy;;;"Handbooks;Catholic;Pedagogy;;";https://books.googleusercontent.com/books/content?req=AKW5Qacuj-Ti9IQ6EVS3pvViUTaqhzIgC1XQ15E3liFm6wid8USLLNRt7eerGgHx1a1WhmdhphJjQqZPhdf6EMKHM_rHIyeJWnwr7xWfJc22QHP8x-v8essKz9QU6ZtxRbY6vBszRaNP_bGTPczPpYtXUQwo19rwdpWPywVXX3qU5DwJtwZWT1IMU1lsK23fQF4f6pHDkxjqJ3T77Bzv7Z9RmRVTo5c7CwdzWmRn50zA7sCRimI9Sva0A4mrwCAKHFVOHUGCWaVbk_-gKw9QdyvkcfOVyiEQxLMif_N4HUIY76PnpJgg0RI;6. Sacrifices of self: Martyrology after Reformation (16th-18th century);;
Challoner, Richard;1691 - 1781;http://viaf.org/viaf/54166109;The Catholick Christian instructed in the sacraments, sacrifice, ceremonies, and observances of the church;1737;London;;C. R.;English;;Eucharist;Catholic;Handbooks;Liturgy;;"Eucharist;Catholic;Handbooks;Liturgy;";https://books.google.it/books?id=MxMLMHCO59oC&printsec=frontcover&hl=it&source=gbs_ViewAPI&redir_esc=y#v=onepage&q&f=false ;4. Sacrifice and Eucharist (16th-18th century);;
Challoner, Richard;1691 - 1781;http://viaf.org/viaf/54166109;The Catholik Christian instructed in the Sacraments, Sacrifice, Ceremonies and Observances of the Church. By way of question and answer;1717;London;;n. p.;English;London, n. p., 1753;Handbooks;Catholic;Eucharist;Liturgy;;"Handbooks;Catholic;Eucharist;Liturgy;";https://www.worldcat.org/title/catholik-christian-instructed-in-the-sacraments-sacrifice-ceremonies-and-observances-of-the-church-by-way-of-question-and-answer-by-r-c-ie-richard-challoner/oclc/752784503?referer=di&ht=edition;4. Sacrifice and Eucharist (16th-18th century);;
