AUTHOR;DATES / CENTURY;VIAF;TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;KEY WORDS Unite;LINKS;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3
Calvin, Jean;1509 - 1564;http://viaf.org/viaf/90631825;Trois sermons sur le sacrifice d'Abraham : au commencement et à la fin du premier desquels, sont inserées les prieres que l'auteur a acccoustumées faire en ses sermons ordinaires;1561;Geneva;;n. p.;French;;Sermon;Prayers;Calvinist;Isaac;Bible, Genesis;"Sermon;Prayers;Calvinist;Isaac;Bible, Genesis";http://www.e-rara.ch/zuz/content/titleinfo/340931;1. Sacrifice and Bible (16th-18th century);;
Chubb, Thomas;1679 - 1747;http://viaf.org/viaf/69269764;"Four tracts. Viz. I. An enquiry concerning the books of the New Testament ... II. Remarks on Britannicus's letters, publish'd in the London journals of the 4th and 11th of April, 1724 ; ... III. The case of Abraham with respect to his being commanded by God to offer his son Isaac in sacrifice ... IV. The equity and reasonableness of a future judgment and retribution exemplify'd";1732;London;;Cox T.;English;;Bible, Genesis;Deist;Old Testament;Abraham;;"Bible, Genesis;Deist;Old Testament;Abraham;";https://www.google.it/books/edition/Chubb_s_Tracts/1erzKE6YDCcC?hl=it&gbpv=1&dq=An+enquiry+concerning+the+books+of+the+New+Testament+chubb&pg=RA3-PA1&printsec=frontcover;1. Sacrifice and Bible (16th-18th century);;
Daillé, Jean;1594 - 1670;http://viaf.org/viaf/12601310;Le sacrifice des chrestiens, sermon fait le 2 de l'an 1633, sur Rom. 12, 1;1645;Paris;;Melchior Mondiere;French;;Sermon;Huguenot;Saint Paul;Romani;;"Sermon;Huguenot;Saint Paul;Romani;";https://books.google.it/books?id=3N08AAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false ;1. Sacrifice and Bible (16th-18th century);;
Dawes, William;1671 - 1724;http://viaf.org/viaf/49573088;An anatomy of atheisme a poem. By the author of The duties of the closet. A verse may find him who a Sermon flyes, And turn Delight into a Sacrifice. Herbert's Poems;1701;London;;Thomas Speed;English;London, Thomas Speed, 1701;Atheism;Anglican;Poem;;;"Atheism;Anglican;Poem;;";https://www.google.it/books/edition/An_Anatomy_of_Atheisme/g-RbAAAAQAAJ?hl=it&gbpv=1&dq=An+anatomy+of+atheisme+a+poem.+By+the+author+of+The+duties+of+the+closet.+A+verse+may+find+him+who+a+Sermon+flyes,+And+turn+Delight+into+a+Sacrifice&pg=PP5&printsec=frontcover;1. Sacrifice and Bible (16th-18th century);;
Drelincourt, Charles;1595 - 1669;http://viaf.org/viaf/144524;Des sacrifices de l'ancienne et de la nouvelle alliance, et de la résignation du fidèle à la volonté de Dieu;1643;Paris;;"n. p.; Nicolas Bourdin, L. Perier";French;;Huguenot;Abraham;Christ's Sacrifice;Alliance;Bible, Genesis;"Huguenot;Abraham;Christ's Sacrifice;Alliance;Bible, Genesis";https://books.google.it/books?id=M2sOAAAAQAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);;
Bartas de Saluste, Guillaume du;1544 - 1590;http://viaf.org/viaf/73852818;The triumph of faith The sacrifice of Isaac. The ship-wracke of Ionas. With a song of the victorie obtained by the French king, at Yvry. Written in French, by W. Salustius lord of Bartas, and translated by Iosuah Siluester, marchant aduenturer;1592;[London];;Richard Yardley;English;;Huguenot;Isaac;;;;"Huguenot;Isaac";https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A68693 ;1. Sacrifice and Bible (16th-18th century);;
Frischmuth, Johann;1619 - 1687;http://viaf.org/viaf/1145304682378611274;ham- Māšîaḥ še-hēśîm nafšô be-āšām Sive Dissertationis Academicae, Qua Deum Opt. Max. Non Sacrificiorum Leiturgia. Sed Unica Illa Messiae Pro Reatu Se Tradentis Hostia, placari ostenditur, ex Psal. XL, 7. seqq. Pars ...: ... Ad d. XIII. Calend. Februar. Anni MDCLXXII.;1672;Jena;;Krebsius;Latin;;Lutheran;Mess;Christ;Hebrew;Liturgy;"Lutheran;Mess;Christ;Hebrew;Liturgy";https://books.google.it/books?id=W91PAAAAcAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);4. Sacrifice and Eucharist (16th-18th century);
Latomus, Bartholomaeus;[1485] - [1570];http://viaf.org/viaf/282060667;De docta simplicitate primae ecclesiae, et de usu calicis in Synaxi, et de Eucharistico sacrificio, adversus petulantem insultationem Iacobi Andreae, Pastoris Göppingensis Barth. Latomi Responsio;1559;Cologne;;Maternum Cholinum;Latin;s.l., Cholinus, 1559;Catholic;Mess;Christianism (first centuries);Controversy;Chalice;"Catholic;Mess;Christianism (first centuries);Controversy;Chalice";https://daten.digitale-sammlungen.de/0002/bsb00023065/images/index.html?fip=193.174.98.30&id=00023065&seite=1;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
Owen, John;1616 - 1683;http://viaf.org/viaf/2480434;Exercitations on the Epistle to the Hebrews also concerning the Messiah wherein the promises concerning him to be a spiritual redeemer of mankind are explained and vindicated, his coming and accomplishment of his work according to the promises is proved and confirmed, the person, or who he is, is declared, the whole oeconomy of the mosaical law, rites, worship, and sacrifice is explained : and in all the doctrine of the person, office, and work of the Messiah is opened, the nature and demerit of the first sin is unfolded, the opinions and traditions of the antient and modern Jews are examined, their objections against the Lord Christ and the Gospel are answered, the time of the coming of the Messiah is stated, and the great fundamental truths of the Gospel vindicated : with an exposition and discourses on the two first chapters of the said epistle to the Hebrews;1668;[London];;"Robert White; Nathaniel Ponder";English;;Saint Paul;Hebrews;Puritan;Christ's sacrifice;;"Saint Paul;Hebrews;Puritan;Christ's sacrifice;";https://ota.bodleian.ox.ac.uk/repository/xmlui/handle/20.500.12024/A53696 ;1. Sacrifice and Bible (16th-18th century);;
Owtram, William;1626 - 1679;http://viaf.org/viaf/12542420;Dissertations;[1677];London;;"John Allen; Burton and Briggs, Gale and Fenner, Hatchard";English;;Jesus Christ;Hebrews;Socinianism;;;"Jesus Christ;Hebrews;Socinianism;;";https://books.google.it/books?id=R94UAAAAYAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false;1. Sacrifice and Bible (16th-18th century);;
Schotanus, Christian;1603 - 1671;http://viaf.org/viaf/23245141;Dissertatio philologico-theologica De sacrificio ... de quo alias Sacer Codex, Lev. 2, v. 1 et Num. 15 v. 4 ... quam divina auxiliante gratia moderatore ... Christiano Schotano publicæ ac placidæ ventilationi subjicit ... Olaus Erici Tormius;1662;Franeker ;;Wellens Johannes;Latin;;Reformed;Philology;Levitic;Numbers;Hebrew;"Reformed;Philology;Levitic;Numbers;Hebrew";https://archive.org/details/den-kbd-all-11010400889F-001;1. Sacrifice and Bible (16th-18th century);;
Taylor, John;1704 - 1766;http://viaf.org/viaf/55291182;The Scripture-doctrine of Antonement Examined: First, in Relation to Jewish Sacrifices: and Then, to the Sacrifice of Our Blessed Lord and Saviour Jesus Christ;1751;London;;J. Waugh;English;;Jewish sacrifice;Sin;Exegesic;punishmentt;;"Jewish sacrifice;Sin;Exegesic;punishmentt;";http://books.google.com/books/download/The_Scripture_doctrine_of_Antonement_Exa.pdf?id=Y9BbAAAAQAAJ&output=pdf&sig=ACfU3U1i11P70fCNxkdWELNfZZVPhFyxaA;1. Sacrifice and Bible (16th-18th century);2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);
