AUTHOR;EDITOR;TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3;TOPIC OR SUBJECT 4;TOPIC OR SUBJECT 5
Albertini, S.;;;Vendetta, sacrificio e sistema giudiziario in Machiavelli;;;;;Stanford University;Stanford;1997;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Arinze, F. A.;;;Sacrifice in Ibo Religion;;;;;University Press;Ibadan;1970;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Bakker, W. F.;;;"The Sacrifice of Abraham : the Cretan Biblical Drama ""E thusia tou Abraam"" and Western European and Greek Tradition";;;;;Ibadan University of Birmingham;Birmingham;1978;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);1. Sacrifice and Bible (16th-18th century);;;
Barugel, A.;;;The Sacrifice of Isaac in Spanish and Sephardic Balladry;;;;;P. Lang;New York;1990;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);5. Sacrifices of self: Martyrology and crusades including Reconquista (12th-20th century);;;
Beers, W.;;;Women and Sacrifice : Male Narcisism and the Psychology of Religion;;;;;Wayne State University Press;Detroit;1992;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Belfiore, V.;"Ancillotti, A.; Calderini, A.; Massarelli, R.";"Sacrifici cruenti e incruenti nei ""testi paralleli"" del Liber Linteus";Forme e strutture della religione nell'Italia mediana antica : 3. Convegno internazionale dell'Istituto di ricerche e documentazione sugli antichi Umbri, 21-25 settembre 2011;;;;35-46;L'Erma di Bretschneider;Roma;2016;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Benveniste, É.;;Sur la terminologie iranienne du sacrifice;;Journal asiatique;252;;46-58;Imprimerie Nationale;Paris;1964;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
"Biardeau, M.; Malamoud, C.";;;Le sacrifice dans l'Inde ancienne;;;;;Presses universitaires de France;Paris;1976;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Bloch, M.;;;Da preda a cacciatore: la politica dell'esperienza religiosa;;;;;R. Cortina;Milano;2005;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Boccara, M.;;;La religion populaire des Mayas : entre metamorphose et sacrifice;;;;;L'Harmattan;Paris;1990;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Bonaccorso, G.;Ubbiali, S.;Il sacrificio come rito o come evento? Un problema aperto in René Girard;Il sacrificio: evento e rito;;;;181-202;Messaggero;Padova;1998;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Bonnechere, P.;;;Le sacrifice humain en Grece ancienne;;;;;Centre international d'Etude de la religion grecque antique;"Athenes ; Liege";1994;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Boustan, R. S.;"Wright Knust, J.; Várhelyi, Z.";Confounding Blood : Jewish Narratives of Sacrifice and Violence in Late Antiquity;Ancient Mediterranean Sacrifice;;;;265-286;Oxford University Press;"Oxford; New York";2011;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Boyce, M.;;;Haoma, Priest of the Sacrifice;;;;;Lund Humpries;London;1970;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Bremmer, J. N.;Settis, S.;Modi di comunicazione con il divino: la preghiera, la divinazione e il sacrificio nella civiltà greca;I greci: storia, cultura, arte, società;;I;;239-284;Einaudi;Torino;1996;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;;;
Ralph Lewis, B.;;;Ritual Sacrifice : an Illustrated History;;;;;Sutton;Stroud;2001;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);0. General bibliography (19th-21th century);;;
