AUTHOR;DATES / CENTURY;VIAF;TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;KEY WORDS Unite;LINKS;TOPIC OR SUBJECT 1;TOPIC OR SUBJECT 2;TOPIC OR SUBJECT 3
Panvino, Onofrio;1529 - 1568;http://viaf.org/viaf/49360443;Onuphrii Panvinii Veronensis, de ludis circensibus, libri ii. De triumphis, liber unus. Quibus universa ferè romanorum veterum sacra ritusq. declarantur, ac figuris aenis illustrantur;1683;Padua;;Petri Marie Frambotti ;Latin;;;;;;;;https://www.worldcat.org/title/onuphrii-panvinii-veronensis-de-ludis-circensibus-libri-ii-de-triumphis-liber-unus-quibus-universa-fere-romanorum-veterum-sacra-ritusq-declarantur-ac-figuris-aenis-illustrantur/oclc/939440424?referer=di&ht=edition;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Philipot, Thomas;? - 1682;http://viaf.org/viaf/24947263;Antiquitas theologica & gentilis, or, Two discourses : the first, concerning the original of churches, and their direct or collateral endowments : the second, touching the religion of the gentiles, their temples, priests, sacrifices, and other ancient rituals. A work necessary for divines, lawyers, antiquaries, historians and poets;1670;London;;"W.G.; R. Needham";English;;Ancient Rituals;Temple;Antiquarian;History;;"Ancient Rituals;Temple;Antiquarian;History;";https://www.google.it/books/edition/Antiquitas_theologica_et_gentilis_Or_two/rOZoAAAAcAAJ?hl=it&gbpv=1&dq=Antiquitas+theologica+%26+gentilis,+or,+Two+discourses+philipot&pg=PP17&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Purchas, Samuel;[1577] - 1626;http://viaf.org/viaf/22239295;Purchas his Pilgrimage, or, Relations of the world and the religions observed in all ages and places discouered, from the creation vnto this present : in foure partes : this first containeth a theologicall and geographicall historie of Asia, Africa, and America, with the ilands adiacent : declaring the ancient religions before the floud, the heathnish, Jewish, and Saracenicall in all ages since ... with briefe descriptions of the countries, nations, states, discoueries, priuate and publike customes, and the most remarkable rarities of nature, or humane industrie, in the same;1613;London;;"William Stansby; Henrie Fetherstone";English;"1614; 1617";;;;;;;https://www.worldcat.org/title/purchas-his-pilgrimage-or-relations-of-the-world-and-the-religions-observed-in-all-ages-and-places-discouered-from-the-creation-vnto-this-present-in-foure-partes-this-first-containeth-a-theologicall-and-geographicall-historie-of-asia-africa-and-america-with-the-ilands-adiacent-declaring-the-ancient-religions-before-the-floud-the-heathnish-jewish-and-saracenicall-in-all-ages-since-with-briefe-descriptions-of-the-countries-nations-states-discoueries-priuate-and-publike-customes-and-the-most-remarkable-rarities-of-nature-or-humane-industrie-in-the-same/oclc/25717233?referer=di&ht=edition;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Rous, Francis;1615 - 1643;http://viaf.org/viaf/55234822;Archæologiæ atticæ libri tres : three books of the Attick antiquities, containing the description of the cities glory, government, division of the people, and townes within the Athenian territories, their religion, superstition, sacrifices, account of their year : as also a full relation of their judicatories;1646;London;;George Calvert;Latin;;Ancient Rituals;Lyturgic;Greeks;;;"Ancient Rituals;Lyturgic;Greeks;;";https://www.archive.org/details/archaeologaeiatt00rous;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Anonymous / Unknown;? - ?;;Descrizione della presente figura mandata in Roma da un missionario apostolico della Cina con le cirimonie, che si praticano nel solenne sacrificio di Confucio: cauata dall'articolo 4. dei quesiti decisi dalla Santità di N.S. Clemente 11. il dì 20. nouembre 1704;[1704];n. p.;;n. p.;Italian;;Catholic;Confucianism;Cina;Mission;Cinese Rites;"Catholic;Confucianism;Cina;Mission;Cinese Rites";https://opac.sbn.it/opacsbn/opaclib?saveparams=false&db=solr_iccu&select_db=solr_iccu&searchForm=opac%2Ficcu%2Favanzata.jsp&resultForward=opac%2Ficcu%2Ffull.jsp&do_cmd=search_show_cmd&extra_rpnlabel=&long_emisfero_da=-&long_gradi_da=&long_primi_da=&long_secondi_da=&long_emisfero_a=-&long_gradi_a=&long_primi_a=&long_secondi_a=&lat_emisfero_da=&lat_gradi_da=&lat_primi_da=&lat_secondi_da=&lat_emisfero_a=&lat_gradi_a=&lat_primi_a=&lat_secondi_a=&nentries=1&rpnlabel=+Titolo+%3D+sacrificio+%28parole+in+AND%29++AND+Titolo+%3D+Roma+%28parole+in+AND%29++AND+Anno+di+pubblicazione%3E%3D1500++AND+Anno+di+pubblicazione%3C%3D1799+&rpnquery=%40attrset+bib-1+%40and+%40and+%40and++%40attr+1%3D4+%40attr+4%3D6+%22sacrificio%22++%40attr+1%3D4+%40attr+4%3D6+%22Roma%22++%40attr+1%3D31+%40attr+4%3D4++%40attr++2%3D4+%221500%22++%40attr+1%3D31+%40attr+4%3D4++%40attr++2%3D2+%221799%22&fname=none&from=2;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);7. Sacrifices of self: Martirology and Catholic global missions (16th-18th century);
Stucki, Johann Wilhelm;1542 - 1607;http://viaf.org/viaf/79252936;Sacrorum, Sacrificiorumq[ue] Gentilium Brevis Et Accurata Descriptio: universae Superstitionis Ethnicae ritus cerimoniasq[ue] complectens: Ad Sacros Et Profanos Scriptores probe intelligendos explicandosq[ue] peraccommodata: Ex Antiquißimis probatißimisq[ue] Auctoribus depromta et nunc primum ...;1598;Zürich;;Johannem Wolphium;Latin;;Reformed;History;Lithurgy/Rites;Ancients;Ethnos;"Reformed;History;Lithurgy/Rites;Ancients;Ethnos";https://www.e-rara.ch/zuz/content/titleinfo/1663576;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Geusius, Jacobus ;? - ?;http://viaf.org/viaf/18338089;Victimae Humanae, complexa Modos, Ceremonias et Tempora quibus olim Homines Diis suis immolabant et humanum sanguinem libabant;1675;Groningen;;Lens, Dominicus;Latin;;Ancient Rituals;Humand Sacrifice;Blood;History;;"Ancient Rituals;Humand Sacrifice;Blood;History;";https://books.google.it/books?id=LsQDn-m49Q4C&pg=PP3&lpg=PP3&dq=Victimae+Humanae,+complexa+Modos,+Ceremonias+et+Tempora+quibus+olim+Homines+Diis+suis+immolabant+et+humanum+sanguinem+libabant&source=bl&ots=epc1Vni5tw&sig=ACfU3U288v45xUJyDUn3tsaTEOjd_YQ5Ew&hl=it&sa=X&ved=2ahUKEwjBuarYjtjwAhUBDuwKHaAXA7UQ6AEwBnoECAcQAw#v=onepage&q=Victimae%20Humanae%2C%20complexa%20Modos%2C%20Ceremonias%20et%20Tempora%20quibus%20olim%20Homines%20Diis%20suis%20immolabant%20et%20humanum%20sanguinem%20libabant&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Blount, Charles ;1654 - 1693;http://viaf.org/viaf/59242131;Great is Diana of the Ephesians, or, The Original of Idolatry, Together with the Politick Institution of the Gentiles Sacrifices;1680;London;;n. p.;English;;Diana;Idolatry;Ancient Sacrifice;Paganism;;"Diana;Idolatry;Ancient Sacrifice;Paganism;";https://quod.lib.umich.edu/e/eebo/A28435.0001.001?view=toc;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
"
Choul, Guillaume du";[1496] - 1555;http://viaf.org/viaf/100204710;Discours sur la religion des anciens Romains;1556;Lyon;;Rouille, Guillaume;French;;Ancient Rituals;Antient Romans;Antiquarianism;;;"Ancient Rituals;Antient Romans;Antiquarianism;;";https://gallica.bnf.fr/ark:/12148/bpt6k54532z.image;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Montesquieu, Charles de Secondat;1689 - 1755;http://viaf.org/viaf/27069096;Pensées;1964;Paris;Barkhausen, Henry;Seuil;French;;Ancient Rituals;Ancient Christians;Antiquarianism;;;"Ancient Rituals;Ancient Christians;Antiquarianism;;";https://www.worldcat.org/title/uvres-completes/oclc/1806765;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Montesquieu, Charles de Secondat;1689 - 1755;http://viaf.org/viaf/27069096;Lettres persanes;1721;Amsterdam;Brunel, Pierre;;French;;Ancient Rituals;Ancient Christians;Iran;;;"Ancient Rituals;Ancient Christians;Iran;;";https://gallica.bnf.fr/ark:/12148/bpt6k1051588x/f5.image.r=;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Jaucourt, Louis de;1704 - 1780;http://viaf.org/viaf/51744988;Sacrifice d'Abel;1751 - 1765;Paris;;;French;;Blood;Abel;Old Testament;Animals;;"Blood;Abel;Old Testament;Animals;";"https://gallica.bnf.fr/ark:/12148/bpt6k50546p?rk=128756;0";2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Stuckius, Johann Wilhelm; 1542 - 1607;http://viaf.org/viaf/79252936;Sacrorum, sacrificiorumque gentilium brevis et accurata descriptio;1598;Zürich;;Wulpius, Johannis;Latin;;Ancient Rituals;Ancient Romans;;;;"Ancient Rituals;Ancient Romans;;;";https://books.google.it/books?id=XG5FAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Mallet, Edme [L'Abbé];1713 - 1755;http://viaf.org/viaf/39619852;Holocauste;1751 - 1767;Paris;;;French;Losanna, 1781;Animals;Blood;Reconciliation;;;"Animals;Blood;Reconciliation;;";https://www.google.it/books/edition/Encyclop%C3%A9die_ou_dictionnaire_raisonn%C3%A9/Xgw7AAAAcAAJ?hl=it&gbpv=1&dq=encyclop%C3%A9die+ou+dictionnaire+raisonn%C3%A9+des+sciences+des+arts+et+des+m%C3%A9tiers+volume+8&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Jaucourt, Louis de ;1704 - 1779;http://viaf.org/viaf/51744988;Moloch;1751 - 1766;Paris;;;French;Neuchatel, 1765;Moloch;;;;;"Moloch;";https://www.google.it/books/edition/Encyclop%C3%A9die_ou_Dictionnaire_raisonn%C3%A9/wDMsgMra5r8C?hl=it&gbpv=1&dq=encyclop%C3%A9die+ou+dictionnaire+raisonn%C3%A9+des+sciences+des+arts+et+des+m%C3%A9tiers+volume+10&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Jaucourt, Louis de ;1704  -1779;http://viaf.org/viaf/51744988;Sacrifices des Hébreux;1751 - 1767;Paris;;;French;;Jews;Old Testament;Paganism;;;"Jews;Old Testament;Paganism;;";"https://gallica.bnf.fr/ark:/12148/bpt6k50546p?rk=128756;0";2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Jaucourt, Louis de ;1704 - 1779;http://viaf.org/viaf/51744988;Sacrifice du paganisme;1751-1768;Paris;;;French;;Paganism;Idolatry;Blood;;;"Paganism;Idolatry;Blood;;";"https://gallica.bnf.fr/ark:/12148/bpt6k50546p?rk=128756;0";2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Jaucourt, Louis de ;1704 - 1779;http://viaf.org/viaf/51744988;Fanatisme;1751-1765;Paris;;;French;;Paganism;Ancient Rituals;;;;"Paganism;Ancient Rituals;;;";https://www.google.it/books/edition/Encyclop%C3%A9die_Ou_Dictionnaire_Raisonn%C3%A9/GnVEAAAAcAAJ?hl=it&gbpv=1&dq=encyclop%C3%A9die+ou+dictionnaire+raisonn%C3%A9+des+sciences+des+arts+et+des+m%C3%A9tiers+volume+6&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Fabrot, Charles Annibal;1580 - 1659;http://viaf.org/viaf/46751372;Ad tit. cod. Theodosiani de paganis, sacrificiis, & templis, notae;1618;Lutetia;;Cramoisiy, Sebastianus;Latin;;;;;;;;https://books.google.com.bz/books?id=91IUAAAAQAAJ&printsec=frontcover&hl=it#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
Merula, Paullus;1558 - 1607;http://viaf.org/viaf/76746817;Opera varia posthuma, De sacrificiis romanorum. De sacerdotibus romanorum. De legibus romanorum. De comitiis romanorum & praemiis quae militiam sequebantur. Juxta autographum cum amplissimo indice edita & recensita;1684;Leiden;;"A Mersche, Petrus; De Vivie, Joannis";Latin;;;;;;;;https://books.google.it/books?id=Oj5AAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
"[Bolland, Jean; Henschen, Godefridus; Tollenaer, Jean de]";"1596 - 1695; 1601 - 1681; 1582 - 1643";"http://viaf.org/viaf/44321670; http://viaf.org/viaf/36941415; http://viaf.org/viaf/45404041";Imago primi saeculi Societatis Iesu a Provincia Flandro-Belgica eiusdem Societatis repraesentata;1640;Antwerp;;ex Officina Plantiniana Balthasaris Moreti;Latin;;Catholicism;Jesuits (S.J.);Antiquarianism;First Christians;;"Catholicism;Jesuits (S.J.);Antiquarianism;First Christians;";https://www.google.it/books/edition/Imago_Primi_Saeculi_Societatis_Iesu/AulVAAAAcAAJ?hl=it&gbpv=1&dq=imago+primi+saeculi&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);6. Sacrifices of self: Martyrology after Reformation (16th-18th century);
"Cavalieri, Giovanni Battista; Circignani, Niccolò";"[1525] - 1601; [1520] - [1596]";"http://viaf.org/viaf/66739143; http://viaf.org/viaf/88623996";Ecclesiae militantis triumphi sive Deo amabilium martyrum gloriosa pro Christi fide certamina ... in ecclesia S. Stephani Rotundi, Romae Nicolai Circiniani pictoris manu visuntur depicta [...];1583;Rome;;Bartholomeus Grassi;Latin;Rome, Bartholomeus Grassi, 1585;Catholicism;Engravings;Rome;First Christians;;"Catholicism;Engravings;Rome;First Christians;";https://www.google.it/books/edition/Ecclesiae_militantis_triumphi_siue_Deo_a/nGHZ5B4YJYAC?hl=it&gbpv=1&dq=ecclesiae+militantis+triumphi&printsec=frontcover;2. Sacrifice and religion: comparisons antiquarians anthropology (16th-18th century);;
