AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Johnson, W.J.;;A Dictionary of Hinduism;A Dictionary of Hinduism;;;;;;Oxford University Press;Oxford;2009
Juncu, M.;;India in the Italian Renaissance: Visions of a Contemporary Pagan World 1300-1600;India in the Italian Renaissance: Visions of a Contemporary Pagan World 1300-1600;;;;;;Routledge;London-New York;2016
;AAVV;Goa and Portugal: History and Development, atti della conferenza tenuta a Goa, 6-9 settembre 1999;Goa and Portugal: History and Development, atti della conferenza tenuta a Goa, 6-9 settembre 1999;;;;;;Concept;New Delhi;2000
;Keown, D. & Prebish, C. S.;Encyclopedia of Buddhism;Encyclopedia of Buddhism;;;;;;Routledge;London-New York;2013
Koch, Peter O.;;To the Ends of the Earth: The Age of the European Explorers;To the Ends of the Earth: The Age of the European Explorers;;;;;;McFarland;Jefferson-London;2003
;Laures, J.;Kirishitan Bunko: A Manual of Books and Documents on the Early Christian Mission in Japan;Kirishitan Bunko: A Manual of Books and Documents on the Early Christian Mission in Japan;;;;;;Sophia University;Tokyo;1940
;Amaladass, A. & Zupanov, I.;Intercultural Encounter and the Jesuit Mission in South Asia (16th-18th Centuries);Intercultural Encounter and the Jesuit Mission in South Asia (16th-18th Centuries);;;;;;Asian Trading Corp.;Bangalore;2014
Mendonça, D. de;;Conversions and Citizenry: Goa Under Portugal, 1510-1610;Conversions and Citizenry: Goa Under Portugal, 1510-1610;;;;;;Concept;New Delhi;2002
Nagy, T. C.;;Catholic Shrines in Chennai, India: The Politics of Renewal and Apostolic Legacy;Catholic Shrines in Chennai, India: The Politics of Renewal and Apostolic Legacy;;;;;;Routledge;London;2016
Neill, S.;;A History of Christianity in India: The Beginnings to AD 1707;A History of Christianity in India: The Beginnings to AD 1707;;;;;;Cambridge University Press;Cambridge;1984
Newitt, M.;;A History of Portuguese Overseas Expansion. 1400-1668;A History of Portuguese Overseas Expansion. 1400-1668;;;;;;Routledge;New York;2005
Pavone, S.;;I gesuiti dalle origini alla soppressione;I gesuiti dalle origini alla soppressione;;;;;;Laterza;Roma-Bari;2009
Poggi, V;;L’Oriente cristiano, 1. Panorama delle Chiese cristiane in Asia e in Africa;L’Oriente cristiano, 1. Panorama delle Chiese cristiane in Asia e in Africa;;;;;;Edizioni Studio Domenicano;Bologna;2005
Rankin, A.;;Seppuku: A History of Samurai Suicide;Seppuku: A History of Samurai Suicide;;;;;;Kodansha International;New York;2011
Raveri, M.;;Itinerari nel sacro. L’esperienza religiosa giapponese;Itinerari nel sacro. L’esperienza religiosa giapponese;;;;;;Cafoscarina;Venezia;2006
Roscioni, G. C.;;Il desiderio delle Indie. Storie, sogni e fughe di giovani gesuiti italiani;Il desiderio delle Indie. Storie, sogni e fughe di giovani gesuiti italiani;;;;;;Einaudi;Torino;2001
Ross, A. C.;;A Vision Betrayed: The Jesuits in Japan and China, 1542-1742;A Vision Betrayed: The Jesuits in Japan and China, 1542-1742;;;;;;Orbis Books;Maryknoll;1994
Rubiés, J-P.;;Travel and Ethnology in the Renaissance: South India through European Eyes, 1250-1625;Travel and Ethnology in the Renaissance: South India through European Eyes, 1250-1625;;;;;;Cambridge University Press;Cambridge;2002
Russell-Wood, A.J.;;The Portuguese Empire, 1415-1808. A World on the Move;The Portuguese Empire, 1415-1808. A World on the Move;;;;;;The Johns Hopkins University Press;Baltimore-London;1998
;Sanfilippo, M. & Prezzolini, C.;Roberto De Nobili (1577-1656) missionario gesuita poliziano, Atti del convegno, Montepulciano, 20 ottobre 2007;Roberto De Nobili (1577-1656) missionario gesuita poliziano, Atti del convegno, Montepulciano, 20 ottobre 2007;;;;;;Guerra;Perugia;2008
;Schurhammer, G.;Franz Xaver: sein Leben und seine Zeit;Franz Xaver: sein Leben und seine Zeit;;;;;;Herder;Freiburg;1955-73
;Schurhammer, G.;Gesammelte Studien;Gesammelte Studien;;;;;;Institutum Historicum Societatis Iesu;Romae;1962-65
;Schurhammer, G.;Die zeitgenössischen Quellen zur Geschichte Portugiesisch-Asiens und seiner Nachbarländer (Ostafrika, Abessinien, Arabien, Persien, Vorder- und Hinterindien, Malaiischer Archipel, Philippinen, China und Japan) zur Zeit des hl. Franz Xaver (1538-1552);Die zeitgenössischen Quellen zur Geschichte Portugiesisch-Asiens und seiner Nachbarländer (Ostafrika, Abessinien, Arabien, Persien, Vorder- und Hinterindien, Malaiischer Archipel, Philippinen, China und Japan) zur Zeit des hl. Franz Xaver (1538-1552);;;;;;Institutum Historicum Societatis Iesu;Romae;1962
;Schurhammer, G. & Voretzsch, E. A.;Ceylon zur Zeit des Königs Bhuvaneka Bāhu und Franz Xavers, 1539-1552;Ceylon zur Zeit des Königs Bhuvaneka Bāhu und Franz Xavers, 1539-1552;;;;;;Asia Major;Leipzig;1928
;de Sousa Pinto, P. J.;The Portuguese and the Straits of Melaka, 1575-1619. Power, Trade and Diplomacy;The Portuguese and the Straits of Melaka, 1575-1619. Power, Trade and Diplomacy;;;;;;Nus Press;Singapore;2012
Subrahmanyam, S.;;The Career and Legend of Vasco Da Gama;The Career and Legend of Vasco Da Gama;;;;;;Cambridge University Press;Cambridge;1997
Subrahmanyam, S.;;The Portuguese Empire in Asia, 1500-1700: A Political and Economic History;The Portuguese Empire in Asia, 1500-1700: A Political and Economic History;;;;;;John Wiley & Sons;Chichester;2012
;Tamburello, A. & Üçerler, A. M.;Alessandro Valignano S.I. Uomo del Rinascimento, ponte tra Oriente e Occidente;Alessandro Valignano S.I. Uomo del Rinascimento, ponte tra Oriente e Occidente;;;;;;Institutum Historicum Societatis Iesu;Roma;2008
Turnbull, S. R.;;The Kakure Kirishitan of Japan. A Study of Their Development, Beliefs and Rituals to the Present Day;The Kakure Kirishitan of Japan. A Study of Their Development, Beliefs and Rituals to the Present Day;;;;;;Japan Library;Abingdon;1998
;Weston, V.;Portugal, Jesuits, and Japan: Spiritual Beliefs and Earthly Goods;Portugal, Jesuits, and Japan: Spiritual Beliefs and Earthly Goods;;;;;;University of Chicago Press;Chicago;2013
;Wicki, J.;As relações de viagem dos jesuítas missionários na carreira da Índia no século xvi, in II Seminário internacional de história indo-portuguesa. Actas;As relações de viagem dos jesuítas missionários na carreira da Índia no século xvi, in II Seminário internacional de história indo-portuguesa. Actas;;;;;;Instituto de Investigação Científica Tropical;Lisboa;1985
Wills, J. E. jr;;China and Maritime Europe, 1500-1800: Trade, Settlement, Diplomacy, and Missions;China and Maritime Europe, 1500-1800: Trade, Settlement, Diplomacy, and Missions;;;;;;Cambridge University Press;Cambridge;2011
Winnerlig, T.;;Vernunft und Imperium. Die Societas Jesu in Indien und Japan, 1542-1574;Vernunft und Imperium. Die Societas Jesu in Indien und Japan, 1542-1574;;;;;;Vandenhoeck & Ruprecht;Göttingen;2014
Županov, I.;;Disputed Mission. Jesuit Experiments and Brahmanical Knowledge in Seventeenth-Century India;Disputed Mission. Jesuit Experiments and Brahmanical Knowledge in Seventeenth-Century India;;;;;;Oxford University Press;Delhi-New York;1999
;;Missionary Tropics: The Catholic Frontier in India (16th-17th Centuries);Missionary Tropics: The Catholic Frontier in India (16th-17th Centuries);;;;;;University of Michigan Press;Ann Arbor;2005
;Anesaki, M.;A concordance to the History of Kirishitan Missions;A concordance to the History of Kirishitan Missions;;;;;;;Tokyo;1930
;;Tsu no Junkyoshi (Historia de los martirios de Tsu);Tsu no Junkyoshi (Historia de los martirios de Tsu);;;;;;;Tsu;1996
;;Kirishitan Junkyo Shiseki Annai - Katorikku Nagoya Kyoku (Introducción a los lugares de los martirios cristianos, Diócesis de Nagoya);Kirishitan Junkyo Shiseki Annai - Katorikku Nagoya Kyoku (Introducción a los lugares de los martirios cristianos, Diócesis de Nagoya);;;;;;Katorikku Nagoya Kyoku Senkyo Shiboku Kyogikai;Nagoya;1997
Boxer, C. R.;;The Christian Century in Japan 1549-1650;The Christian Century in Japan 1549-1650;;;;;;;Berkeley-Los Angeles-Londres-Cambridge;1951
Boxer, C. R.;;The Great Ship from Amacon;The Great Ship from Amacon;;;;;;;Lisboa;1959
Cieslik, H.;;The Great Martyrdom in Edo, 1623. Its Causes, Course, Consequences;The Great Martyrdom in Edo, 1623. Its Causes, Course, Consequences;;Monumenta Nipponica;10;;gen-44;;Tokyo;1954
Cieslik, H.;;Father Diogo Carvalho, a Sendai Martyr;Father Diogo Carvalho, a Sendai Martyr;;Japan Missionary Bullettin;IX;;"662-669; 730-737";;Tokyo;1955
Cieslik, H.;;Blessed Charles Spinola (1564-1622);Blessed Charles Spinola (1564-1622);;Japan Missionary Bullettin;X;;"7-17; 117-124";;Tokyo;1956
Cieslik, H.;;Hoppo Tankenki;Hoppo Tankenki;;;;;;;Tokyo;1962
Cieslik, H.;;Geibi Kirishitan Shiryo;Geibi Kirishitan Shiryo;;;;;;;Tokyo;1968
Cieslik, H.;;Sekai wo aruita kirishitan;Sekai wo aruita kirishitan;;;;;;;Tokyo;1971
Cieslik, H.;;The Case of Christovão Ferreira;The Case of Christovão Ferreira;;Monumenta Nipponica;29;;gen-54;;Tokyo;1974
Cieslik, H.;;Kirishitan jidai no hojin shisai;Kirishitan jidai no hojin shisai;;;;;;;Tokyo;1981
Colín, F. and Pastells, P.;;Labor Evangelica;Labor Evangelica;;;;;;;Barcelona;1900-1902
Cooper, M.;;Rodrigues the Interpreter;Rodrigues the Interpreter;;;;;;;New York-Tokyo;1974
Delgado García, J. and González Pola, M.;;Beato Jacinto Orfanell, OP. Mártir del Japón. Cartas y Relaciones;Beato Jacinto Orfanell, OP. Mártir del Japón. Cartas y Relaciones;;;;;;;Madrid;1989
Ebisawa, A.;;Christianity in Japan;Christianity in Japan;;;;;;;Tokyo;1960
Hartmann, A.;;The Augustinians in Seventeenth Century Japan;The Augustinians in Seventeenth Century Japan;;;;;;;Marylake, King City, Ontario;1965
Hay, M.;;Failure in the East - Why and how the breach between the Western world and China began;Failure in the East - Why and how the breach between the Western world and China began;;;;;;;Wetteren;1956
Kataoka, Y.;;Urakami 4 ban kuzure;Urakami 4 ban kuzure;;;;;;;Tokyo;1963
López-Gay, J.;;El catecumenado en la Misión del Japón del s. XVI;El catecumenado en la Misión del Japón del s. XVI;;;;;;;Roma;1966
López-Gay, J.;;La Liturgia en la Misión del Japón del siglo XVI;La Liturgia en la Misión del Japón del siglo XVI;;;;;;;Roma;1970
López-Gay, J.;;Las organizaciones de laicos en el apostolado de la primitiva Iglesia del Japón;Las organizaciones de laicos en el apostolado de la primitiva Iglesia del Japón;;;;;;AHSI 36;Roma;1967
López-Gay, J.;;La primera biblioteca de los jesuitas en Japón (1556);La primera biblioteca de los jesuitas en Japón (1556);;Monumenta Nipponica;15;;142-144;;Tokyo;1959-60
López-Gay, J.;;La evangelización pacífica. Misioneros jesuitas del s. XVI;La evangelización pacífica. Misioneros jesuitas del s. XVI;;Studia Missionalia;38;;81;;Roma;1989
Betrán, J. L.;"Betrán, J.L. ; Hernández, B. ; Moreno, D.";«Aun a costa de la propia vida». Martirio y misión en el mundo ibérico de la Edad Moderna.;«Aun a costa de la propia vida». Martirio y misión en el mundo ibérico de la Edad Moderna.;Identidades y fronteras culturales en el mundo ibérico en la Edad Moderna.;;;;283 - 296;Bellaterra, Servei de Publicacions de l’Universitat Autònoma de Barcelona;Barcelona;2016
Quevedo y Villegas, Francisco de;Fernández-Guerra y Orbe, Aureliano;El martirio pretensor del mártir, el único y singular mártir solicitado por el martirio, venerable, apostólico y novilísimo Padre Marcelo Francisco Mastrili, napolitano, hijo del Santo Patriarca de la Compañía de Jesús, el bienaventurado Ignacio de Loyola.;El martirio pretensor del mártir, el único y singular mártir solicitado por el martirio, venerable, apostólico y novilísimo Padre Marcelo Francisco Mastrili, napolitano, hijo del Santo Patriarca de la Compañía de Jesús, el bienaventurado Ignacio de Loyola.;Biblioteca de Autores Españoles. Desde la formación del lenguaje hasta nuestros días (BAE);;48;II;71-75;M. Rivadeneyra;Madrid;1876
Quevedo y Villegas, Francisco de;"Alonso Veloso, M. J. ;  Rey, A.";El martirio pretensor del mártir. El único y singular mártir solicitado por el martirio: venerable, apostólico y nobilísimo padre Marcelo Francisco Mastrili, napolitano, hijo del sancto patriarca de la Compañía de Jesús, el bienaventurado Ignacio de Loyola. Autor el común sentir, en la pluma de un discípulo de los trabajos.;El martirio pretensor del mártir. El único y singular mártir solicitado por el martirio: venerable, apostólico y nobilísimo padre Marcelo Francisco Mastrili, napolitano, hijo del sancto patriarca de la Compañía de Jesús, el bienaventurado Ignacio de Loyola. Autor el común sentir, en la pluma de un discípulo de los trabajos.;Obras completas en prosa de Quevedo. Tratados religiosos.;;VII;;395 - 424;Editorial Castalia (Nueva Biblioteca de Erudición y Crítica);Barcelona;2018
Misobe, O.;;Kirishitan Chizu wo aruku;;;;;;;?;Tokyo;1991
Miyazaki, K.;;Urakami Sanban Kuzure;;;;;;;Gran Enciclopedia de Nagasaki;Nagasaki;1984
Obara, S.;;Kirishitan Bunko. Iezusukai Nippon kankei bunsho (Inventario de mss relativos a Japón, conservados en ARSI y otros archivos);;;;;;;Nansosha;Tokyo;1981
Oyama, S.;;Bizen Kirishitan Shi;;;;;;;?;Okayama;1978
Oyama, S.;;Bizen Kirishitan Shi Kenkyu;;;;;;;Kagamishima Sojun;Okayama;1980
Pacheco, D.;;Mártires en Nagasaki;;;;;;;El Siglo de las Misiones;Bilbao;1961
Pacheco, D.;;Iglesias de Nagasaki durante el Siglo Cristiano, 1568-1620;;;;;;;de las Misiones;Madrid;1977
Pacheco, D.;;El hombre que forjó a Nagasaki. Vida del P. Cosme de Torres;;;;;;;Apostoloda de la Prensa;Madrid;1969
Pacheco, D.;;Historia de una cristiandad, Yokoseura;;;Missionalia Hispanica;21;62;mag-39;;Madrid;1964
Pacheco, D.;;Kyushu no Kojo to Kirishitan;;;;;;;?;Nagasaki;1978
Pacheco, D.;;Suzuta no shujin - Carlos Spinola no shokan;;;;;;;Bun- kensha;Nagasaki;1967
Pagés, L.;;Histoire de la Religion Chrétienne au Japon depuis 1598 jusqu'a 1651;;;;;;;Douniol;Paris;1869-70
Papinot, E.;;Historical and Geographical Dictionary of Japan;;;;;;;Tuttle;Tokyo;1982
Pérez, L.;;Apostolado y martirio del B. Luis Sotelo en el Japón;;;AIA;22;;327-383;;;1924
Polgar, L.;;Bibliographie sur l'Histoire de la Compagnie de Jésus 1901-1980;;;;;;;Institutum Historicum Societatis Iesu;Roma;1981-1990
Puebla, P.;;Testigos de la fe en Oriente;;;;;;;Orientalia Dominicana;Hongkong;1987
Rodrigo, R.;;Fuentes sobre los misioneros agustinos recoletos martirizados en el Japón;;;;;;;Institutum Historicum Augustinianorum Recollectorum, Subsidia 6;Rome;1985
Ruiz de Medina, J.;;Origenes de la Iglesia Católica Coreana desde 1566 hasta 1784;;;;;;;Bibliotheca Instituti Historici Societatis Iesu;Roma;1986
Ruiz de Medina, J.;;Haruka naru Kaoli;;;;;;;?;Tokyo;1988
Ruiz de Medina, J.;;Hanguk Chunjukyo Gunle Ye Kiwon (1566-1784);;;;;;;?;Seoul;1989
Ruiz de Medina, J.;;The Catholic Church in Korea - Its Origins 1566-1784;;;;;;;The Royal Asiatic Society Korean Branch;Seoul;1994
Ruiz de Medina, J.;;El primer jesuita coreano, Beato Gayo mártir (1571-1624);;;;;;;?;Seoul;1987
Ruiz de Medina, J.;;Historia y Ficción de Ota Julia;;;Hispania Sacra;41;;529-543;;Madrid;1989
Ruiz de Medina, J.;;Un genovés nacido en Madrid - Carlos Spinola, científico, misionero y mártir;;;Quaderni Franzoniani;5;2;69-86;;Genova;1992
Ruiz de Medina, J.;;La misión clandestina en Japón;;;Revista de Cultura;17;;171-182;;Macao;1993
Ruiz de Medina, J.;;Korean Christians as Seen from Macao, 1566-1784;;;;;;;?;Macao;1984
Schilling, D.;;Le missioni dei francescani spagnuoli nel Giappone. Primo periodo 1593-1597;;;Pensiero Missionario;;;289-309;;Roma;1937
Schilling, D.;;Le missioni dei francescani spagnuoli nel Giappone. Secondo periodo 1598-1613;;;Pensiero Missionario;;;193-223;;Roma;1938
Schilling, D.;;Cattura e prigionia dei santi Martiri di Nagasaki;;;Antonianum;;;201-242;;Roma;1947
Schütte, J.;;Introductio ad Historiam Societatis Jesu in Japonia 1549-1650;;;;;;;Institutum Historicum Societatis Iesu;Roma;1968
Schütte, J.;;Il primo annuncio della fede cristiana in Giappone;;;La Civiltà Cattolica;334;;;;Roma;1981
Tsuzukibashi, K.;;Hokkaido to Kirishitan;;;;;;;?;Hokkaido;1995
Uyttenbroeck, T.;;Early Franciscans in Japan. Japan;;;Missionary Bulletin;6;;;;Tokyo;1959
Villion, A.;;50 anos por el Japón;;;;;;;?;Madrid;1936
Brazão, E.;;Apontamentos para a história das relaçoes diplomáticas de Portugal com a China 1516-1753;;;Revista de Cultura;17;;;Agência Geral das Colónias;Lisboa;1949
Castelo, C.;;A História do Japão contada por João Rodrigues;;;Revista de Cultura;17;;;;Macau;1993
Costa, J. P. O. E.;;Aspectos da presença portuguesa no Extremo Oriente no ano de 1618 segundo uma carta do Padre João Rodrigues Girão;;;;;;;;Macau;1993
Costa, J. P. O. E.;;O Japão visto pelos Portugueses;;;;;;;Commissão Nacional para as Comemorações dos Descobrimentos Portugueses;Lisboa;1993
Dehergne, J;;Répertoire des Jésuites en Chine de 1552 à 1800;;;;;;;Institutum Historicum Societatis Iesu;Rome;1973
"Gouvea, A. de; Araújo, H. P.";;Asia Extrema;;;;;;;Fundação Oriente;Lisboa;1995
José de Jesus Maria, Fr.;Boxer, C. R.;Ásia Sínica e Japónica;;;;;;;Instituto Cultural de Macau;Macau;1988
Pfister, L.;;Notices Biographiques et Bibliographique sur les Jésuites de l'Ancienne Mission de Chine;;;;;;;Nouvelle édition;Shanghai;1932
Pires, B. V.;;A embaixada mártir;;;;;;;Instituto Cultural de Macau;Macau;1988
Ruiz de Medina, J.;;La misionacion clandestina en el Japon;;;Revista de Cultura;17;;;;Macau;1993
Schütte, J.;;El Archivo del Japon: Vicissitudes del archivo jesuítico del Extremo Oriente y descripción del fondo existente en la Real Academia de la Historia de Madrid;;;;;;;Real Academia de la Historia;Madrid;1964
Schütte, J.;;Documentos del Archivo del Japón en la Biblioteca Nacional madrilena;;;Missionalia Hispanica;27;79;;;Madrid;1970
Toru, M.;;Selective bibliography concerning the Jesuit mission press in the sixteenth and seventeenth cenuries;;;;;;;Nanzan University;Nagoya;1996
Roufe, G.;;The Reasons for a Murder. Local Cultural Conceptualizations of the Martyrdom of Gonçalo da Silveira in 1561;;;Cahiers d'Études africaines;219;;467-488;;;2015
Gomes, A.;;"Viagem que fez o Padre António Gomes, da Companhia de Jesus, ao Imperio de Manomotapa ; e assistencia que fez nas ditas terras de Alg’us annos";;;Studia Missionalia;3;;155-239;;;1959
MacGaffey, W.;;Implicit Understandings: Observing, Reporting, and Reflect- ing on the Encounters between Europeans and Other Peoples in the Early Modern Era;;;;;;;Cambridge University Press;Cambridge;1994
Mudenge, S.I.G.;;A Political History of Munhumutapa: c. 1400-1902;;;;;;;Zimbabwe publishing house;Harare;1988
Nicolaides, A.;;Early Portuguese Imperialism: Using the Jesuits in the Mutapa Empire of Zimbabwe;;;International Journal of Peace and Development Studies;2;4;132-137;;;2011
Randles, W.G.L.;;L’empire du Monomotapa du XVe au XIXe siècle;;;;;;;Mouton;Paris;1975
Rea, W.F.;;Gonçalo Da Silveira: Protomartyr of Southern Africa;;;;;;;Rhodesiana Society;Salisbury, Southern Rhodesia;1960
;"Carneiro, R.; De Matos, A.T.";D. João III e o Império. Actas do Congresso Internacional comemorativo do seu nascimento;;;;;;;Centro de História de Além-Mar/ Centro de Estudos dos Povos e Culturas de Expressão Portuguesa;Lisboa;2004
Rodrigues, E.;;Embaixadas portuguesas à corte dos mutapa;;;;D. João III e o Império. Actas do Congresso Internacional comemorativo do seu nascimento (Lisboa: Centro de História de Além-Mar/ Centro de Estudos dos Povos e Culturas de Expressão Portuguesa);;;;;2004
;"Feliciani, J.F.; Nicolau, V.H.";Memorias de Sofala: Etnografia e Historias das Identidades e da Violencia entre os diferentes Poderes no Centro de Mocambique Seculos XIIIe XIXe;;;;;;;Comissão Nacional para as comemoracoes dos Descobrimentos Portugueses;Lisboa;1998
Thornton, J.;;Cannibals, Witches, and Slave Traders in the Atlantic World;;;The William and Mary Quarterly;60;2;273-294;;;2003
Bartlett, R.;;Why Can the Dead Do Such Great Things?: Saints and Worshippers from the Martyrs to the Reformation;;;;;;;Princeton University Press;Princeton;2013
"Biet, C.; Fragonard, M-M.";;Tragédies et Récits de Martyres en France (fin XVI e–début XVII e siècle);;;;;;;Classiques Garnier;Paris;2009
Ruiz de Medina, J.;;El Martirologio del Japón, 1558– 1873;;;Bulletin of Portuguese-Japanese Studies;2;;161-162;;Rome;1999
Fernandes Pinto, A. C.M.;;Tragédia mais Gloriosa que Dolorosa’: O Discurso Missionário sobre a Perseguição aos Cristãos no regime Tokugawa na Imprensa Europeia (1598–1650);;;;;;;Universidade Nova de Lisboa;Lisboa;2014
