AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Drabble, J. E.;;Mary's Protestant Martyrs and Elizabeth's Catholic Traitors in the Age of Catholic Emancipation ;Mary's Protestant Martyrs and Elizabeth's Catholic Traitors in the Age of Catholic Emancipation ;;Church History;51;2;172-185;;;1982
Duke, A.;;Martyrs With a Difference: Dutch Anabaptists Victims of Elizabethan Persecution;Martyrs With a Difference: Dutch Anabaptists Victims of Elizabethan Persecution;;"Nederlands archief voor kerkgeschiedenis 
/ Dutch Review of Church History ";80;3;263-281;;;2000
Dyck, C. J. ;;The Suffering Church in Anabaptism;The Suffering Church in Anabaptism;;"Mennonite 
Quarterly Reviw";59;;5-23;;;1985
El Kenz, D.;; Les buchers du roi: la culture protestante des martyrs 1523-1572; Les buchers du roi: la culture protestante des martyrs 1523-1572;;;;;;Champs Vallon;Seyssel;1997
Facey, J.;"Lake, P.; Dowling, M.";John Foxe and the Defence of the English Curch;John Foxe and the Defence of the English Curch;"Protestantism and the National Church in Sixteenth Century England
";;;;162-192;Croon Helm;New York;1987
Freedberg, D.;;The Representation of Martyrdoms during the Early Counter-Reformation in Antwerp;The Representation of Martyrdoms during the Early Counter-Reformation in Antwerp;;"Burlington 
Magazine ";118;;128-138;;;1976
Freeman, T.;;Research, Rumour and Propaganda:Anne Boleyn in Foxe's 'Book of Martyrs';Research, Rumour and Propaganda:Anne Boleyn in Foxe's 'Book of Martyrs';;Historical Journal;38;;797-819;;;1995
"Freeman, T.
";Swanson, R. N. ;The Importance of Dying Earnestly: The Metamorphosis of the Account of James Bainham in Foxe's 'Book of Martyrs';The Importance of Dying Earnestly: The Metamorphosis of the Account of James Bainham in Foxe's 'Book of Martyrs';The Church Retrospective;;;;267-288;Boydell Press;Woodbridge;1887
Gilmont, J.-F.;;Un instrument de propagande religieuse: les martyrologes du XVIe siecle;Un instrument de propagande religieuse: les martyrologes du XVIe siecle;Sources de l'histoire religieuse de la Belgique: Moyen âge et Temps moderne;;;;379-388 ;Publications universitaires de Louvain;Louvain;1968
Gilmont, J.-F.;;La genese du martyrologe d'Adrien van Haemstede (1559);La genese du martyrologe d'Adrien van Haemstede (1559);;Revue d'histoire ecclesiastique;63;;179-214;;;1968
Gilmont, J.-F.;;Une édition inconnue du martyrologe de Jean Ctrspin;Une édition inconnue du martyrologe de Jean Ctrspin;;"Bibliothèque 
d'Humanisme et 
Renaissance ";30;;363-371;;;1968
Gilmont, J.-F.;;Jean Crespin: Un éditeur réformé du XVIe siècle;Jean Crespin: Un éditeur réformé du XVIe siècle;;;;;;Droz;Geneva;1981
Gilmont, J.-F.;Hillerbrand, H. J.;Books of Martyrs;Books of Martyrs;The Oxford Encyclopedia of the Reformation;;1;;195-200;Oxford University Press;Oxford;1996
Goldberg, A.;;The Victim's Voice and MelodramaticAesthetics in History;The Victim's Voice and MelodramaticAesthetics in History;;History and Theory;48;;220-237;;;2009
Götzinger, E. ed.  ;;Johannes Kessler Sabbata: Chronik der Jahre 1523-1539;Johannes Kessler Sabbata: Chronik der Jahre 1523-1539;;;;;;verlag von Scheitlin & Zollikofer;St. Gallen;1866
Gregory, B. S. ;;Prescribing and Describing Martyrdom: Menno's Troestelijke Vermanninge and Het Offer des Herren;Prescribing and Describing Martyrdom: Menno's Troestelijke Vermanninge and Het Offer des Herren;;Mennonite QuarterlyReview;71;4;603-613;;;1887
Gregory, B. S. ed. ;;The Forgotten Writings of the Mennonite Martyrs;The Forgotten Writings of the Mennonite Martyrs;;;;;;Brill;Leiden - Boston;2002
"Gregory, B. S.
";"Roth, J. D.; Stayer, J. M. ";Anabaptist Martyrdom: Imperatives, Experience, and Memorialization;Anabaptist Martyrdom: Imperatives, Experience, and Memorialization;Anabaptism and Spiritualism, 1524-1700;;;; 467-506;Brill;Leiden;2007
"Hamilton, A.; Voolstra, S.; Vissel, P. eds.";;Fom Martyr to Muppy (MennoniteUrban Professionals). A Historical Introduction to Cultural Assimilation Processes of a Religious Minority in the Netherlands: The Mennonites;Fom Martyr to Muppy (MennoniteUrban Professionals). A Historical Introduction to Cultural Assimilation Processes of a Religious Minority in the Netherlands: The Mennonites;;;;;;Amsterdam University Press;Amsterdam;1994
Halkin, L.-E.;;Les martyrologes et la critique: contribution a l'études du Martyrologes protestant des Pays-Bas ;Les martyrologes et la critique: contribution a l'études du Martyrologes protestant des Pays-Bas ;Mélanges Historiques offerts à Monsieur Jean Meyhoffer  ;;;;52-70;Faculté du theologié de l'église évangélique libre du canton de Vaud;Lausanne;1952
Haller, W.;;Foxe's Book of Martyrs and the Elect Nation;Foxe's Book of Martyrs and the Elect Nation;;;;;;J. Cape;London;1963
Hickerson, M. L.;;Making Women Martyrs in Tudor England;Making Women Martyrs in Tudor England;;;;;;Palgrave Macmillan;Basingstoke;2005
Hiett Umble, J.;;Women and Choice. An Examination of the Martyrs' Mirror;Women and Choice. An Examination of the Martyrs' Mirror;;Mennonite Quarterly Review;64;;135-145;;;1990
"Highley, C.; King, J. N. eds.";;John Foxe and His World;John Foxe and His World;;;;;;Ashgate;Aldershot;2002
Hungerford Pollen, J. ;;Unpublished Documents Relating to the English Martyrs;Unpublished Documents Relating to the English Martyrs;;;;;;Catholic Record Society;London;1908
Jelsma, A.J.  ;;Adriaan von Haemstede en zijn martelaarsboek;Adriaan von Haemstede en zijn martelaarsboek;;;;;;Boekencentrum N.V.;The Hague;1970
Johnson, T. P.;;The Evangelistic Zeal of Reformation Geneva (1533-1560) as Exemplified in Crespin's Martyrology;The Evangelistic Zeal of Reformation Geneva (1533-1560) as Exemplified in Crespin's Martyrology;;Midwest Journal of Theology;6;2;3-35;;;2008
Juhnke, J. C. ;;Shaping Religious Communitythrough Martyr Memories;Shaping Religious Communitythrough Martyr Memories;;Mennonite Quarterly Review;73;;546-556;;;1999
Klassen, J.;;Women and the Family among Dutch Anabaptist Martyrs;Women and the Family among Dutch Anabaptist Martyrs;;Mennonite Quarterly Review;60;;135-145;;;1986
Kinder, G. A.;;Spanish Protestants and Foxe's Book: Sources;Spanish Protestants and Foxe's Book: Sources;;Bibliothèque d'Humanisme et Renaissance ;60;1;107-116;;;1998
King, J.;;Foxe’s Book of Martyrs and Early Modern Print Culture;Foxe’s Book of Martyrs and Early Modern Print Culture;;;;;;Cambridge University Press;Cambridge;2006
Knott, J. R. ;;John Foxe and the Joy of Suffering;John Foxe and the Joy of Suffering;;The Sixteenth Century Journal ;27;3;721-734;;;1996
Kolb, R.;;For All the Saints: Changing Perceptions of Martyrdom and Sainthood in the Lutheran Reformation;For All the Saints: Changing Perceptions of Martyrdom and Sainthood in the Lutheran Reformation;;;;;;Mercer University Press;Macon, GA;1987
Kolb, R.;;God's Gift of Martyrdom: The Early Refomration Understanding of Dying for the Faith;God's Gift of Martyrdom: The Early Refomration Understanding of Dying for the Faith;;Church History;64;3;399-411;;;1995
Lambert, E.;;Friction in the Archives: Storytellingin Sixteenth-Century Anabaptism;Friction in the Archives: Storytellingin Sixteenth-Century Anabaptism;;Renaissance andReformation ;41;2;113-138;;;2018
Law, T. G.;;The Martyrs of the Year of the Armada;The Martyrs of the Year of the Armada;;The Month and Catholic Review;35;1;71-85;;;1879
Lieseberg, U.;;Studien zum Märtyrerlied der Täufer im 16. Jahrhundert;Studien zum Märtyrerlied der Täufer im 16. Jahrhundert;;;;;;Peter Lang;Frenkfurt am Mein;1991
Loades, D. ed.  ;;John Foxr and the English Reformation;John Foxr and the English Reformation;;;;;;Scolar Press;Aldershot;1997
Loades, D. ed.  ;;John Foxe at Home and Abroad;John Foxe at Home and Abroad;;;;;;Ashgate;Burlington, Vt.;2004
Lowry, J.;;Het Offer des Heeren;Het Offer des Heeren;;Pennsylvania Mennonite Heritage;33;;10-31;;;2010
Maynard, K. S.;;Writing Martyrdom: Agrippa d'Aubigné's Reconstruction of Sixteenth Century Martyrology;Writing Martyrdom: Agrippa d'Aubigné's Reconstruction of Sixteenth Century Martyrology;;Renaissance and Reformation;30;3;29-50;;;2006
Meyhoffer, J. ;;A propos du martyrologes de Crespin;A propos du martyrologes de Crespin;;Bulletin de la Société de l'Histoire du Protestantisme Français;78;4;406-407;;;1929
McNeil, J. T.;;John Foxe: Historiographer, Disciplinarian, Tolerationist;John Foxe: Historiographer, Disciplinarian, Tolerationist;;Church History;43;;216-229;;;1974
Moreau, G. ;;Contribution à l'Histoire du Livre des Martyrs;Contribution à l'Histoire du Livre des Martyrs;;Bulletin de la Scoieté de l'Hisotire du Protestantisme Français;103;;173-199;;;1957
Mozley, J. F.  ;;John Foxe and His Book;John Foxe and His Book;;;;;;Octagon Press;New York;1970
Mush, J.;Morris, J. ;A True Report of the Life and Martyrdom of Mrs Margaret Clitherow;A True Report of the Life and Martyrdom of Mrs Margaret Clitherow;The Trouble of our Catholic Forefathers Related by Themselves;;;;;Burns and Oates;London;1977
Nooran, K. M.;;"""Martyrs in Flames"": Sir Joihn Temple and the Conception of the Irish in English Martyrologies ";"""Martyrs in Flames"": Sir Joihn Temple and the Conception of the Irish in English Martyrologies ";;Albion;36;2;223-255;;;2004
Olson, J. E.;Fleisher, M. P.;Jean Crespin, Humanist Printer Amongst the Reformation Martyrologists;Jean Crespin, Humanist Printer Amongst the Reformation Martyrologists;The Harvest of Humanism in Central Europe:Essays in Honor of Lewis W. Spitz;;;;;Concordia;St. Lous;1992
Parker, C. H.;;French Calvinists as the Children of Israel: An Old Testament Self-Consciousness in Jean Crespin's Histoire des Martyrs Before the Wars of Religion ;French Calvinists as the Children of Israel: An Old Testament Self-Consciousness in Jean Crespin's Histoire des Martyrs Before the Wars of Religion ;;The sixteenth Century Journal;24;2;227-248;;;1993
Pettegree, A.;Gordon, B.;Andrian von Haemstede: The Heretic as Historian;Andrian von Haemstede: The Heretic as Historian;Protestant History and Identity in Sixteenth-Century Europe. The Later Reformation ;;;;59-76;Scolar Press;Aldershot;1996
"Piaget, A.; Berthoud, G.";;Notes sur Le Livres des Martyrs de Jean Crespin ;Notes sur Le Livres des Martyrs de Jean Crespin ;;;;;;Secretariat de l'Université;Neuchâtel;1930
Pijper, F.;;Martelaarsboeken;Martelaarsboeken;;;;;;Nijhoff;Gravenhage ;1924
Plomp, M. C. ;;Gerbrand van den Eeckhout’s Illustrations for Adriaen van Haemstede’s Book of Martyrs of 1657 and 1659;Gerbrand van den Eeckhout’s Illustrations for Adriaen van Haemstede’s Book of Martyrs of 1657 and 1659;;Burlington Magazine;148;;180-186;;;2006
Randall Coats, C. ;;(Em)bodying the Word: Textual Reconstructions in the Martyrological Narratives of Foxe, Crespin, de Bèze, and d'Aubigné;(Em)bodying the Word: Textual Reconstructions in the Martyrological Narratives of Foxe, Crespin, de Bèze, and d'Aubigné;;;;;;Peter Lang;New York;1992
Rhodes, J. T.;;English Books of Martyrs and Saints of the Late Sixteenth and Early Seventeenth Centuries ;English Books of Martyrs and Saints of the Late Sixteenth and Early Seventeenth Centuries ;;British Catholic History;22;1;7-25;;;1994
Roth, J. T.;;The Complex Legacy of the Martyrs Mirror among Mennonites in North America;The Complex Legacy of the Martyrs Mirror among Mennonites in North America;;Mennonite Quarterly Review;87;;277-316;;;2013
Rust, J. R. ;;"Reforming the Mystical Body: From
Mass to Martyr in John Foxe's ""Acts
and Monuments"" ";"Reforming the Mystical Body: From
Mass to Martyr in John Foxe's ""Acts
and Monuments"" ";;ELH;80;3;627-659;;;2013
Sprunger, K. L.;;Dutch Anabaptists and the Telling ofMartyr Stories;Dutch Anabaptists and the Telling ofMartyr Stories;;Mennonite Quarterly Review;80;;149-183;;;2006
Studer, G. C.;;A History of the Martyrs' Mirror;A History of the Martyrs' Mirror;;Mennonite Quarterly Review;22;;163-179;;;1948
Tellechea Idígoras, J. I.;;Francisco de san Román: un mártir protestante de Burgalés (1542);Francisco de san Román: un mártir protestante de Burgalés (1542);;Cuadernos de Investigación Histórica;8;;233-260;;;1984
Vander Haegen, F. ed. ;;Bibliographie des martytologes protestants neerlandais. 2 Vol ;Bibliographie des martytologes protestants neerlandais. 2 Vol ;;;;;;Martinus Nijhoff ;The Hague;1890
Veesenmeyer, G.;;Des evangelischen Märtyrers Johannes Diazius' Dedica tion seiner Schrift Christianae religionis Summa an dem Pfalzgrafen Otto Heinrich ;Des evangelischen Märtyrers Johannes Diazius' Dedica tion seiner Schrift Christianae religionis Summa an dem Pfalzgrafen Otto Heinrich ;;Zeitschrift für die Historische Theologie;1;;156-162;;;1987
Verheyden, A. L. E. ;;Het Brugsche martyrologium (12 October 1527-7 Augustus 1573) ;Het Brugsche martyrologium (12 October 1527-7 Augustus 1573) ;;;;;;Wilco;Brussels;1944
Verheyden, A. L. E.  ;;Het Gentsche martyrologium (1530-1595);Het Gentsche martyrologium (1530-1595);;;;;;De Tempel;Bruges;1945
Verheyden, A. L. E. ;;Le martyrologe courtraisien et le martyrologe bruxellois ;Le martyrologe courtraisien et le martyrologe bruxellois ;;;;;;R. Allecourt;Vilvorde;1950
Watson, D.;Loads, D.;Jean Crespin and the First English Martyrology of the Reformation;Jean Crespin and the First English Martyrology of the Reformation;John Foxe and the English Reformation ;;;;192-209;Scolar Press;Aldershot;1997
Weaver-Zercher, D. L. ;;Martyrs' Mirror: A Social History;Martyrs' Mirror: A Social History;;;;;;Johns Hopkins University Press;Baltimore;2016
White, H;;Tudor Books of Saints and Martyrs;Tudor Books of Saints and Martyrs;;;;;;University of Wisconsin Press;Madison;1963
Wood, D. ed.  ;;Martyrs and Martyrologies;Martyrs and Martyrologies;;;;;;Blackwell;Oxford;1993
Huhtine, J. ;;Ideas of Martyrdom in Early Stuart Public Debates, 1603- 1649 ;Ideas of Martyrdom in Early Stuart Public Debates, 1603- 1649 ;;;;;;PhD Dissertation, E.U.I. ;Florence;2017
Freeman, T. ;"Walsham, A.; Crick, J.";Publish and Perish: the Scribal Culture of the Marian Martyrs;Publish and Perish: the Scribal Culture of the Marian Martyrs;The Uses of Script and Print, 1300−1700;;;;235−254;Cambridge University Press;Cambridge;2010
Camm, B. ;;A Benedictine Martyr in England: Being the Life and Times of the Venerable Servant of God Dom John Roberts;A Benedictine Martyr in England: Being the Life and Times of the Venerable Servant of God Dom John Roberts;;;;;;Bliss, Sands;London;1897
Camm, B. ;;Lives of the English Martyrs Declared Blessed by Pope Leo XIII in 1886 and 1895: Martyrs under Queen Elizabeth;Lives of the English Martyrs Declared Blessed by Pope Leo XIII in 1886 and 1895: Martyrs under Queen Elizabeth;;;;;;Burns and Oats;London;1905
Camm, B. ;;Forgotten Shrines. An Account of some old Catholic halls and families in England and of Relics and Memorials of the English Martyrs;;;;;;;Macdonald and Evans;London;1910
Hodges, J.;;Martyrs Omitted by Foxe. Being Records of Religious Persecutions in the Sixteenth and Seventeenth Centuries. Compiled by a Member of the English Church. With a Preface by Frederick George Lee;Martyrs Omitted by Foxe. Being Records of Religious Persecutions in the Sixteenth and Seventeenth Centuries. Compiled by a Member of the English Church. With a Preface by Frederick George Lee;;;;;;John Hodges and Frome Selwood;London ;1870
Anonymous / Unknown ;;Modern British Martyrology: Commencing with the Reformation, A.D. 1535, 26th Henry VIII. to A.D. 1684, 24th Charles II.;Modern British Martyrology: Commencing with the Reformation, A.D. 1535, 26th Henry VIII. to A.D. 1684, 24th Charles II.;;;;;;Keating, Brown &Co. and J. Booker ;London ;1836
Ellis, T. P. ;;The Catholic Martyrs of Wales, 1535-1680;The Catholic Martyrs of Wales, 1535-1680;;;;;;Burns and Oats;London ;1833
Hope, A. ;;"Franciscan Martyrs in England
";"Franciscan Martyrs in England
";;;;;;Burns and Oats;London;1878
Simpson, R. ;;Edmund Campion: A Biography;Edmund Campion: A Biography;;;;;;Williams and Norgate;London;1867
Waugh, E. ;;Edmund Campion: A Life;Edmund Campion: A Life;;;;;;Ignatius Press;San Francisco ;2005
Royal, S. ;Middleton, P. ;The Blood of the Martyrs is the Seed of the Nation: Martyrdom in Reformation England;The Blood of the Martyrs is the Seed of the Nation: Martyrdom in Reformation England;The Wiley Blackwell Companion to Christian Martyrdom ;;;;338-354;John Wiley;Chichester;2020
Covington, S.;Middleton, P. ;England's Eusebius: John Foxe and the Acts and Monuments;England's Eusebius: John Foxe and the Acts and Monuments;The Wiley Blackwell Companion to Christian Martyrdom ;;;;305-321;John Wiley;Chichester;2020
"Houliston, V.; Muller A.  ";Middleton, P. ;The Elizabethan Martyrs;The Elizabethan Martyrs;The Wiley Blackwell Companion to Christian Martyrdom ;;;;322-337;John Wiley;Chichester;2020
"Lake, P.; Questier, M. ";;The Trials of Margaret Clitherow. Persecution, Martyrdom and the Politics of Sanctity in Elizabethan England;The Trials of Margaret Clitherow. Persecution, Martyrdom and the Politics of Sanctity in Elizabethan England;;;;;;Bloomsbury;London;2011
Lander, J. M.;"McEachern, C.; Shuger, D.";Foxe’s Books of Martyrs: printing and popularising the Acts and Monuments;Foxe’s Books of Martyrs: printing and popularising the Acts and Monuments;Religion and Culture in Renaissance England;;;;69-92;Cambridge University Press;Cambridge;2006
Thompson, N. ;Middleton, P. ;Does the Cause Make the Martyr? Sebastian Castellio and John Calvin Debate the Execution of Michael Servetus;Does the Cause Make the Martyr? Sebastian Castellio and John Calvin Debate the Execution of Michael Servetus;The Wiley Blackwell Companion to Christian Martyrdom ;;;;271-286;John Wiley;Chichester;2020
Ryrie, A. ;Loades, D;The Unsteady Beginnings of English Protestant Martyrology;The Unsteady Beginnings of English Protestant Martyrology;John Foxe: An Historical Perspective;;;;52-66;Ashgate;Aldershot;1999
Pietersen, L. K. ;Middleton, P. ;Anabaptist Martyrdom;Anabaptist Martyrdom;The Wiley Blackwell Companion to Christian Martyrdom ;;;;287-304;John Wiley;Chichester;2020
Hungerford Pollen, J.  ;;Acts of the English Martyrs;;;;;;;Burns & Oats;London;1891
Holleran, J. V. ;;A Jesuit Challenge: Edmund Campion's Debates at the Tower of London in 1581;;;;;;;Fordham University Press;New York ;1999
Hungerford Pollen, J. ;;The English Catholics in the Reign of Queen Elizabeth: A Study of Their Politics, Civil Life, and Government: from the Fall of the Old Church to the Advent of the Counter-Reformation;;;;;;;Longmans, Green and Co.;London ;1920
"Burton, E. D.; Hungerford Pollen, J.";;Lives of the English Martyrs: the Martyrs Declared Venerable;;;;;;;Longmans, Green and Co.;London;1914
Rhodes, J. T.;;The Apostolical Life of Ambrose Barlow;;;;;;;Chetham Society;Manchester;1909
McKee, J. ;;Dame Elizabeth Barton OSB, the Holy Maid of Kent;;;;;;;Burns, Oates and Washbourne;London;1925
Neame, A. ;;The Holy Maid of Kent: The Life of Elizabeth Barton: 1506–1534;;;;;;;Hodder and Stoughton,;London;1971
Hendriks, L. ;;The London Charterhouse: its Monks and its Martyrs ;;;;;;;Kegan Paul, Trench & Co.;London ;1889
Hamilton, A. ;;The Angel of Syon. The Life and Martyrdom of Blessed Richard Reynolds;;;;;;;Saands & Co.;London;1905
Camm, B. ;;Courtier, Monk and Martyr: A Sketch of the Life and Sufferings of Blessed Sebastian Newdigate, of the London Charterhouse  ;;;;;;;Art and Book Company;London;1901
Reynolds, E. E. ;;St. John Fisher: Humanist, Reformer, Martyr;;;;;;;Mediatrix Press;Post Falls, ID.;2015
Bridgett, T. E. ;;Life of Blessed John Fisher, Bishop of Rochester, Cardinal of the Holy Roman Church, and Martyr Under Henry VIII;;;;;;;Burns & Oats;London;1890
Mann, S. A. ;;Supremacy and Survival: How English Catholics Endured the English Reformation ;;;;;;;Scepter;Strongsville, OH.;2007
Rauer, C. ;;The Old English Martyrology: Edition, Translation and Commentary;;;;;;;D. S. Brewer;Cambridge;2013
Baker House, S. ;;"A Martyr's Theology of Assent. Reading Thomas More's ""De Tristitia Christi""";;;Renaissance and Reformation;29;2/3;49 - 63;;;2005
Curtis, G. W. S.;;The Holy English Carthusian Martyrs;;;;;;;S.P.C.K.;London;1935
Wilkinson, S. ;;The Merry Martyr: Sir Thomas More ;;;The Irish Monthly;63;741;160 - 166;;;1935
Freeman, T. ;;"""The Good Ministrye of Godlye and Vertuouse Women"": The Elizabethan Martyrologists and the Female Supporters of the Marian Martyrs";;;Jounral of British Studies;39;1;8 - 33;;;2000
Garrett, C. H.;;The Marian Exiles: A Study in the Origins of Elizabethan Puritanism;;;;;;;Cambridge University Press;Cambridge;1938
Macek, E. ;;The Emergence of a Femminine Spirituality in the 'Book of Martyrs' ;;;Sixteenth Century Journal;19;;63 - 80;;;1988
Penny, A.;;Family Matters and Foxe's Acts and Monuments;;;Historical Journal ;39;;599 - 618;;;1996
Eales, J.;"Sheils, W. J.; Wood, D.";Samuel Clarke and the ‘Lives’ of Godly Women in Seventeenth-Century England;;Women in the Church;;;;365 - 376;Oxford University Press;Oxford;1990
Polkowski, M. ;"Bela, T.; Calma, C.; Rzegocka J.";Richard Verstegan as a Publicist of the Counter-Reformation: Religion, Identity and Clandestine Literature;;Publishing Subversive Texts in Elizabethan England and the Polish-Lithuanian Commonwealth;;;;263 – 287;Brill;Leiden;2016
Bolton, W. J. ;;A Martyrs Memorial at Stratford: Sketches of the Lives and Deaths of the Martyrs Burnt at Stratford and Bow During the Reign of Queen Mary A.D.1555-1556;;;;;;;Wilson and Whitworth;London;1877
Lowry, J.;;"The ""Martyrs' Mirror"" Made Plain";;;;;;;Pathway;Aylmer, Ontario;2000
Kreider, A. F. ;;"""The Servant is not Greater than his Master"": The Anabaptists and the Suffering Church";;;Mennonite Quarterly Review;58;;5 - 29;;;1984
Freeman, T. ;"Marshall, P.; Ryrie, A.";Dissenters from a Dissenting Church: The Challenge of the Freewillers, 1550-1558;;The Biginnings of English Protestantism ;;;;129-156;Cambridge University Press;Cambridge;2002
Mellink, A. F.;;Documenta Anabaptistica Neerlandica: I, Friesland en Groningen (I530-1550);;;;;;;Brill;Leiden;1975
Visser, P.;;De pelgrimage van Jan Luyken door de doopsgezinde boek;;;Doopsgezinde Bijdrag;25;;167-179;;;1999
Lowry, J.;;Martyrs' Mirror Picture Albums and Abridgements: A Surprising Find ;;;Pennsylvania Mennonite Heritage;25;4;2-8;;;2002
Schotel, G. D. J.;;"Kerkelijk Dordrecht; eene bijdrage tot de geschiedenis der vaderlandische hervormde kerk, sedert het jaar 1572";;;;;;;N. van der Monde;Utrecht;1841
Tribble, E. B. ;"Bornstein, G.; Tinkle, T.";The Peopled Page: Polemic, Confutation, and Foxe's Book of Martyrs;;The Iconic Page in Manuscript, Print, and Digital Culture;;;;113-117;University of Michigan Press;Ann Arbor;1998
Highley, C.;"Highley, C.; King, J. N.";Richard Verstegan's Book of Martyrs;;John Foxe and his World;;;;184-197;Ashgate;Burlington, Vt.;2002
Merback, M.;;Pain and the Spectacle of Punishment in Medieval and Renaissance Europe;;;;;;;Reaktion;London;1999
Plennert, W.;;The Martyrs' Mirror and Anabaptist Women;;;Mennonite Life;30;;13-18;;;1975
Rogers, H. ;;Mary Dyer of Rhode Island, the Quker Martyr;;;;;;;Preston and Rounds;Providence;1896
Plimpton, R. T. ;;Mary Dyer: Biography of a Rebel Quaker;;;;;;;Berandon Publishing Company;Boston;1994
Canavan, M. J. ;;Where Were the Quakers Hanged?;;;Procedings of the Bostonian Society;;;37-49;;;1911
Myles, A. G. ;;From Monster to Martyr: Re-Presenting Mary Dyer;;;Early American Literature;36;1;1-30;;;2001
Winsser, J. ;;A Brother Found: A Clue to the Ancestry of Mary [Barrett] Dyer, the Quaker Martyr;;;New England Historical and Genealogical Register;158;;27-28;;;2004
