AUTHOR;EDITOR;TITLE;SHORT TITLE;BOOK TITLE;JOURNAL;VOLUME;ISSUE;PAGES;PUBLISHER;PLACE;YEAR
Kirwan, M.;Clark, P.;Girard, Religion, Violence, and Martyrdom;Girard, Religion, Violence, and Martyrdom;The Oxford Handbook of the Sociology of Religion;;;;910-924;Oxford University Press;Oxford;2009
Kahn, P. W.;;;Political Theology;Political Theology: Four New Chapters on the Concept of Sovereignty;;;;;Columbia University Press;New York;2012
Kahn, P. W.;;;Sacred Violence;Sacred Violence: Torture, Terror, and Sovereignty;;;;;University of Michigan Press;Ann Arbor;2008
Detienne, M.;"Detienne, M.; Vernant, J. P.";Culinary Practice and the Spirit of Sacrifice;Culinary Practice and the Spirit of Sacrifice;The Cusine of Sacrifice Among the Greeks;;;;;University of Chicago Press;Chicago, IL;1989
"Marvin, C.; Ingle, D.";;Blood Sacrifice and the Nation: Revisiting Civil Religion;Blood Sacrifice and the Nation;;Journal of the American Academy of Religion;64;4;767-780;;;1996
"Marvin, C.; Ingle, D.";;;Blood Sacrifice  ... and the American Flag;Blood Sacrifice and the Nation: Totem Rituals and the American Flag;;;;;Cambridge University Press;Cambridge;1999
Gentile, E.;;;Le religioni della politica;Le religioni della politica. Fra democrazie e totalitarismi;;;;;Laterza;Roma - Bari;2001
Yelle, R. A.;;;Sovereignty and the Sacred;Sovereignty and the Sacred: Secularism and the Political Economy of Religion;;;;;University of Chicago Press;Chicago - London;2019
;"Meszaros, J.; Zachhuber, J.";;Sacrifice and Modern Thought;Sacrifice and Modern Thought;;;;;Oxford University Press;Oxford;2013
Buc, P.;;;;Holy War, Martyrdom and Terror. Christianity, Violence and the West.;;;;;University of Pennsylvania Press;Philadelphia;2015
Castelli, E.;;The ambivalent legacy of violence and victimhood. Using early Christian martyrs to think with;The ambivalent legacy of violence and victimhood. Using early Christian martyrs to think with;;Spiritus;6;;1 - 24;;;2006
Christys, A.;;;;Christians in Al-Andalus (711 - 1000).;;;;;Routledge;Abingdon;2002
Delehaye, H.;;;;Les origines du culte des martyrs.;;;;;Société des Bollandistes;Brussels (Belgium);1912
Albarrán Iruela, J.;;La cruz en la media luna. Los Cristianos en Al-Andalus: Realidades y percepciones (VIII-XIII).;La cruz en la media luna. Los Cristianos en Al-Andalus: Realidades y percepciones (VIII-XIII).;;Anexos de Medievalismo;4;;;Sociedad Española de Estudios Medievales.;Madrid;2013
Aldana García, M. J.;;Expresión de los sistemas de antítesis que oponen el Cristianismo al Islam en la obra de S. Eulogio. ;Expresión de los sistemas de antítesis que oponen el Cristianismo al Islam en la obra de S. Eulogio. ;;Habis;31;;417 - 425;;;2000
"Aldana García, M. J.  ;  Herrera Roldán, P. ";;Prudencio entre los mozárabes cordobeses. Algunos testimonios;Prudencio entre los mozárabes cordobeses. Algunos testimonios;;Latomus;56;;765 - 783;;;1997
Aillet, C.;;;;Les mozarabes. Christianisme, Islamisation et Arabisation en péninsule ibérique (IXe-XIIe siècle);;;;;Casa de Velázquez;Madrid;2010
Arjona Castro, A.;;;;Historia de Córdoba durante el emirato omeya, desarrollo, apogeo y ruina de la Córdoba Omeya. Vol. I : De la conquista al final del emirato Omeya (711-929);;;;;Real Academia de Ciencias y Bellas Letras de Córdoba.;Cordoba;2001
Middleton, P.;;What is martyrdom?;What is martyrdom?;;Mortality;19;;117 - 133;;;2014
Moss, C. R.;;The discourse of voluntary martyrdom. Ancient and modern.;The discourse of voluntary martyrdom. Ancient and modern.;;Church History;81;;531 - 551;;;2012
Nelson, J. L.;Wood, D.;The Franks, the Martyrology of Usuard and the Martyrs of Córdoba;The Franks, the Martyrology of Usuard and the Martyrs of Córdoba;Martyrs and Martyrologies;;;;67 - 80;Blackwell;Cambridge;1993
Pérez Marinas, I.;;Los Mozárabes de Córdoba del siglo IX. Sociedad, cultura y pensamiento;Los Mozárabes de Córdoba del siglo IX. Sociedad, cultura y pensamiento;;Estudios Medievales Hispánicos;1;;177 - 220;;;2012
