AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;other EDITIONS;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Anonymous / Unknown;17;;The Two State Martyrs, Or, The Murther of Master Robert Yeomans, and Master George Bowcher, Citizens of Bristoll: Committed on Them by Nathaniel Fiennes (second Son to the Lord Say) the Pretended Governor of that City, and the Rest of His Conspiracie, Whom Some Call a Councell of Warre;The Two State Martyrs ...;1643;[Oxford];;[H. Hall];English ;;England;English Civil War;;;;No link found
Anonymous / Unknown;17;;The Martyr of the People, or, the Murdered King. Expressed in Several Considerations Upon his Sufferings and Death;The Martyr of the People ...;1649;London;;n. p.;English ;;England;English Civil War;Regicide;;;No link found
Philipps, Fabian;1601 - 1690;https://viaf.org/viaf/34801107/#Philipps,_Fabian,_1601-1690;King Charles the First, no man of Blood: But a martyr for his people. Or, a sad, impartiall enquiry, whether the King or Parliament began the warre, which hath so much ruined, and undon the kingdom of England? And who was in the defensive part of it?   ;King Charles the First, no man of Blood ...;1649;[London];;n. p. ;English ;;England;English Civil War;Regicide;Royalists;;https://quod.lib.umich.edu/e/eebo/A90655.0001.001?view=toc
Anonymous / Unknown;17;;A faithful subjects sigh, on the universally-lamented death, and tragicall end, of that virtuous and pious prince, our most gracious soveraigne Charles I, King of Great Brittaine, most barbarously butchered by his rebellious subjects. / By a gentleman now resident in the court of Spaine.    ;A faithful subjects sigh, on the universally-lamented death [...] of [...] Charles I ...;1649;[London];;n. p.;English ;;England;English Civil War;Regicide;Royalists;;https://quod.lib.umich.edu/e/eebo2/A85076.0001.001?view=toc
Cook, John;? - 1660;http://viaf.org/viaf/45729182;Monarchy No Creature of Gods Making, etc. Wherein Is Proved by Scripture and Reason, That Monarchical Government Is Against the Mind of God. And That the Execution of the Late King Was One of the Fattest Sacrifices That Ever Queen Justice Had. Being An Hue and Cry After Lady Liberty, Which Hath Been Ravished and Stoln Away by the Grand Potentates of the Earth. Principally Intended for the Undeceiving of Some Honest Hearts, Who Like the Poor Jews Cry, Give Us a King, Though They Smart Never So Much For It. Together With A Preface to the Supream Authority of the Three Nations, the Parliament of England. Wherein, Amongst Other Remarkable Particulars, You Have a Character of the Late Incomparable Lord Deputy, The Truly Honourable Henry Ireton, Esq.;Monarchy No Creature of Gods Making, etc. Wherein Is Proved by Scripture and Reason, That Monarchical Government Is Against the Mind of God. And That the Execution of the Late King Was One of the Fattest Sacrifices That Ever Queen Justice Had. Being An Hue and Cry After Lady Liberty, Which Hath Been Ravished and Stoln Away by the Grand Potentates of the Earth. Principally Intended for the Undeceiving of Some Honest Hearts, Who Like the Poor Jews Cry, Give Us a King, Though They Smart Never So Much For It. Together With A Preface to the Supream Authority of the Three Nations, the Parliament of England. Wherein, Amongst Other Remarkable Particulars, You Have a Character of the Late Incomparable Lord Deputy, The Truly Honourable Henry Ireton, Esq.;1652 [1651];Waterford;;"Pieter de Pienne; Thomas Brewster";English;Monarchy No Creature of God's Making, Wherein Is Proved, by Scripture and Reason, That Monarchial Government Is Against the Mind of God, London, I. Eaton, 1794;Political Sacrifice;Regicide;Sacrifice for the Nation;English Civil War;Church-State Relations;http://name.umdl.umich.edu/A34420.0001.001
Cook, John;? - 1660;http://viaf.org/viaf/45729182;King Charls His Case: Or, an Appeal To All Rational Men, Concerning His Tryal At The High Court of Justice. Being for the Most Part That Which Was Intended to Have Been Delivered at the Bar, if the King Had Pleaded to the Charge, and Put Himself Upon a Fair Tryal. With an Additional Opinion Concerning The Death of King James, The Loss of Rochel, and, The Blood of Ireland;King Charls His Case: Or, an Appeal To All Rational Men, Concerning His Tryal At The High Court of Justice. Being for the Most Part That Which Was Intended to Have Been Delivered at the Bar, if the King Had Pleaded to the Charge, and Put Himself Upon a Fair Tryal. With an Additional Opinion Concerning The Death of King James, The Loss of Rochel, and, The Blood of Ireland;1649;London;;"Peter Cole; Giles Calvert";English;London, J.H., 1714;Political Sacrifice;Regicide;Punishment;English Civil War;Sacrifice for the Nation;http://name.umdl.umich.edu/A34423.0001.001
Cook, John;? - 1660;http://viaf.org/viaf/45729182;Regis Caroli Casus, Of een appel aen alle redelijke menschen. Nopende sijn examen voor het hooge Hof van Justitie. Zijnde een groot gedeelte van 't gene voorgenomen was geharangueert te zijn geweest voor de rechtbanck, by aldien sijne Majesteyt gepleyt hadde tegens sijn beschuldinge en hemselver tot een openbare examen hadde voorgestelt. 'tsamen Met een bygevoeghde opinie / nopende de doodt des konincks Jacob, 't verlies van Rochel / en de rebellie van Yrelandt;Regis Caroli Casus, Of een appel aen alle redelijke menschen. Nopende sijn examen voor het hooge Hof van Justitie. Zijnde een groot gedeelte van 't gene voorgenomen was geharangueert te zijn geweest voor de rechtbanck, by aldien sijne Majesteyt gepleyt hadde tegens sijn beschuldinge en hemselver tot een openbare examen hadde voorgestelt. 'tsamen Met een bygevoeghde opinie / nopende de doodt des konincks Jacob, 't verlies van Rochel / en de rebellie van Yrelandt;[1649];n.p.;;n.p.;Dutch ;;Political Sacrifice;Regicide;Punishment;English Civil War;Sacrifice for the Nation;https://books.google.it/books?id=kpjFjEe5xxUC&pg=PA1&lpg=PA1&dq=Regis+Caroli+casus+of,+een+appel+aen+alle+redelijke&source=bl&ots=eRePLuDWx1&sig=ACfU3U2FP6G39SHgjq7cusSMKrdjJMDABA&hl=it&sa=X&ved=2ahUKEwjtgJGrkZXyAhUKvaQKHUYxAeAQ6AEwBHoECAQQAw#v=onepage&q&f=false
Anonymous / Unknown;;;Regis Caroli integritas sub rationali reprobatione. Dat is: een redelijcke wederlegginge der laserlijcke beschuldingen Karel Stuard, Koning over Enghlant, Schotlant, ende Yrlandt, (door eenen Jan Coke, advocaet van graeyffinne, ende soliciteur generael voor de Republique van Enghelandt) te laste geleyt, in een tractaet, genaemt Regis Caroli Casus, ofte een appel aen alle redelijcke menschen, onder het volck verstrooyt, ende gedivulgeert, etc. Dese reprobatie is vervattet in 28 positien ofte capitale pointten van beschuldingens ampt / daer op volgende 28 tegenberichten / in 't licht ghebracht door W.W.V.A.T.L. liefhebber der rechtveerdigheydt;Regis Caroli integritas sub rationali reprobatione. Dat is: een redelijcke wederlegginge der laserlijcke beschuldingen Karel Stuard, Koning over Enghlant, Schotlant, ende Yrlandt, (door eenen Jan Coke, advocaet van graeyffinne, ende soliciteur generael voor de Republique van Enghelandt) te laste geleyt, in een tractaet, genaemt Regis Caroli Casus, ofte een appel aen alle redelijcke menschen, onder het volck verstrooyt, ende gedivulgeert, etc. Dese reprobatie is vervattet in 28 positien ofte capitale pointten van beschuldingens ampt / daer op volgende 28 tegenberichten / in 't licht ghebracht door W.W.V.A.T.L. liefhebber der rechtveerdigheydt;1649;Amsterdam;;n.p.;Dutch ;;Royalists;Regicide;Controversy;English Civil War;;https://books.google.it/books?id=2YtjAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Racine, Jean;1639 - 1699;http://viaf.org/viaf/88809641;Iphigenie. Tragedie par Mr. Racine;Iphigenie. Tragedie par Mr. Racine;1675;Paris;;Claude Barbin;French;Paris, Bélin and Brunet, 1787;Iphigenia;Political Sacrifice;Tragedies;Royalists;Theatre;https://books.google.it/books?id=bcrwAAAAMAAJ&printsec=frontcover&dq=inauthor:%22Jean+Racine%22+Iphig%C3%A9nie&hl=it&ei=CbjGTfXxJMnLtAbOmKCQDw&sa=X&oi=book_result&ct=result&resnum=3&sqi=2&ved=0CDcQ6AEwAg#v=onepage&q&f=false
Milton, John;1608 - 1674;http://viaf.org/viaf/17226855;"The Tenure of Kings and Magistrates: Proving, That It Is Lawfull, and Hath Been Held So Through All Ages, for Any, Who Have the Power, to Call to Account a Tyrant, or Wicked King, and After Due Conviction, to Depose, and Put Him to Death; If the Ordinary Magistrate Have Neglected, or Deny'd to Doe It. And That They, Who of Late, So Much Blame Deposing, Are the Men That Did It Themselves";"The Tenure of Kings and Magistrates: Proving, That It Is Lawfull, and Hath Been Held So Through All Ages, for Any, Who Have the Power, to Call to Account a Tyrant, or Wicked King, and After Due Conviction, to Depose, and Put Him to Death; If the Ordinary Magistrate Have Neglected, or Deny'd to Doe It. And That They, Who of Late, So Much Blame Deposing, Are the Men That Did It Themselves";1649;London;;Matthew Simmons;English;London, Matthew Simmons, 1650;Regicide;Political Sacrifice;Sacrifice for the Nation;Punishment;English Civil War;"https://quod.lib.umich.edu/e/eebo/A50955.0001.001?rgn=main;view=toc"
Milton, John;1608 - 1674;http://viaf.org/viaf/17226855;Eikonoklastes in Answer to a Book Intitl'd Eikon Basilike The Portrature of His Sacred Majesty in His Solitudes and Sufferings;Eikonoklastes in Answer to a Book Intitl'd Eikon Basilike The Portrature of His Sacred Majesty in His Solitudes and Sufferings;1649;London;;Matthew Simmons;English;"Amsterdam, n.p., 1690; London, A. Millar, 1756";Regicide;Political Sacrifice;Controversy;Secular Martyrs;English Civil War;https://milton.host.dartmouth.edu/reading_room/eikonoklastes/title.shtml
Milton, John;1608 - 1674;http://viaf.org/viaf/17226855;"Eikonoklaste, ou Réponse au livre intitulé Eikon Basilike: ou Le pourtrait de sa Sacrée Majesté durant sa solitude et ses souffrances. Par le sr. Jean Milton. Traduite de l'anglois sur la seconde et plus ample edition; et revûe par l'auteur. A laquelle son ajoûtées diverses piéces, mentionnées en ladite réponse, pour la plus grande commodité du lecteur";"Eikonoklaste, ou Réponse au livre intitulé Eikon Basilike: ou Le pourtrait de sa Sacrée Majesté durant sa solitude et ses souffrances. Par le sr. Jean Milton. Traduite de l'anglois sur la seconde et plus ample edition; et revûe par l'auteur. A laquelle son ajoûtées diverses piéces, mentionnées en ladite réponse, pour la plus grande commodité du lecteur";1652;London;;"William Dugard; Nicolas Bourne";French;;Regicide;Political Sacrifice;Controversy;Secular Martyrs;English Civil War;https://books.google.it/books?id=pOA9AAAAcAAJ&pg=PA152&lpg=PA152&dq=Re%CC%81ponse+au+livre+intitule%CC%81+Eikon+basilike%CC%84&source=bl&ots=fPOBQSvAKB&sig=ACfU3U2LIfoHQujlj_fS2VVlzyriIxV5vw&hl=it&sa=X&ved=2ahUKEwjNpIb8_ZbyAhWZuaQKHZLqBf0Q6AF6BAgXEAM#v=onepage&q=Re%CC%81ponse%20au%20livre%20intitule%CC%81%20Eikon%20basilike%CC%84&f=false
Anonymous / Unknown;;;Eikon Basilike. The Pourtraicture of His Sacred Majestie in His Solitues and Sufferings;Eikon Basilike. The Pourtraicture of His Sacred Majestie in His Solitues and Sufferings;1648 [1649];n.p.;;n.p.;English;London, Roger Norton for Richard Royston, 1681;Regicide;Secular Martyrs;Propaganda;Royalists;English Civil War;https://archive.org/details/EikonBasilike1648/mode/2up
Perrinchief, Richard;1623(?) - 1673;http://viaf.org/viaf/29877191;The Royal Martyr: Or, the Life and Death of King Charles I;The Royal Martyr: Or, the Life and Death of King Charles I;1676;London;;"J.M.; Richard Royston";English;London, J. M. for Richard Royston, 1684;Regicide;Secular Martyrs;Propaganda;Royalists;;http://name.umdl.umich.edu/A54415.0001.001
Wagstaffe, Thomas;1645 - 1712;http://viaf.org/viaf/35394939;"A Vindication of King Charles the Martyr, Proving That His Majesty Was the Author of Eikon Basilike. Against a Memorandum, Said to Be Written by the Earl of Anglesey; and Against the Exceptions of Dr. Walker, and Others";"A Vindication of King Charles the Martyr, Proving That His Majesty Was the Author of Eikon Basilike. Against a Memorandum, Said to Be Written by the Earl of Anglesey; and Against the Exceptions of Dr. Walker, and Others";1693;London;;Joseph Hindmarsh;English;London, H. Hindmarsh, 1697;Regicide;Secular Martyrs;Controversy;Propaganda;Royalists;https://www.google.it/books/edition/A_Vindication_of_King_Charles_the_Martyr/ok5pAAAAcAAJ?hl=it&gbpv=0
Wagstaffe, Thomas;1645 - 1712;http://viaf.org/viaf/35394939;"A Defence of the Vindication of K. Charles the Martyr; Justifying His Majesty's Title to Eikon Basilike. In Answer to a Late Pamphlet Intituled Amyntor";"A Defence of the Vindication of K. Charles the Martyr; Justifying His Majesty's Title to Eikon Basilike. In Answer to a Late Pamphlet Intituled Amyntor";1699;London;;W. Bowyer;English;;Regicide;Secular Martyrs;Controversy;Royalists;;https://www.proquest.com/books/defence-vindication-k-charles-martyr-justifying/docview/2240863842/se-2?accountid=201395
Yonge, James;1647 - 1721;http://viaf.org/viaf/72809851;Several Evidences Which Have Not Yet Appeared in the Controversy Concerning the Author of Eikōn Basilikē: Produced in a Letter to the Reverend Mr. Wagstaffe;Several Evidences Which Have Not Yet Appeared in the Controversy Concerning the Author of Eikōn Basilikē: Produced in a Letter to the Reverend Mr. Wagstaffe;1703;London;;"T.W.; Richard Wilkin";English;;Regicide;Secular Martyrs;Controversy;Royalists;;https://opacplus.bsb-muenchen.de/search?oclcno=220172812&db=100&View=default
Anonymous / Unknown;;;Eikōn alēthinē, the Pourtraiture of Truths Most Sacred Majesty Truly Suffering, Though Not Solely. Wherein the False Colours Are Washed off, Wherewith the Painter-Steiner Had Bedawbed Truth, the Late King and the Parliament, in His Counterfeit Piece Entituled Eikon Basilike. Published to Undeceive the World;Eikōn alēthinē, the Pourtraiture of Truths Most Sacred Majesty Truly Suffering, Though Not Solely. Wherein the False Colours Are Washed off, Wherewith the Painter-Steiner Had Bedawbed Truth, the Late King and the Parliament, in His Counterfeit Piece Entituled Eikon Basilike. Published to Undeceive the World;1649;London;;"Thomas Paine; George Whittington";English;;Regicide;Secular Martyrs;Propaganda;Controversy;English Civil War;http://name.umdl.umich.edu/A83786.0001.001
Anonymous / Unknown;;;Eikōn ē pistē. Or, the Faifhfull Pourtraicture of a Loyall Subject, in Vindication of Eikon Basilike. Otherwise Intituled The Pourtraicture of His Sacred Majestie, in His Solitudes and Sufferings. In Answer to an Insolent Book, Intituled Eikōn alēthinē: Whereby Occasion Is Taken, to Handle All the Controverted Points Relating to These Times;Eikōn ē pistē. Or, the Faifhfull Pourtraicture of a Loyall Subject, in Vindication of Eikon Basilike. Otherwise Intituled The Pourtraicture of His Sacred Majestie, in His Solitudes and Sufferings. In Answer to an Insolent Book, Intituled Eikōn alēthinē: Whereby Occasion Is Taken, to Handle All the Controverted Points Relating to These Times;1649;n.p.;;n.p.;English;;Regicide;Secular Martyrs;Controversy;Propaganda;Royalists;http://name.umdl.umich.edu/A84038.0001.001
Milton, John;1608 - 1674;http://viaf.org/viaf/17226855;Ioannis Miltoni Angli pro populo Anglicano defensio, contra Claudii anonymi, alias Salmasii, Defensionem regiam;Ioannis Miltoni Angli pro populo Anglicano defensio, contra Claudii anonymi, alias Salmasii, Defensionem regiam;1651;London;;William Dugard;Latin;Ioannis Miltoni Angli pro populo Anglicano defensio, contra Claudii anonymi, alias Salmasii, Defensionem regiam. Editio emendatior, London, William Dugard, 1651;Regicide;Political Sacrifice;Sacrifice for the Nation;English Civil War;Controversy;https://www.google.it/books/edition/Ioannis_Miltoni_Angli_pro_populo_anglica/J9tlAAAAcAAJ?hl=it&gbpv=0
Hollingworth, Richard;1639(?) - 1702;http://viaf.org/viaf/21112977;Vindiciae Carolinae, or, A Defence of Eikon basilikē, the Portraicture of His Sacred Majesty in His Solitudes and Sufferings in Reply to a Book Intituled Eikonoklastes, Written by Mr. Milton, and Lately Re-Printed at Amsterdam;Vindiciae Carolinae, or, A Defence of Eikon basilikē, the Portraicture of His Sacred Majesty in His Solitudes and Sufferings in Reply to a Book Intituled Eikonoklastes, Written by Mr. Milton, and Lately Re-Printed at Amsterdam;1692;London;;"J.L.; Luke Meredith";English;;Regicide;Secular Martyrs;Propaganda;Controversy;Royalists;http://name.umdl.umich.edu/A44227.0001.001
Hollingworth, Richard;1639(?) - 1702;http://viaf.org/viaf/21112977;"Dr. Hollingworth's Defence of K. Charles the First's Holy and Divine Book, Called Eikon Basilikē; Against the Rude and Undutiful Assaults of the Late Dr. Walker of Essex. Proving by Living and Unquestionable Evidences, the Aforesaid Book to Be That Royal Martyr's, and Not Dr. Gauden's";"Dr. Hollingworth's Defence of K. Charles the First's Holy and Divine Book, Called Eikon Basilikē; Against the Rude and Undutiful Assaults of the Late Dr. Walker of Essex. Proving by Living and Unquestionable Evidences, the Aforesaid Book to Be That Royal Martyr's, and Not Dr. Gauden's";1692;London;;Samuel Eddowes;English;;Regicide;Secular Martyrs;Propaganda;Controversy;Royalists;http://name.umdl.umich.edu/A44224.0001.001
Hollingworth, Richard;1639(?) - 1702;http://viaf.org/viaf/21112977;The Death of King Charles I Proved a Down-Right Murder, With the Aggravations of It. In a Sermon at St. Botolph Aldgate, London, January 30, 1692/3. To Which Are Added, Some Just Reflections Upon Some Late Papers, Concerning That King's Book;The Death of King Charles I Proved a Down-Right Murder, With the Aggravations of It. In a Sermon at St. Botolph Aldgate, London, January 30, 1692/3. To Which Are Added, Some Just Reflections Upon Some Late Papers, Concerning That King's Book;1693;London;;"R. Norton; Walter Kettilby";English;;Regicide;Secular Martyrs;Controversy;Sermons;Royalists;http://name.umdl.umich.edu/A44222.0001.001
Charles I, King of England;1600 - 1649;http://viaf.org/viaf/67750325;Reliquiae sacrae Carolinae. Or the Works of That Great Monarch and Glorious Martyr King Charles the I. Collected Together, and Digested in Order According to Their Several Subjects, Civil and Sacred;Reliquiae sacrae Carolinae. Or the Works of That Great Monarch and Glorious Martyr King Charles the I. Collected Together, and Digested in Order According to Their Several Subjects, Civil and Sacred;1650;Hague [London];;"Samuel Brown [William Dugard; Francis Eglesfield]";English;;Secular Martyr;Propaganda;Royalists;English Civil War;;https://books.google.it/books?id=iw93TLvgPlcC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Charles I, King of England;1600 - 1649;http://viaf.org/viaf/67750325;Basiliká. The Works of King Charles the Martyr: With a Collection of Declarations, Treatises, and Other Papers Concerning the Differences Betwixt His Said Majesty and His Two Houses of Parliament;Basiliká. The Works of King Charles the Martyr: With a Collection of Declarations, Treatises, and Other Papers Concerning the Differences Betwixt His Said Majesty and His Two Houses of Parliament;1662;London;;"James Flesher; Richard Royston";English;London, Richard Chiswell, 1687;Secular Martyr;Propaganda;Royalists;;;http://name.umdl.umich.edu/A31771.0001.001
[John Toland];1670 - 1722;http://viaf.org/viaf/66497400;"Amyntor, or, A Defence of Milton's Life Containing I. A General Apology for All Writings of That Kind. II. A Catalogue of Books Attributed in the Primitive Times to Jesus Christ, His Apostles and Other Eminent Persons: With Several Important Remarks and Observations Relating to the Canon of Scripture. III. A Complete History of the Book Entitul'd Icon Basilike, Proving Dr. Gauden and Not King Charles the First to Be the Author of It: With an Answer to All the Facts Alledg'd by Mr. Wagstaf to the Contrary; and to the Exceptions Made Against My Lord Anglesey's Memorandum, Dr. Walker's Book or Mrs. Gauden's Narrative, Which Last Piece Is Now the First Time Publish'd at Large";"Amyntor, or, A Defence of Milton's Life Containing I. A General Apology for All Writings of That Kind. II. A Catalogue of Books Attributed in the Primitive Times to Jesus Christ, His Apostles and Other Eminent Persons: With Several Important Remarks and Observations Relating to the Canon of Scripture. III. A Complete History of the Book Entitul'd Icon Basilike, Proving Dr. Gauden and Not King Charles the First to Be the Author of It: With an Answer to All the Facts Alledg'd by Mr. Wagstaf to the Contrary; and to the Exceptions Made Against My Lord Anglesey's Memorandum, Dr. Walker's Book or Mrs. Gauden's Narrative, Which Last Piece Is Now the First Time Publish'd at Large";1699;London;;n.p.;English;;Secular Martyr;Propaganda;Controversy;Royalists;;http://name.umdl.umich.edu/A62841.0001.001
Walker, Anthony;? - 1692;http://viaf.org/viaf/24947696;A True Account of the Author of a Book Entituled Eikōn Basilikē, or, The Pourtraiture of His Sacred Majesty in His Solitudes and Sufferings: Proved to Be Written by Dr. Gauden, Late Bishop of Worcester. With an Answer to All Objections Made by Dr. Hollingsworth and Others. Published by Anthony Walker, Late Rector of Fyfield in Essex. With an Attestation Under the Hand of the Late Earl of Anglesey to the Same Purpose;A True Account of the Author of a Book Entituled Eikōn Basilikē, or, The Pourtraiture of His Sacred Majesty in His Solitudes and Sufferings: Proved to Be Written by Dr. Gauden, Late Bishop of Worcester. With an Answer to All Objections Made by Dr. Hollingsworth and Others. Published by Anthony Walker, Late Rector of Fyfield in Essex. With an Attestation Under the Hand of the Late Earl of Anglesey to the Same Purpose;1692;London;;Nathanael Ranew;English;;Secular Martyr;Propaganda;Controversy;;;http://name.umdl.umich.edu/A66722.0001.001
Long, Thomas;1621 - 1707;http://viaf.org/viaf/42186722;Dr. Walker's True, Modest, and Faithful Account of the Author of Eikōn basilikē, Strictly Examined, and Demonstrated to Be False, Impudent, and Deceitful. In Two Parts, the First Disproving It to Be Dr. Gauden's. The Second Proving it to Be King Charles the First's;Dr. Walker's True, Modest, and Faithful Account of the Author of Eikōn basilikē, Strictly Examined, and Demonstrated to Be False, Impudent, and Deceitful. In Two Parts, the First Disproving It to Be Dr. Gauden's. The Second Proving it to Be King Charles the First's;1693;London;;R. Talor;English;;Secular Martyr;Propaganda;Controversy;Royalists;;https://www.google.it/books/edition/Dr_Walker_s_True_Modest_and_Faithful_Acc/BiE2AAAAMAAJ?hl=it&gbpv=0
Anonymous / Unknown;;;A Coffin for King Charles: A Crowne for Cromwell: A Pit for the People. You May Sing This to the Tune of Saine I Would;A Coffin for King Charles: A Crowne for Cromwell: A Pit for the People. You May Sing This to the Tune of Saine I Would;[1649];[London];;n.p.;English;;Regicide;Secular Martyrs;Songs;Royalists;;http://name.umdl.umich.edu/A80036.0001.001
