AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Spencer, John;1630 - 1693;http://viaf.org/viaf/30718148;De legibus Hebraeorum ritualibus et earum rationibus, libri tres;De legibus Hebraeorum ritualibus et earum rationibus, libri tres;1683-1685;Cambridge;Joan Hayes;Latin;Animal;Jews;Theology;Law;Judaism;https://books.google.it/books?id=dr2NQlVhXLIC&printsec=frontcover&hl=it&source=gbs_book_other_versions_r&cad=4#v=onepage&q=sacrificiorum&f=false
Bochart, Samuel ;1599 - 1667;http://viaf.org/viaf/59167015;Hierozoicon Sive bipertitum opus De Animalibus Sacrae Scripturae : Pars Prior Agit Libris quatuor De Animalibus in genere. Et De Quadrupedibus Viviparis Et Oviparis. Pars Posterior Agit Libris sex De Avibus, Serpentibus, Insectis, Aquaticis, Et Fabulosis Animalibus. Cum Indice septuplici;Hierozoicon Sive bipertitum opus De Animalibus Sacrae Scripturae : Pars Prior Agit Libris quatuor De Animalibus in genere. Et De Quadrupedibus Viviparis Et Oviparis. Pars Posterior Agit Libris sex De Avibus, Serpentibus, Insectis, Aquaticis, Et Fabulosis Animalibus. Cum Indice septuplici;1663;London;Thomas Roycroft ;Latin;Protestantism;Animals;Bible, Old Testament;;;https://books.google.it/books?id=Z3RVAAAAcAAJ&printsec=frontcover&source=gbs_book_other_versions_r&redir_esc=y#v=onepage&q&f=false
Gale, Theophilus;1628 - 1678;http://viaf.org/viaf/15125142;The court of the gentiles, or, A discourse touching the original of human literature, both philologie and philosophie, from the Scriptures and Jewish church. Part 2, Of philosophie in order to a demonstration of 1. The perfection of Gods word and church light, 2. The imperfection of natures light and mischief of vain philosophie, 3. The right use of human learning and especially sound philosophie;The court of the gentiles, or, A discourse touching the original of human literature, both philologie and philosophie, from the Scriptures and Jewish church. Part 2, Of philosophie in order to a demonstration of 1. The perfection of Gods word and church light, 2. The imperfection of natures light and mischief of vain philosophie, 3. The right use of human learning and especially sound philosophie;1660;Oxford;William Hall for Thomas Gilbert;English;Animals;Human Sacrifices;Philosophy;Bible, Old Testament;Philology;"https://quod.lib.umich.edu/e/eebo/A41659.0001.001?rgn=main;view=fulltext"
Callenberg, Johann Heinrich;1694 - 1760;http://viaf.org/viaf/7400384;Initia Sacrificiorum;Initia Sacrificiorum;1738;Halæ;Institutus Judaicus et Muhammedaicus;Latin;Christianism;Jews;Bible, Old Testament;Theology;Philology;http://digitale.bibliothek.uni-halle.de/vd18/content/titleinfo/1654513
Saubert, Johann ;1592 - 1646;http://viaf.org/viaf/61556293;De sacrificiis veterum conlectanea historicophilologica, et miscella critica;De sacrificiis veterum conlectanea historicophilologica, et miscella critica;1659;Leiden;Jordanum Luchtmans;Latin;Christianism;Jews;Latin authors;History of Ancient Rome;;https://books.google.it/books?id=LblQAAAAcAAJ&printsec=frontcover&dq=De+sacrificiis+veterum+collectanea+historica+philologica&hl=it&newbks=1&newbks_redir=0&sa=X&redir_esc=y#v=onepage&q=De%20sacrificiis%20veterum%20collectanea%20historica%20philologica&f=false
Schmidt, Friedrich Samuel von ;1737 - 1796;http://viaf.org/viaf/22926169;Dissertatio de sacerdotibus et sacrificis Aegyptiorum;Dissertatio de sacerdotibus et sacrificis Aegyptiorum;1768;Tübingen;Cotta, Johann Georg;Latin;Ancient Egyptians;Latin authors;Ancient Greeks;;;https://archive.org/details/bub_gb_5lCpbyYw03QC
Álvares, Francisco;[1465] - 1541;http://viaf.org/viaf/99769999;"Historia de las cosas de Ethiopia. En la qual se cuenta muy copiosamente, el estado y potencia del Emperador della, (que es el que muchos han pensado ser el preste Juan) con otras infinitas particularidades assi de la religion de aquella gente, como de sus cerimonias; segun que de todo ello fue testigo de vista Francisco Alvarez, Capellán del Rey Don Manuel de Portugal. Agora nuevamente traduzido de portugues a castellano por el padre Fray Thomás de Padilla.";"Historia de las cosas de Ethiopia. En la qual se cuenta muy copiosamente, el estado y potencia del Emperador della, (que es el que muchos han pensado ser el preste Juan) con otras infinitas particularidades assi de la religion de aquella gente, como de sus cerimonias; segun que de todo ello fue testigo de vista Francisco Alvarez, Capellán del Rey Don Manuel de Portugal. Agora nuevamente traduzido de portugues a castellano por el padre Fray Thomás de Padilla.";1551;Zaragoza;Augustín Millán;Spanish;Aethiopia;Portuguese Missionaries;Catholic Missions;Conversions;Portuguese Empire;http://catalogo.bne.es/uhtbin/cgisirsi/x/0/0/57/20/R^2F3802/0/X1001228951?user_id=WEBSERVER
Ruinart, Thierry;1657 - 1709;http://viaf.org/viaf/36941135;Atti sinceri de primi martiri della chiesa cattolica raccolti dal p. Ruinart e tradotti nella lingua italiana con prenozioni e note da Francesco Maria Luchini. Tomo 1. 4.;Atti sinceri de primi martiri della chiesa cattolica raccolti dal p. Ruinart e tradotti nella lingua italiana con prenozioni e note da Francesco Maria Luchini. Tomo 1. 4.;1778;Rome;"Paolo Giunchi ; Stamperia di S. Michele a Ripa";Italian;Martyrology;Protomartyrs;Saints;Hagiographies;Early Christians;https://archive.org/details/bub_gb_15Y_L4ZGwlUC/page/n4/mode/1up
Barbault, Jean;1705 - 1766;http://viaf.org/viaf/18437480;Monumens antiques, ou, Collection choisie d'anciens bas-reliefs et fragmens egiptiens, grecs, romains, et etrusques : representant les cérémonies religieuses, sacrifices ... : ouvrage qui contient deux cents planches avec leur explication en abrégé;Monumens antiques, ou, Collection choisie d'anciens bas-reliefs et fragmens egiptiens, grecs, romains, et etrusques : representant les cérémonies religieuses, sacrifices ... : ouvrage qui contient deux cents planches avec leur explication en abrégé;1783;Rome;Bouchard et Gravier;French;Ancient Sacrifices;Sacrifice Compared;Sculpture;Ancient Egyptians;Ancient Greeks; https://www.worldcat.org/title/monumens-antiques-ou-collection-choisie-danciens-bas-reliefs-et-fragmens-egiptiens-grecs-romains-et-etrusques-representant-les-ceremonies-religieuses-sacrifices-ouvrage-qui-contient-deux-cents-planches-avec-leur-explication-en-abrege/oclc/79272795&referer=brief_results
Cloppenburg, Johannes;1592 - 1652;http://viaf.org/viaf/100166146;Sacrificiorum patriarchalium schola sacra, in qua examinatur sacrificiorum antiquitas, usus et antiquatio. Cum spicilegio;Sacrificiorum patriarchalium schola sacra, in qua examinatur sacrificiorum antiquitas, usus et antiquatio. Cum spicilegio;1637;Leiden;ex officina Elseviriorum;Latin;Church History;Patriarchs;Ancient Sacrificies;;;https://books.google.it/books?id=hCYxgj4kRMUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Conti, Natale;1520 - 1582;http://viaf.org/viaf/32030981;Mythologie, c'est à dire Explications des fables contenant les généalogies des dieux, les cérémonies de leurs sacrifices, leurs gestes, adventures, amours et presque tous les préceptes de la philosophie naturelle et morale. Extraite du latin de Noel-le-Comte par J de M. (Jean de Montlyard);Mythologie, c'est à dire Explications des fables contenant les généalogies des dieux, les cérémonies de leurs sacrifices, leurs gestes, adventures, amours et presque tous les préceptes de la philosophie naturelle et morale. Extraite du latin de Noel-le-Comte par J de M. (Jean de Montlyard);1604;n. p.;Iean Poyer;French;Liturgy;Ancient Sacrifices;Ancient Greeks;Jews;Antiquarianism;https://books.google.it/books?id=_Y5gziZ9SMUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false 
Edwards, John;1637 - 1716;http://viaf.org/viaf/47815346;Polpoikilos sophia, a compleat history or survey of all the dispensations and methods of religion, from the beginning of the world to the consummation of all things, as represented in the Old and New Testament shewing the several reasons and designs of those different administrations, and the wisdom and goodness of God in the government of His church, through all the ages of it : in which also, the opinion of Dr. Spencer concerning the Jewish rites and sacrifices is examin'd, and the certainty of the Christian religion demonstrated against the cavils of the Deists, &c.;Polpoikilos sophia, a compleat history or survey of all the dispensations and methods of religion, from the beginning of the world to the consummation of all things, as represented in the Old and New Testament shewing the several reasons and designs of those different administrations, and the wisdom and goodness of God in the government of His church, through all the ages of it : in which also, the opinion of Dr. Spencer concerning the Jewish rites and sacrifices is examin'd, and the certainty of the Christian religion demonstrated against the cavils of the Deists, &c.;1699;London;"Daniel Brown; Ionath[an] Robinson; Andrew Bell; Iohn Wyat; E. Harris";English;Liturgy;Ancient Sacrifices;Jewish Sacrifice;Controversy;;https://quod.lib.umich.edu/e/eebo/A38026.0001.001?view=toc 
Grancolas, Jean;1660-1732;http://viaf.org/viaf/66476401;Les Anciennes Liturgies, ou, La Maniere Dont On A Dit la sainte Messe dans chaque siècle : dans les Eglises d'Orient & dans celles d'Occident : Avec la recherche de toutes les Pratiques, Prières & Ceremonies qui s'observent dans le saint Sacrifice;Les Anciennes Liturgies, ou, La Maniere Dont On A Dit la sainte Messe dans chaque siècle : dans les Eglises d'Orient & dans celles d'Occident : Avec la recherche de toutes les Pratiques, Prières & Ceremonies qui s'observent dans le saint Sacrifice;1697;Paris;Jean de Nully;French;Catholicism;History;Liturgy;Eucharist;Church History;https://books.google.it/books?id=cW_vBKfMyDgC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false 
"Jaubert, Pierre.; Lacornée, Jean-Baptiste ";"1715 - 1780; 1697 - 1772";"http://viaf.org/viaf/17224430; http://viaf.org/viaf/22279888";Dissertation sur un temple octogone et plusiers bas-reliefs trouvez à Cestas : lesquels désignent des fêtes de Cybéle, une initiation à ses mystéres, & une sacrifice qu'on lui a offert : enrichie de figures en taille douce & des notes curieuses;Dissertation sur un temple octogone et plusiers bas-reliefs trouvez à Cestas : lesquels désignent des fêtes de Cybéle, une initiation à ses mystéres, & une sacrifice qu'on lui a offert : enrichie de figures en taille douce & des notes curieuses;1743;Bordeaux;Jean-Baptiste Lacornée;French;Cybele;Ancient Sacrifices;History of Ancient Rome;Temples;;https://fr.wikisource.org/wiki/Dissertation_sur_un_temple_octogone_et_plusieurs_bas-reliefs_trouvez_%C3%A0_Cestas/Dissertation
Ladesma, Diego de;1520  - 1575;http://viaf.org/viaf/39472825;De diuinis Scripturis, quauis passim lingua, non legendis, simul et de sacrificio Missae, caeterisque officijs in Ecclesia Christi, hebraea tantum, graeca, aut latina lingua celebrandis, aduersus nostrae aetatis haereticos liber unus;De diuinis Scripturis, quauis passim lingua, non legendis, simul et de sacrificio Missae, caeterisque officijs in Ecclesia Christi, hebraea tantum, graeca, aut latina lingua celebrandis, aduersus nostrae aetatis haereticos liber unus;1574;Cologne;Calenius & Quentel;Latin;Catholicism;Mass;Ancient Greeks;Jews;Liturgy;https://reader.digitale-sammlungen.de//resolve/display/bsb10194030.html
Lonitzer, Johan;1497 - 1569;http://viaf.org/viaf/9870657;Figurarum, pro Missionum, Historiarum, Caeremoniarum, Victimarum, & Sacrificiorum, Ex Testamento vetere, Ad Christum Dei Filium, & Ecclesiam eius pertinentium Synaoroisis;Figurarum, pro Missionum, Historiarum, Caeremoniarum, Victimarum, & Sacrificiorum, Ex Testamento vetere, Ad Christum Dei Filium, & Ecclesiam eius pertinentium Synaoroisis;1560;Franc;Haered. Ch. Egen.;Latin;Lutheranism;Patriarchs;Ancient Sacrifices;Bible, Old Testament;;http://books.google.com/books?id=p7IX-H5CjA4C&printsec=frontcover
"Marlorat, Augustin; Bèze, Théodore de ";"1506 - 1562; 1519 - 1605";"http://viaf.org/viaf/32005708; http://viaf.org/viaf/66463755";"Sommaire recueil des signes sacrez, sacrifices et sacremens instituez de Dieu depuis la création du monde ; et De la vraye origine du sacrifice de la messe";"Sommaire recueil des signes sacrez, sacrifices et sacremens instituez de Dieu depuis la création du monde ; et De la vraye origine du sacrifice de la messe";1561;[Caen];[Pierre Philippe];French;Calvinism;Liturgy;Mass;Church History;;https://books.google.it/books?id=1wne35HS_M8C&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Panvino, Onofrio;1529 - 1568;http://viaf.org/viaf/49360443;Onuphrii Panvinii Veronensis, de ludis circensibus, libri ii. De triumphis, liber unus. Quibus universa fere romanorum veterum sacra ritusq. declarantur, ac figuris aenis illustrantur;Onuphrii Panvinii Veronensis, de ludis circensibus, libri ii. De triumphis, liber unus. Quibus universa fere romanorum veterum sacra ritusq. declarantur, ac figuris aenis illustrantur;1683;Padua;Petrus Maria Frambotti ;Latin;Ancient Romans;Animals;Early Christianity;;;https://www.worldcat.org/title/onuphrii-panvinii-veronensis-de-ludis-circensibus-libri-ii-de-triumphis-liber-unus-quibus-universa-fere-romanorum-veterum-sacra-ritusq-declarantur-ac-figuris-aenis-illustrantur/oclc/939440424?referer=di&ht=edition
Philipot, Thomas;? - 1682;http://viaf.org/viaf/24947263;Antiquitas theologica & gentilis, or, Two discourses : the first, concerning the original of churches, and their direct or collateral endowments : the second, touching the religion of the gentiles, their temples, priests, sacrifices, and other ancient rituals. A work necessary for divines, lawyers, antiquaries, historians and poets;Antiquitas theologica & gentilis, or, Two discourses : the first, concerning the original of churches, and their direct or collateral endowments : the second, touching the religion of the gentiles, their temples, priests, sacrifices, and other ancient rituals. A work necessary for divines, lawyers, antiquaries, historians and poets;1670;London;"W. G.; R. Needham";English;Ancient Sacrifices;Temple;Antiquarianism;Church History;;https://www.google.it/books/edition/Antiquitas_theologica_et_gentilis_Or_two/rOZoAAAAcAAJ?hl=it&gbpv=1&dq=Antiquitas+theologica+%26+gentilis,+or,+Two+discourses+philipot&pg=PP17&printsec=frontcover
Purchas, Samuel;[1577] - 1626;http://viaf.org/viaf/22239295;Purchas his Pilgrimage, or, Relations of the world and the religions observed in all ages and places discouered, from the creation unto this present : in foure partes : this first containeth a theologicall and geographicall historie of Asia, Africa, and America, with the ilands adiacent : declaring the ancient religions before the floud, the heathnish, Jewish, and Saracenicall in all ages since [...] with briefe descriptions of the countries, nations, states, discoueries, priuate and publike customes, and the most remarkable rarities of nature, or humane industrie, in the same;Purchas his Pilgrimage, or, Relations of the world and the religions observed in all ages and places discouered, from the creation unto this present : in foure partes : this first containeth a theologicall and geographicall historie of Asia, Africa, and America, with the ilands adiacent : declaring the ancient religions before the floud, the heathnish, Jewish, and Saracenicall in all ages since [...] with briefe descriptions of the countries, nations, states, discoueries, priuate and publike customes, and the most remarkable rarities of nature, or humane industrie, in the same;1613;London;"William Stansby; Henrie Fetherstone";English;Judaism;Ancient Sacrifices;Sacrifice Compared;;;https://www.worldcat.org/title/purchas-his-pilgrimage-or-relations-of-the-world-and-the-religions-observed-in-all-ages-and-places-discouered-from-the-creation-vnto-this-present-in-foure-partes-this-first-containeth-a-theologicall-and-geographicall-historie-of-asia-africa-and-america-with-the-ilands-adiacent-declaring-the-ancient-religions-before-the-floud-the-heathnish-jewish-and-saracenicall-in-all-ages-since-with-briefe-descriptions-of-the-countries-nations-states-discoueries-priuate-and-publike-customes-and-the-most-remarkable-rarities-of-nature-or-humane-industrie-in-the-same/oclc/25717233?referer=di&ht=edition
Rous, Francis;1615 - 1643;http://viaf.org/viaf/55234822;Archæologiæ atticæ libri tres : three books of the Attick antiquities, containing the description of the cities glory, government, division of the people, and townes within the Athenian territories, their religion, superstition, sacrifices, account of their year : as also a full relation of their judicatories;Archæologiæ atticæ libri tres : three books of the Attick antiquities, containing the description of the cities glory, government, division of the people, and townes within the Athenian territories, their religion, superstition, sacrifices, account of their year : as also a full relation of their judicatories;1646;London;George Calvert;Latin;acrifices;Liturgy;Ancient Greeks;;;https://www.archive.org/details/archaeologaeiatt00rous
Anonymous / Unknown;? - ?;;Descrizione della presente figura mandata in Roma da un missionario apostolico della Cina con le cirimonie, che si praticano nel solenne sacrificio di Confucio: cavata dall'articolo 4 dei quesiti decisi dalla Santità di N.S. Clemente 11. il dì 20. novembre 1704;Descrizione della presente figura mandata in Roma da un missionario apostolico della Cina con le cirimonie, che si praticano nel solenne sacrificio di Confucio: cavata dall'articolo 4 dei quesiti decisi dalla Santità di N.S. Clemente 11. il dì 20. novembre 1704;[1704];n. p.;n. p.;Italian;Catholicism;Confucianism;China;China, Christianity in;Chinese Rites;https://opac.sbn.it/opacsbn/opaclib?saveparams=false&db=solr_iccu&select_db=solr_iccu&searchForm=opac%2Ficcu%2Favanzata.jsp&resultForward=opac%2Ficcu%2Ffull.jsp&do_cmd=search_show_cmd&extra_rpnlabel=&long_emisfero_da=-&long_gradi_da=&long_primi_da=&long_secondi_da=&long_emisfero_a=-&long_gradi_a=&long_primi_a=&long_secondi_a=&lat_emisfero_da=&lat_gradi_da=&lat_primi_da=&lat_secondi_da=&lat_emisfero_a=&lat_gradi_a=&lat_primi_a=&lat_secondi_a=&nentries=1&rpnlabel=+Titolo+%3D+sacrificio+%28parole+in+AND%29++AND+Titolo+%3D+Roma+%28parole+in+AND%29++AND+Anno+di+pubblicazione%3E%3D1500++AND+Anno+di+pubblicazione%3C%3D1799+&rpnquery=%40attrset+bib-1+%40and+%40and+%40and++%40attr+1%3D4+%40attr+4%3D6+%22sacrificio%22++%40attr+1%3D4+%40attr+4%3D6+%22Roma%22++%40attr+1%3D31+%40attr+4%3D4++%40attr++2%3D4+%221500%22++%40attr+1%3D31+%40attr+4%3D4++%40attr++2%3D2+%221799%22&fname=none&from=2
Stucki, Johann Wilhelm;1542 - 1607;http://viaf.org/viaf/79252936;Sacrorum, Sacrificiorumq[ue] Gentilium Brevis Et Accurata Descriptio: universae Superstitionis Ethnicae ritus cerimoniasq[ue] complectens: Ad Sacros Et Profanos Scriptores probe intelligendos explicandosq[ue] peraccommodata: Ex Antiquissimis probatissimisq[ue] Auctoribus depromta et nunc primum;Sacrorum, Sacrificiorumq[ue] Gentilium Brevis Et Accurata Descriptio: universae Superstitionis Ethnicae ritus cerimoniasq[ue] complectens: Ad Sacros Et Profanos Scriptores probe intelligendos explicandosq[ue] peraccommodata: Ex Antiquissimis probatissimisq[ue] Auctoribus depromta et nunc primum;1598;Zürich;Johannis Wolphius;Latin;Ethnos;Superstition;Liturgy;Ancient Sacrifices;;https://www.e-rara.ch/zuz/content/titleinfo/1663576
