AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;EDITOR;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Anonymous / Unknown;;;Dit Boec wort genoemt: Het Offer des Heeren, om het inhout van sommighe opgheofferde kinderen Godts: De welcke voortgebracht hebben wt den goeden schat haers herten, Belijdingen, Sendtbrieven, ende Testamenten, de welcke sy metten monde beleden ende metten bloede bezegelt hebben, Tot troost ende versterckinghe der Slachschaepkens Christi, die totter doot geschict zijn, Tot lot, prijs ende eere des geens diet al in allen vermach, wiens macht duert van eewicheyt tot eewicheyt, Amen. ;Dit Boec wort genoemt: Het Offer des Heeren ...;1562;Franeker ;;Jan Hendricksz;Dutch ;Martyrology;Anabaptism;Mennonites;Netherlands;;"https://www.google.com/books/edition/Dit_boec_wort_genoemt_Het_offer_des_Heer/lT9lAAAAcAAJ?hl=en&gbpv=1

Transcript: https://www.dbnl.org/tekst/_off001offe01_01/"
Anonymous / Unknown;;;Martyrologia alphabetikē, or, An alphabetical martyrology containing the tryals and dying expressions of many martyrs of note since Christ: extracted out of Foxe's Acts and monuments of the church : with an alphabetical list of God's judgements remarkably shown on many noted and cruel persecutors : together with an appendix of things pertinent to martyrology by N.T., M.A.T.C.C.;Martyrologia alphabetikē, or, An alphabetical martyrology ... ;1677;London;;R. Butler;English;Martyrology;England;Protestantism;;;https://quod.lib.umich.edu/e/eebo/A40369.0001.001?view=toc
Anonymous / Unknown;;;Theatrum Crudelitatum haereticorum nostri temporis. ;Theatrum Crudelitatum haereticorum nostri temporis. ;1587;Antwerp ;;Adrianum Hubert;Latin;Catholicism;Martyrology;England;Iconography;;https://books.google.com/books?id=-CVSAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Anonymous / Unknown;;;Martyrology, or, A brief account of the lives, sufferings and deaths of those two holy martyrs, viz. Mr. John Rogers, and Mr. John Bradford who suffered for the Gospel, by the bloody tyranny, rage and persecution of the Church of Rome, in the kingdom of England, under the reign of Queen Mary, and were burnt at Smithfield, the former on the 14th of February 1554, the latter July 1st 1555;Martyrology, or, A brief account of [...] those two holy martyrs, viz. Mr. John Rogers, and Mr. John Bradford ...;1736;Boston;;S. Kneeland, T. Green;English;Martyrology;England;Protestantism;;;No Link found
"Askewe, Anne; Bale, John ";"1521-1546; 1495-1563";"http://viaf.org/viaf/51868520/#Askew,_Anne,_1521-1546; http://viaf.org/viaf/59101333/#Bale,_John,_1495-1563.";The first examinacyon of Anne Askewe, latelye martyred in Smythfelde, by the Romysh popes vpholders, with the elucydacyon of Iohan Bale ;The first examinacyon of Anne Askewe ...;1546;Marburg;;D. van der Straten;English;English Reformation;Protestantism;England;;;https://quod.lib.umich.edu/e/eebo/A22076.0001.001?view=toc
Bèze, Théodore de;1519-1605;http://viaf.org/viaf/66463755/#Béze,_Théodore_de_(1519-1605);Histoire Ecclésiastique des églis réformées au royaume de France: en laquelle est descrite au vray la renaissance & accroissement d'icelles depuis l'an MDXXI iusques en l'annee MDLXIII, leur reiglement ou discipline, Synodes, persecutions tant generales que particulieres, nomes & labeurs de ceux qui ont heureusement travaillé, villes et lieux où elles ont esté dresses, avec le discours des premier troubles ou guerres civiles, desquelles la vraye cause est aussi declaree: Divisee En Trois Tomes, ayans chasque Tome leurs tables ;Histoire Ecclésiastique des églis réformées au royaume de France ...;1580;Antwerp ;;Jean Remy;;Protestantism;France;Martyrology;;;https://books.google.com/books?id=-v07AAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Billingsly, Nicholas;1633-1709;http://viaf.org/viaf/39726498/#Billingsley,_Nicholas,_1633-1709;"Brachy-martyrologia, or, A breviary of all the greatest persecutions which have befallen the 
saints and people of God from the creation to our present times paraphras'd by Nicholas Billingsly";Brachy-martyrologia ...;1657;London;;J. Cottrel;English;Martyrology;England;Anglicanism;;;https://www.google.com/books/edition/Brachy_martyrologia_Or_A_Breviary_of_All/MhoDAAAAQAAJ?hl=en&gbpv=1&pg=PP5&printsec=frontcover
Bradford, John ;[1510]-1555;http://viaf.org/viaf/62756065/#Bradford,_John,_1510?-1555;The godly exhortation of holy Father Bradford which he gave to his wife, children and friends a little before his death, who dyed a martyr for the Gospel in Q. Maries days: wherein is plainly shown the excellency of the Protestant religion and the happiness of those that profess and live the same: as also the damnableness of the Romish religion with their bloody and rebellious crimes laid open: with the relation of the murder of that just justice Sir Edmund-bury Godfrey;The godly exhortation of holy Father Bradford ...;1683;London;;T. Passenger;;Protestantism;England;Marian Martyrs;;;"https://quod.lib.umich.edu/e/eebo/A29095.0001.001/1:3?rgn=div1;view=fulltext"
Braght, Tieleman Jansz van;1625-1664;http://viaf.org/viaf/64921378/#Braght,_Tieleman_Jansz._van_(Tieleman_Jansz),_1625-1664;Het Bloedig Tooneel Der Doops-gesinde, En Weereloose Christenen. Die/om het getuygenisse Jesu hares Salighmaeckers/geleden hebben/en gedoodt zijn/van Christi tijdt af/tot dese onse laetste tijden toe. Mitsgaders, Een beschrijvinge der H. Doops, ende andere stucken van den Godsdienst, door alle de selve geoeffent. Begrepen in Twee Boecken. Zijnde een vergrootinge van den voorgaenden Martelaers-Spiegel, uyt vele geloofweerdige Chronijcken/Memorien/Getuygenissen/etc. Door T. J. V. B. Gedruckt tot Dordrecht, by Jacob Braat, Voor Jacobus Savry, woonende in 'I Kasteel van Gendt. In 't Jaer 1660.;Het Bloedig Tooneel Der Doops-gesinde, En Weereloose Christenen ...;1660;Dordrecht;;Jacob Braat;;Iconography;Anabaptism;Mennonites;Martyrology;;https://books.google.com/books?id=zcpmAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Brice, Thomas;1536-1571;http://viaf.org/viaf/267714832/#Brice,_Thomas,_-1570;A briefe register in meter containing the names and patient suffrings of the martyrs members of Iesus Christ, afflicted, tormented, and cruelly burned here in England, in ye time of Q. Marie, together with the yeere, moneth, day, and place of their martyrdom;A briefe register in meter containing the names and patient suffrings of the martyrs ... ;1599;London;;Simon Stafford;English;England;English Reformation;Protestantism;Martyrology;;No digital copy found
Bugenhagen, Johannes [Pomeranus];1485-1558;http://viaf.org/viaf/4940054/#Bugenhagen,_Johannes,_1485-1558.;Artickeln der Doctorn von Louen Wilhelm von Zwollen Konigs Forirer Christlich hatgeantwort und da nebe eine Christlische bekentnis gethan dar auff er zu Mecheln ymNiderlande verbrand ist. Anno M. D. XXIX. des xx. tags Octobris. Mit einer Vorrede Johannis Bugenhagen Pommer.  ;Artickeln der Doctorn von Louen Wilhelm von Zwollen ... ;1530;Wittenberg;;n. p.;German;Lutheranism;Refomrataion;Leuven;;;No digital copy found
Butler, Alban;1711-1773;http://viaf.org/viaf/15551611/#Butler,_Alban,_1711-1773;The Lives of the Fathers, Martyrs and Other Principal Saints. Compiled from original monuments and authentic records (XII Vol.) ;The Lives of the Fathers, Martyrs and Other Principal Saints ...;1755-1759;London;;n. p.;English;Catholicism;Martyrology;;;;1799 ed. (third ed.) https://books.google.com/books?id=BEBOAAAAYAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Kanis, Pieter [Canisius, Petrus];1521-1597;http://viaf.org/viaf/59109589/#Canisius,_Petrus,_1521-1597;Martyrologivm: Der Kirchen Kalender, darinnen angezeigt werden die Christlichen Feste und Heiligen Gottes, beyder Testament, wie man dieselbigen durch das gantz jar in der Christenheit von tag zu tag begeht.;Martyrologivm: Der Kirchen Kalender ...;1562;Dillingen;;Sebaldum Mayer;German;Catholicism;Liturgy;Martyrology;;;https://books.google.com/books?id=mpQ8AAAAcAAJ&printsec=frontcover#v=onepage&q&f=false
Chandieu, Antoine de ;1534-1591;http://viaf.org/viaf/64078120/#Chandieu,_Antoine_˜deœ_1534-1591;Histoire des persecutions, et martyrs de l'Eglise de Paris, depuis l'an 1557, iusques au temps du roy Charles neufuiesme: auec vne epistre contenant la remonstrance des proffits qui reuiendront aux fideles de la lecture de ceste histoire, et vne exhortation à ceux qui nous ont persecutez;Histoire des persecutions, et martyrs de l'Eglise de Paris ...;1558;Lyon;;Claude Senneton;French;France;Paris;Calvinism;Protestantism;"
";"1563 edition
https://books.google.com/books?id=_Hl9Oz0-smAC&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false"
Chestlin;?-?;http://viaf.org/viaf/59432301/#Chestlin;Persecutio undecima, or, The churches eleventh persecution being a brief of the fanatick persecution of the Protestant clergy of the Church of England, more particularly within the city of London: begun in Parliament, Anno Dom. 1641, and printed in the year 1648.;Persecutio undecima, or, The churches eleventh persecution ...;1648;London;;n. p.;English;English Civil War;Protestantism;;;;https://quod.lib.umich.edu/e/eebo/A32788.0001.001?view=toc
Clarke, Samuel;1599-1682;http://viaf.org/viaf/55499422/#Clarke,_Samuel,_1599-1682;A generall martyrologie: containing a collection of all the greatest persecutions which have befallen the church of Christ from the creation to our present times, whereunto are added, The lives of sundry modern divines, famous in their generations for learning and piety, and most of them sufferers in the cause of Christ ;A generall martyrologie ...;1651;London;;Thomas Underhill;English;Martyrology;English Civil War;Anglicanism;Protestantism;;https://books.google.com/books?id=VlUMAAAAIAAJ&printsec=frontcover#v=onepage&q&f=false
Clarke, Samuel;1599-1682;http://viaf.org/viaf/55499422/#Clarke,_Samuel,_1599-1682;A looking-glass for persecutors containing multitudes of examples of God's severe, but righteous judgments, upon bloody and merciless haters of His children in all times, from the beginning of the world to this present age: collected out of the sacred Scriptures, and other ecclesiastical writers, both ancient and modern;A looking-glass for persecutors ...;1674;London;;William Miller;English;Persecutions ;England;Anglicanism;Protestantism;;https://quod.lib.umich.edu/e/eebo/A33333.0001.001?view=toc
Comenius, Johann Amos;1592-1670;http://viaf.org/viaf/29835535/#Comenius,_Johann_Amos,_1592-1670;Böhmisches Martyr-Büchlein: Das ist, Historische erzehlung der verfolgungen, welche über die Böhmische Kirchen von dem anfang jhrer bekehrung zum Christenthum, das ist, vom Jahr 894. biß auff 1632. ergangen. Darinne viel denckwürdige Reden, grosse Gedult vnd Standhafftigkeit der Martyren, zuvor vnerhörte Politische heimlichkeiten, Rathschläg, List vnd Künst der Feinden, gegenwärtiger Kriegen wahrhafftige Vrsachen, vnd Gottes erschröckliche Gericht, fürgestellet werden. Zuvor in Latein außgangen, nun aber zu besserem Nutzen auff das trewlichste in die gemeine Teutsche Sprach übergesetzt;Böhmisches Martyr-Büchlein ...;1650;Zurich;;Michael Schuffelberger;;Bohemian Reformation;Moravia;Unity of the Brethren;;;https://books.google.com/books?id=MsQAAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Cotton, Clement;?-?;http://viaf.org/viaf/25670097/#Cotton,_Clement;The mirror of martyrs in a short vieuu lively expressing the force of their faith, the feruency of their loue, the wisedome of their sayings, the patience of their suffrings, etc.: with their prayers and preparation for their last farevvell: whereunto is added two godly letters written by M. Bradford, full of sweet consolation for such as are afflicted in conscience.;The mirror of martyrs ...;1613;London;;T. P.;English;England;Protestantism;English Reformation ;;;https://quod.lib.umich.edu/e/eebo/A19420.0001.001?view=toc
Coverdale, Miles;1488-1569;http://viaf.org/viaf/39395593/#Coverdale,_Miles,_1488-1568;The Letters of the Martyrs: collected and published in 1564;The Letters of the Martyrs: collected and published in 1564;1564;n. p.;;n. p.;English;England;Correspondences;Elizabethan Martyrs;;;https://archive.org/details/thelettersofthem00unknuoft
Crespin, Jean;[1520]-1572;http://viaf.org/viaf/9901063/#Crespin,_Jean,_1520?-1572;Le Livre Des Martyrs: Qvi Est Vn Recveil de plusieurs Martyrs qui ont enduré la mort pour le Nom de nostre Seigneur Iesus Christ, depuis Iea Hus iusques à ceste année presente M.D.LIIII;Le Livre Des Martyrs ...;1554;Geneva;;Jean Crespin ;;Martyrology;Protestantism;Hussites;Chruch History;;https://www.digitale-sammlungen.de/en/view/bsb10179099?page=4,5
Crocius, Paul ;1551-1607;http://viaf.org/viaf/59867245/#Crocius,_Paul,_1551-1607;"Apophtegmata martyrum, das ist, Denckwürdige Reden, welche die heiligen Märtyrer vom Jahr 1415 biss auf 1573 auss des heiligen Geistes trieb, in währender ihrer Gefängnuss und bey Vollziehung des uber sie gefällten Tod-Urtheils, zur Erbawung der Kirchen, Stärkung unsers Glaubens und Uberzeug- und Beschämung der Feinden der Warheit herfür gebracht haben / wie solche D. Paulus Crocius in seinem grossen Martyr-Buch verzeichnet; kürtzlich aussgezogen und zusammen getragen durch M. Rudolph Huber, Diener am Wort Gottes zu Schaffhausen";Apophtegmata martyrum ...;1664;Zurich;"Huber, Rudolph
Meyer, Conrad ";Johann Heinrich Hamberger, Wilhelm Simlers;German;Protestantism;Martyrology;;;;"https://www.e-rara.ch/zuz/content/zoom/2910129
"
Dühren, Isaac van;1725-1800;http://viaf.org/viaf/283497881/#Dühren,_Isaac_van_1725-1800;Geschichte der Märtyrer oder kurze historische Nachricht von den Verfolgungen der Mennoniten;Geschichte der Märtyrer ...;1787;Königsberg;;G. L. Hartung;German;Mennonites;Martyrology;Netherlands;Anabaptism;Holy Roman Empire;No Online Edition Found
Dunton, John;1659 – 1733;http://viaf.org/viaf/76555683/#Dunton,_John,_1659-1733;"The Devil's martyrs: or, plain dealing, in answer to the Jacobite speeches of those two Perjured Rebels William Paul, a Clergyman, and John Hall, a Justice of Peace; fairly proving, no British subject can be a true son of the Church of England that dies asserting that the Pretender has any rights to his Majesty's Crown. To which is added, The high-church martyrology: ... Written by Mr. John Dunton. ";The Devil's martyrs ...;1716;London;;John Dunton;English;Monmouth Rebellion ;Glorious Revolution ;;;;No Link Found
Van Est, Willem Hessels [Estio, Guilielmo];1542-1613;http://viaf.org/viaf/29565159/#Estius,_Guilielmus,_1542-1613;"Historiae Martyrum Gorcomiensium, maiori numero fratrum minorum; qui pro fide Catholica a perduellibus interfecti sunt anno Domini 1572 ";Historiae Martyrum Gorcomiensium ...;1603;Douai;;Balthazar Bellere;Latin;Catholicism;Netherlands;;;;https://books.google.com/books?id=B61MAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Fabri, Johannes ;1504-1558;http://viaf.org/viaf/73844870/#Fabri,_Johann,_1478-1541;Von dem Ayd Schwören: Auch von der Widertauffer Marter, und wo her entsping, das sie also frölich und getröst die peyn des tods leyden ;Von dem Ayd Schwören ...;1550;Ingolstadt;;n. p.;German;Catholicism;Anti-Protestant Controversy;Anti-Anabaptist Controversy;;;https://books.google.com/books?id=WzlbAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Flacius Illyricus, Matthias ;1520-1575;http://viaf.org/viaf/89645361/#Flacius_Illyricus,_Matthias,_1520-1575.;Des h. Merteres Christi, Georgen Scherers letzte bekentnis, welcher vmb der warheit Christi willen, von dem Antichristischen Wolffe zu Saltzburgk, grawsamlich ist ermordet worden.;Des h. Merteres Christi, Georgen Scherers letzte bekentnis ...;1554;Magdeburg;;Michael Lotter;German;Lutheranism;Reformation;;;; https://digitale.bibliothek.uni-halle.de/vd18/content/pageview/2890979
Fowler, Edward;1632-1714;http://viaf.org/viaf/64129673/#Fowler,_Edward,_1632-1714;The Loyal Martyr Vindicated;The Loyal Martyr Vindicated;1691;London;;n. p.;English;Anglicanism;Glorious Revolution ;;;;https://books.google.com/books?id=9epbAAAAQAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Foxe, John;1516?-1587;http://viaf.org/viaf/32005978/#Foxe,_John,_1516-1587.;Commentarii rerum in ecclesia gestarum, maximarumque per totam Europam, persecutionum, a Vuicleui temporibus ad hanc usque aetatem descriptio, Liber primus;Commentarii rerum in ecclesia gestarum ...;1554;Strasbourg;;Wendelinus Rihelius;Latin;Protestantism;Martyrology;;;;https://books.google.com/books?id=9-lYAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Gennings, John;[1570]-1660;http://viaf.org/viaf/29877714/#Gennings,_John;The life and death of Mr. Edmund Geninges priest, crowned with martyrdome at London, the 10. day of Nouember, in the yeare M.D.XCI. ;The life and death of Mr. Edmund Geninges ...;1614;Saint Omer;;Charles Boscard;English;Catholicism;England;Elizabethan Martyrs;Torture;;https://quod.lib.umich.edu/e/eebo/A01600.0001.001?view=toc
Goulart, Simon;1543-1628;http://viaf.org/viaf/29534649/#Goulart,_Simon,_1543-1628;Mémoires de l'estat de France sous Charles IX contenant les choses les plus notables, faictes et publiées tant par les catholiques que par ceux de la religion, depuis le troisième édit de pacification faict au mois d'Aoust 1570 jusques au règne de Henry troisieme, & reduits en trois volumes, chacuns desquels a un indice des principales matières y contenus;Mémoires de l'estat de France sous Charles IX ...;1578;Middelburg;;Henry Wolf;;Protestantism;France ;Calvinism;Martyrology;;https://gallica.bnf.fr/ark:/12148/bpt6k54658x
Guthrie, James ;[1612]-1661;http://viaf.org/viaf/71743754/#Guthrie,_James,_1612?-1661;A cry from the dead, or, the ghost of the famous Mr. James Guthrie appearing: Being the last sermon he preached in the pulpit of Stirling, before his martyrdom at Edinburgh, June 1661. To which is added, his last speech upon the Scaffold. ;A cry from the dead, or, the ghost of the famous Mr. James Guthrie ...;1738;Glasgow;;William Duncan;English;Presbyterians;English Civil War;;;;https://archive.org/details/cryfromdeadorgho00guth
Guttman, Leonhardt;?-?;http://viaf.org/viaf/27886541/#Guttmann,_Leonhard.;Verantwortung Caspar Taubers, der zu Wien verprant ist worden Vnd eyn kurtzer vnterricht, wer Gottes Wort veruolgt;Verantwortung Caspar Taubers ...;1524;n. p.;;n. p.;German;Lutheranism;Austria ;;;;https://books.google.com/books?id=HqVmAAAAcAAJ&printsec=frontcover&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Haemstede, Adrian Cornelisz van;1525-1562;http://viaf.org/viaf/50041351/#Haemstede,_Adriaen_Cornelisz_van,_1525-1562;De Gheschiedenisse ende den doodt der vromer Martelaren die om het ghetuyghenisse des Euangeliums haer  bloedt ghestort hebben, van den tyden Christi af, tot den Jare M.D. LIX toe, byeen vergadert op het kortste, Door Adrianum Corn. Haemstedium.;De Gheschiedenisse ende den doodt der vromer Martelaren ...;1559;Emden;;Gilles van der Erve;Dutch;Martyrology;Calvinism;Netherlands;Protestantism;Mennonites;https://www.google.com/books/edition/De_Gheschiedenisse_Ende_Den_doodt_der_vr/wShoAAAAcAAJ?hl=en&gbpv=0
Heath, James;1629–[1664];http://viaf.org/viaf/24949815/#Heath,_James,_1629-1664;A New Book of Loyal English Martyrs and Confessors Who have endred the Pains and Terrours of Death, Arraignment, Banishment, and Imprisonment, for the Maintenance of the Just and Legal Government of these Kingdoms, both in Church and State.;A New Book of Loyal English Martyrs ...;1665;n. p.;;n. p. ;English;English Civil War;Regicide;Royalist;;;No online link found
Heidegger, Johann Heinrich;1633-1698;http://viaf.org/viaf/10601551/#Heidegger,_Johann_Heinrich,_1633-1698;Consolatio Christiana s. martyrum, omniúmque persecutiones sustinentium: ex Dei verbo, protrepticis & consolationibus s. patrum, aliorúmque ad martyres, ipsorum denique s. martyrum veterum & recentionum emortualibus dictis asserta / quam Spiritu S. paracleto duce et auspice placido eruditorum examini subiicit Ioh. Henricus Heideggerus, SS. theol. D.& P.P. respondente Ioh. Henrico Zieglero V.D.M. assumente Felice Brunnero S. theol. stud. postridie synodi Maii, h.l.q.s.;Consolatio Christiana s. martyrum, omniúmque persecutiones sustinentium ...;1677;n. p.;;Davidis Gissneri;Latin;Swiss Reformed;Martyrology;Protestantism;;;https://www.e-rara.ch/zuz/content/zoom/4194395
Hide, Thomas;1524-1597;http://viaf.org/viaf/27218586/#Hide,_Thomas;A consolatorie epistle to the afflicted catholikes, set foorth by Thomas Hide Priest.;A consolatorie epistle to the afflicted catholikes, set foorth by Thomas Hide Priest.;1580;East Ham;;Stephen Brinkley;English;Catholicism;Elizabethan Martyrs;England;;;https://quod.lib.umich.edu/e/eebo2/A03260.0001.001?view=toc
Hooks, Ellis;[1635]-1681;http://viaf.org/viaf/15122035/#Hookes,_Ellis,_-1681;The Spirit of Christ, and the spirit of the Apostles and the spirit of the martyrs is arisen, which beareth testimony against swearing and oaths, for which the martyrs suffered in the time of the ten persecutions and some since, which we also, the people of God called Quakers, do suffer for, as many thousands have done, for keeping the commands of Christ who saith, swear not at all and also, here you may see such martyrs as could not put off their hat or bonnet to the Pope, nor his legate, and as example of one martyr that could not give sureties, being innocent, so that you may see in this book following, to swear not at all, nor to take oaths, nor to deny putting  off the hat or bonnet, nor to deny giving sureties being innocent is no new thing, which is proved out of the Scriptures and book of martyrs ;The Spirit of Christ, and the spirit of the Apostles and the spirit of the martyrs is arisen ...;1661;London;;Giles Calvert;English;Martyrology;Quakers;England;;;"https://quod.lib.umich.edu/e/eebo2/A44363.0001.001/1:1?rgn=div1;view=fulltext"
