AUTHOR;DATES / CENTURY;VIAF;TITLE;SHORT TITLE;YEAR;PLACE;PUBLISHER / DEALER;LANGUAGE;KEY WORD 1; KEY WORDS 2;KEY WORDS 3;KEY WORDS 4;KEY WORDS 5;LINKS
Brett, Thomas;1667 - 1744;http://viaf.org/viaf/33417657;A supplement to the Remarks on the Reverend Dr. Waterland's Review of the doctrine of the Eucharist: Containing, some remarks on the said Doctor's Christian sacrifice explain'd, and the appendix added to it;A supplement to the Remarks on the Reverend Dr. Waterland's Review of the doctrine of the Eucharist: Containing, some remarks on the said Doctor's Christian sacrifice explain'd, and the appendix added to it;1738;London;James Bettenham;English;Disputes;Anglicanism;Eucharist;;;https://books.google.it/books?id=t4qpP6yIcc0C&newbks=0&printsec=frontcover&pg=PA3&dq=A+supplement+to+the+Remarks+on+the+Reverend+Dr.+Waterland%27s+Review&hl=it&redir_esc=y#v=onepage&q&f=false
Calixt, Friedrich Ulrich;1622 - 1701;http://viaf.org/viaf/74285850;Disputatio Theologica De Sacrificio N.T. In Cruce Peracto;Disputatio Theologica De Sacrificio N.T. In Cruce Peracto;1665;Helmestedt;Typographus Calixtinus;Latin;Lutheranism;Disputes;Christ's sacrifice;;;http://diglib.hab.de/drucke/sch-t-76-36s/start.htm
Calixt, Georg;1586 - 1656;http://viaf.org/viaf/61554109;De Sacrificio Christi Semel In Cruce Oblato, Et Initerabili Exercitatio Theologica;De Sacrificio Christi Semel In Cruce Oblato, Et Initerabili Exercitatio Theologica;1639;Helmestedt;Henning Müller;Latin;Lutheranism;Christ's sacrifice;Theology;;;http://diglib.hab.de/drucke/qun-167-11-7-3s/start.htm
Cellarius, Balthasar;1614 - 1671;http://viaf.org/viaf/59988762;De pontificiorum sacrificio missae exercitatio academica;De pontificiorum sacrificio missae exercitatio academica;1663;Helmestedt;Henning Müller;;Lutheranism;Mass;Theology;;;https://digital.slub-dresden.de/werkansicht/dlf/68525/3/0/
Constable, John;1676 - 1743;http://viaf.org/viaf/232087176;The doctrine of antiquity concerning the most blessed eucharist: plainly shewed, in remarks written, some years since, upon Mr. Johnson's book, of The unbloody sacrifice and now published, on occasion of a book, intituled A plain account, &c. By Clerophilus;The doctrine of antiquity concerning the most blessed eucharist: plainly shewed, in remarks written, some years since, upon Mr. Johnson's book, of The unbloody sacrifice and now published, on occasion of a book, intituled A plain account, &c. By Clerophilus;1736;London;n. p.;English;Unbloody sacrifice;Eucharist;Disputes;;;https://books.google.it/books?id=FKFhAAAAcAAJ&pg=PA1&dq=The+doctrine+of+antiquity+concerning+the+most+blessed+eucharist&hl=it&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwiK0-LeoLDwAhXMDewKHfA6A4kQ6AEwAXoECAAQAg#v=onepage&q=The%20doctrine%20of%20antiquity%20concerning%20the%20most%20blessed%20eucharist&f=false
Cajetan, Tommaso de Vio;1469 - 1534;http://viaf.org/viaf/49196005;De sacrificio Miss[a]e. De Communione De Confessione De Satisfactione De Sanctorum invocatione Adversus lutheranos iuxta scripturam Tractatus;De sacrificio Miss[a]e. De Communione De Confessione De Satisfactione De Sanctorum invocatione Adversus lutheranos iuxta scripturam Tractatus;1531;Paris;Pierre Regnault;Latin;Catholicism;Anti-Protestant Controversy;Mass;;;https://download.digitale-sammlungen.de/BOOKS/download.pl?id=bsb11116901
Fenner, William;1600 - 1640;http://viaf.org/viaf/28130376;The sacrifice of the faithfull, or, A treatise shewing the nature, property, and efficacy of zealous prayer together with some motives to prayer, and helps against discouragements in prayer: to which is added seven profitable sermons;The sacrifice of the faithfull, or, A treatise shewing the nature, property, and efficacy of zealous prayer together with some motives to prayer, and helps against discouragements in prayer: to which is added seven profitable sermons;1648;London;John Stafford;;Puritanism;Sermons;Prayers;;;"https://quod.lib.umich.edu/e/eebo/A41125.0001.001?rgn=main;view=fulltext"
Gerlach, Stephan;1546 - 1612;http://viaf.org/viaf/13062332;De Sacrificio Missatico Disputatio Theologica: Bellarmini Duobus De Missa Libris opposita;De Sacrificio Missatico Disputatio Theologica: Bellarmini Duobus De Missa Libris opposita;1604;Tübingen;Georgius Gruppenbachius;Latin;Lutheranism;Mass;Disputes;Anti-Catholic Controversy;;https://books.googleusercontent.com/books/content?req=AKW5QadMtq7lbDzmmd-XgL1AU1bXTEqNE76DvBMgYeza8OHfLQ9ik_t5nKo5cygQwsL58VHhHi3vPWb_IwWWT0ROVQ-znSYq4zW9MrWJ5RxPQ8WdEmo9E4ngGA0YIfFNljVVGtNP9N4Rvxq2cKFFu0UwHquVLj8SIjTBw3Kgvzddz70el6RyXUGN3SkJqIsLY1P68SO6VeNNwJzVtkjcknwoy7dyV6KaWXhDTBBOLWp24jqALujU3KP9n-ZUJnM5NXbJ5UJ5DooZiLGktUfvSMxUm6HvKaex6bN_3QJMEQC77feyYMK7Lq0
Gibbon de Burgo, Augustinus;1613 - 1676;http://viaf.org/viaf/196542528;Theologiae Scholasticae In Divum Thomam R. P. Fr. Augustini Gibbon [...] Tomus septimus Qui continet sequentes Tractatus, Scilicet De Sacramentis In Genere, De Baptismo, Et Confirmatione, De Augustissimo Eucharistiae Sacramento, Et Sacrificio Missae;Theologiae Scholasticae In Divum Thomam R. P. Fr. Augustini Gibbon [...] Tomus septimus Qui continet sequentes Tractatus, Scilicet De Sacramentis In Genere, De Baptismo, Et Confirmatione, De Augustissimo Eucharistiae Sacramento, Et Sacrificio Missae;1679;Erfurt;[Ludovicus Bourgeatus];Latin;Catholicism;Sacraments;Eucharist;Mass;;https://books.google.co.in/books?id=PkZBAAAAcAAJ&printsec=frontcover#v=onepage&q&f=false
George Gifford;[1548] -1600;http://viaf.org/viaf/147329371;A briefe treatise against the priesthood & sacrifice of the Church of Rome: wherein the simple may perceive their intollerable impietie, usurping that office and action, which euer appertaine to Christ onely;A briefe treatise against the priesthood & sacrifice of the Church of Rome: wherein the simple may perceive their intollerable impietie, usurping that office and action, which euer appertaine to Christ onely;1584;London;H. Midleton for Tobie Cooke;English;Anti-Catholic Controversy;Disputes;Bible, Old Testament;Bible, New Testament;Puritanism;https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A01372/A01372.html?sequence=5&isAllowed=y
Gother, John;? - 1704;http://viaf.org/viaf/79134104;An explication of the holy sacrifice of the mass, by G.H. To which is added, Instructions and devotions for confession, communion, and Confirmation;An explication of the holy sacrifice of the mass, by G.H. To which is added, Instructions and devotions for confession, communion, and Confirmation;1779;London;James Peter Coghlan;;Catholicism;Sacraments;Mass;Euchartist;;https://books.google.it/books?id=hc0CAAAAQAAJ&printsec=frontcover&redir_esc=y#v=onepage&q&f=false
Harding, Thomas;1516 - 1572;http://viaf.org/viaf/7541258;A reioindre to M. Iewels replie against the sacrifice of the masse;A reioindre to M. Iewels replie against the sacrifice of the masse;1566;Antwerp;John Fowler;;Mass;Disputes;Christ's sacrifice;;;https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A02635/A02635.html?sequence=5&isAllowed=y
Helding, Michael;1506 - 1561;http://viaf.org/viaf/27866071;De sanctissimo ac praestantissimo missae sacrificio conciones XV in comitiis augustanis anno MDXLVIII habitae;De sanctissimo ac praestantissimo missae sacrificio conciones XV in comitiis augustanis anno MDXLVIII habitae;1549;Köln;Johann Quentel;Latin;Catholicism;Mass ;;;;https://books.google.it/books?id=ZUB1KAi3e3YC&pg=PP1&lpg=PP1&dq=De+sanctissimo+ac+praestantissimo+missae+sacrificio+conciones+XV+in+comitiis+augustanis+anno+MDXLVIII+habitae&source=bl&ots=wi6daZtxpB&sig=ACfU3U1lFc4pIb67ckbnXajQ2-7JuTz9oA&hl=it&sa=X&ved=2ahUKEwjtoYKJ-cHwAhWCsaQKHb9fA_QQ6AEwBXoECAUQAw#v=onepage&q=De%20sanctissimo%20ac%20praestantissimo%20missae%20sacrificio%20conciones%20XV%20in%20comitiis%20augustanis%20anno%20MDXLVIII%20habitae&f=false
Henao, Gabriel de;1611 - 1704;http://viaf.org/viaf/29871692;De missae sacrificio divino atque tremendo Tractatio theologica, scholastica, moralis, expositiua & canonica ...: pars prima-tertia;De missae sacrificio divino atque tremendo Tractatio theologica, scholastica, moralis, expositiua & canonica ...: pars prima-tertia;1658;Salamanca;Sebastian Perez;Latin;Catholicism;Jesuits (S.J.);Disputes;Mass;Theology;https://archive.org/details/bub_gb_SDuiaSJELs4C
Herdesianus, Christoph;1523 - 1585;http://viaf.org/viaf/3229853;De mystico et incruento ecclesiae sacrificio adversus abominandam Pontificiae missae superstitionem;De mystico et incruento ecclesiae sacrificio adversus abominandam Pontificiae missae superstitionem;1584;Neustadt (Wied);Matthaeus Harnisch;Latin;Lutheranism;Anti-Catholic controversy;Disputes;Mass;;https://books.google.it/books?id=Opg8AAAAcAAJ&pg=RA1-PA227&lpg=RA1-PA227&dq=De+mystico+et+incruento+ecclesiae+sacrificio+adversus+abominandam+Pontificiae+missae+superstitionem&source=bl&ots=kQhgoEvcUb&sig=ACfU3U3yFx1-0h7u_6WTvX8QmDwq0xqj8g&hl=it&sa=X&ved=2ahUKEwiO4PvO1cPwAhUWs6QKHZr9AI4Q6AEwBXoECAgQAw#v=onepage&q=De%20mystico%20et%20incruento%20ecclesiae%20sacrificio%20adversus%20abominandam%20Pontificiae%20missae%20superstitionem&f=false
Hülsemann, Johann;1602 - 1661;http://viaf.org/viaf/37696230;Sacrificium eucharistiae christianae ab Hugonis Grotii corruptelis, et conciliatione cum sacrificio antichristiano vindicatum;Sacrificium eucharistiae christianae ab Hugonis Grotii corruptelis, et conciliatione cum sacrificio antichristiano vindicatum;1646;Leipzig;Timotheus Kiksch;Latin;Lutheranism;Eucharist;Anti-conciliarism;Disputes;;https://digital.slub-dresden.de/werkansicht/?id=5363&tx_dlf%5Bid%5D=71978&tx_dlf%5Bpage%5D=1
Hurtado, Gaspar;1575 - 1646;http://viaf.org/viaf/187587481;Tractatus de sacramentis: Complectens tractatus de eucharistia, sacrificio missae, et ordine;Tractatus de sacramentis: Complectens tractatus de eucharistia, sacrificio missae, et ordine;1629;without place;Juan de Villodas y Orduña;Latin;Catholicism;Jesuits (S.J.);Sacraments;Eucharist;Mass;https://books.google.it/books?id=pwbg64eo7DoC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false
Hutter, Leonhard;1563 - 1616;http://viaf.org/viaf/22152397;Disputatio Theologica Ordinaria De Sacrificio Romanensium Missatico, Eiusque Horrenda Abominatione;Disputatio Theologica Ordinaria De Sacrificio Romanensium Missatico, Eiusque Horrenda Abominatione;1603;Wittenberg;Zacharias Schürer;Latin;Lutheranism;Anti-Catholic controversy;Disputes;Mass;;https://digitale.bibliothek.uni-halle.de/vd17/content/titleinfo/9568407
Hutter, Leonhard;1563 - 1616;http://viaf.org/viaf/22152397;Dispvtatio XVII. Svmma Abominationis Pontificiae In Negocio Evcharistico;Dispvtatio XVII. Svmma Abominationis Pontificiae In Negocio Evcharistico;1596;Jena;Tobias Steinmann;Latin;Lutheranism;Anti-Catholic controversy;Disputes;Eucharist;;https://digitale.bibliothek.uni-halle.de/vd16/content/titleinfo/995529
Kromer, Marcin;1512 - 1589;http://viaf.org/viaf/44288262;Catecheses, Sive Institutiones Duodecim, De septem Sacramentis, et Sacrificio Missae, et de funebribus Exequijs;Catecheses, Sive Institutiones Duodecim, De septem Sacramentis, et Sacrificio Missae, et de funebribus Exequijs;1570;Köln;Maternus Cholinus;Latin;Catholicism;Anti-Protestant Controversy;Sacraments;Funerals;Mass;https://daten.digitale-sammlungen.de/0002/bsb00027864/images/index.html?fip=193.174.98.30&id=00027864&seite=1
L'Espine, Jean de;1506 - 1597;http://viaf.org/viaf/91144648395483092021;Discours du vray sacrifice et du vray sacrificateur, œuvre monstrant à l'œil, par tesmoignage de la Saincte Escripture, les abus et resveries de la messe et l'ignorance, superstition et impostures des prebstres;Discours du vray sacrifice et du vray sacrificateur, œuvre monstrant à l'œil, par tesmoignage de la Saincte Escripture, les abus et resveries de la messe et l'ignorance, superstition et impostures des prebstres;1563;Lyon;Jean Saugrain;;Protestantism;Mass;Controversy;Anti-Catholic Controversy;;
L'Espine, Jean de;1506 - 1597;http://viaf.org/viaf/91144648395483092021;Defense et confirmation du traité du vray sacrifice et sacrificateur, faict par M. Jehan de l'Espine ministre de la parolle de Dieu, à l'encontre des frivoles responses et arguments de M. René Benoist, Angevin, docteur en theologie;Defense et confirmation du traité du vray sacrifice et sacrificateur, faict par M. Jehan de l'Espine ministre de la parolle de Dieu, à l'encontre des frivoles responses et arguments de M. René Benoist, Angevin, docteur en theologie;1567;Geneva;Martin Bezart;;Pamphlets;Disputes;Mass;Controversy;;https://www.e-rara.ch/download/pdf/1751962
Laurence, Roger;1670 - 1736;http://viaf.org/viaf/71741897;The Bishop of Oxford's charge, consider'd, in reference to the independency of the church upon the state: A proper sacrifice in the sacrament of the Lord's-Supper. The nature and necessity of sacerdotal absolution. And, the invalidity of baptism, administred by persons not episcopally ordain'd...;The Bishop of Oxford's charge, consider'd, in reference to the independency of the church upon the state: A proper sacrifice in the sacrament of the Lord's-Supper. The nature and necessity of sacerdotal absolution. And, the invalidity of baptism, administred by persons not episcopally ordain'd...;1712;London;[Henry] Clements;English;Anglicanism;Christ's Sacrifice;Last Supper;Church-State Relations;Absolution;https://books.google.it/books?id=s-NbAAAAQAAJ&printsec=frontcover&dq=The+Bishop+of+Oxford%27s+charge,+consider%27d,+in+reference+to+the+independency+of+the+church+upon&hl=it&newbks=1&newbks_redir=0&sa=X&ved=2ahUKEwj048mQs7fwAhWRraQKHbNZB4QQ6AEwAHoECAMQAg#v=onepage&q=The%20Bishop%20of%20Oxford's%20charge%2C%20consider'd%2C%20in%20reference%20to%20the%20independency%20of%20the%20church%20upon&f=false
Lewis, John;1675 -1747;http://viaf.org/viaf/4939150;A vindication of the right reverend the Ld. Bishop of Norwich: from the undeserved reflections of Mr. John Johnson, in his book The unbloody sacrifice and altar unvailed and supported;A vindication of the right reverend the Ld. Bishop of Norwich: from the undeserved reflections of Mr. John Johnson, in his book The unbloody sacrifice and altar unvailed and supported;1714;London;John Morphew;English;Anglicanism;Mass;Unbloody Sacrifice;Disputes;;
Lloyd, William;1627 - 1717;http://viaf.org/viaf/51708278;An answer to the Bishop of Oxford's reasons for abrogating the test impos'd on all members of Parliament anno 1678, Octob. 30 in these words, I, A.B., do solemnly and sincerely, in the presence of God, profess, testifie, and declare, that I do believe that in the sacrament of the Lord's Supper there is not any transubstantiation of the elements of bread and wine into the body and blood of Christ, at, or after the consecration thereof by any person whatsoever, and that the invocation of adoration of the Virgin Mary, or any other saint, and the sacrifice of the Dais, as they are now used in the Church of Rome, are superstitious and idolatrous ;An answer to the Bishop of Oxford's reasons for abrogating the test impos'd on all members of Parliament anno 1678, Octob. 30 in these words, I, A.B., do solemnly and sincerely, in the presence of God, profess, testifie, and declare, that I do believe that in the sacrament of the Lord's Supper there is not any transubstantiation of the elements of bread and wine into the body and blood of Christ, at, or after the consecration thereof by any person whatsoever, and that the invocation of adoration of the Virgin Mary, or any other saint, and the sacrifice of the Dais, as they are now used in the Church of Rome, are superstitious and idolatrous ;1688;London;n. p. ;English;Anglicanism;Latitudinarianism;Mass;England;Disputes;https://ia802901.us.archive.org/31/items/answpof00lloy/answpof00lloy.pdf
Marlorat, Augustin ;1506 - 1562;http://viaf.org/viaf/32005708;Sommaire recueil des signes sacrez, sacrifices & sacremens instituez de Dieu;Sommaire recueil des signes sacrez, sacrifices & sacremens instituez de Dieu;1561;Lyon;Jean Saugrain;French;Calvinism;Mass;Biblical Commentaries;;;https://play.google.com/store/books/details?id=UtU7AAAAcAAJ&rdid=book-UtU7AAAAcAAJ&rdot=1
Pareus, David;1548 - 1622;http://viaf.org/viaf/66521049;Aphorismi Papistici & Iesuitici De S. Eucharistia Et De Sacrificio Missae Roberti Bellarmini Iesuitae Disputationibus & Concilii Tridentini Decretis praecipue aßerti;Aphorismi Papistici & Iesuitici De S. Eucharistia Et De Sacrificio Missae Roberti Bellarmini Iesuitae Disputationibus & Concilii Tridentini Decretis praecipue aßerti;1609;Heidelberg;Lancellotus;Latin;Anti-Catholic Controversy;Lutheranism;Disputes;Mass;Controversy;https://books.google.it/books/download/Aphorismi_Papistici_Iesuitici_De_S_Eucha.pdf?id=cERjY6LVzesC&hl=it&capid=AFLRE71dKguqJeJmc2M8RDmZ0fbN1QRp6lhA7vlBVrQ32aVIohJ2wiFWdX-oPGLO3Pcg6tCFYxSoinrBovUc5qQh7ZnKnBppGA&continue=http://books.google.com/books/download/Aphorismi_Papistici_Iesuitici_De_S_Eucha.pdf%3Fid%3DcERjY6LVzesC%26output%3Dpdf%26hl%3Dit&redir_esc=y
Parker, Samuel;1640 - 1688;http://viaf.org/viaf/79251518;Reasons for abrogating the test imposed upon all members of Parliament, anno 1678, Octob. 30 in these words, I A.B. do solemnly and sincerely, in the presence of God, profess, testifie, and declare, that I do believe that in the Sacrament of the Lord's Supper there is not any transubstantiation of the elements of bread and wine into the body and blood of Christ, at, or after the consecration thereof by any person whatsoever, and that the invocation or adoration of the Virgin Mary, or any other saint, and the sacrifice of the mass, as they are now used in the Church of Rome, are superstitious and idolatrous : first written for the author's own satisfaction, and now published for the benefit of all others whom it may concern;Reasons for abrogating the test imposed upon all members of Parliament, anno 1678, Octob. 30 in these words, I A.B. do solemnly and sincerely, in the presence of God, profess, testifie, and declare, that I do believe that in the Sacrament of the Lord's Supper there is not any transubstantiation of the elements of bread and wine into the body and blood of Christ, at, or after the consecration thereof by any person whatsoever, and that the invocation or adoration of the Virgin Mary, or any other saint, and the sacrifice of the mass, as they are now used in the Church of Rome, are superstitious and idolatrous : first written for the author's own satisfaction, and now published for the benefit of all others whom it may concern;1688;London;Henry Bonwicke;English;Anglicanism;Latitudinarianism;Mass;England;Disputes;https://ota.bodleian.ox.ac.uk/repository/xmlui/bitstream/handle/20.500.12024/A56393/A56393.html?sequence=5&isAllowed=y
Pelecyus, Johannes;1545 - 1623;http://viaf.org/viaf/15113058;De Augustissimo Eucharistiae Sacramento Et Sacrificio Theologica Disputatio;De Augustissimo Eucharistiae Sacramento Et Sacrificio Theologica Disputatio;1588;Dillingen an der Donau;Ioannes Mayer;Latin;Catholicism;Jesuits (S.J.);Eucharist;Disputes;Theology;https://download.digitale-sammlungen.de/BOOKS/download.pl?id=bsb00037084
Peltanus, Theodoor Anton;1511 - 1584;http://viaf.org/viaf/256463;Disputatio de Eucharistiae sacramento et missae sacrificio per theses explicata publiceque defensa (respondente Sebastiano Faber);Disputatio de Eucharistiae sacramento et missae sacrificio per theses explicata publiceque defensa (respondente Sebastiano Faber);1566;Ingolstadt;"[Alexander] Weissenhorn ; [Samuel] Weissenhorn";Latin;Catholicism;Jesuits (S.J.);Eucharist;Disputes;Mass;https://books.googleusercontent.com/books/content?req=AKW5Qacc0ky-PlUhMNl5yCpCZz9DkSIncQ6TAFYUga8luMnbeFSWOiVMEeiLS1c6MEvEU7CkC8rmsAGyORz0-1E-f3n7IYsMWCluYfGcZ_0YliM5Uv--Cz2Koi2VZ-8x9ZV9NUtFemJD6tYYlU-gpCX9Q9BaeLjbQmWWEK6B3JiTvwtv5teUrQ5bdLBqLvOx0r9wpmY0Jowbubt1MjLcI2LfIAYsj-GvBIIy6KQUmQDdctTlaJT59Nw5B-s_6Ua07Y2D9ZhpLL_OVICUxvu1eFPTQ64TedoKprVn7jc8AxFE5pbgKV4jZNE
Pendlebury, Henry;1626 - 1695;http://viaf.org/viaf/71740808;Sacrificium missaticum mysterium iniquitatis or, A treatise concerning the sacrifice of mass;Sacrificium missaticum mysterium iniquitatis or, A treatise concerning the sacrifice of mass;1768;London;[William] Griffin;English;Puritanism;Mass;Eucharist;Anglicanism;;https://ia800205.us.archive.org/21/items/cu31924029398629/cu31924029398629.pdf
Persons, Robert;1546 - 1610;http://viaf.org/viaf/76338717;A review of ten publike disputations or conferences held within the compasse of foure years, under King Edward and Queen Mary concerning same principall points in religion, especially of the sacrament and sacrifice of the altar ;A review of ten publike disputations or conferences held within the compasse of foure years, under King Edward and Queen Mary concerning same principall points in religion, especially of the sacrament and sacrifice of the altar ;1604;Saint Omer;François Bellet;English;Catholicism;Jesuits (S.J.);Sacraments;Mass;England;https://books.google.it/books/download/A_review_of_ten_publike_disputations_or.pdf?id=JxUDAAAAcAAJ&hl=it&capid=AFLRE73-Jlo-PjtclZVTS1BHC22Ox7UFA_Vx6erWjJdhzrrwmGbX3itAEgEwAZ3vvdVngxJxFQX-Z_bDUJRvyj91dC0diiKmeQ&continue=http://books.google.com/books/download/A_review_of_ten_publike_disputations_or.pdf%3Fid%3DJxUDAAAAcAAJ%26output%3Dpdf%26hl%3Dit&redir_esc=y
La Place, Josué de;1596 - 1655;http://viaf.org/viaf/290263166;Examen des raisons pour et contre le sacrifice de la messe pour servir d'eschantillon du vray moyen de nous reünir en mesme religion;Examen des raisons pour et contre le sacrifice de la messe pour servir d'eschantillon du vray moyen de nous reünir en mesme religion;1639;n. p. ;Isaac Desbordes;French;Theology;Bible, Old Testament;Bible, New Testament;Mass;Eucharist;https://books.google.it/books?id=SIGU8w-NKsQC&printsec=frontcover&redir_esc=y#v=onepage&q&f=false
