AUTORE,TITLE or subject,ANNO,PROVENIENZA,LUOGO DI CONSERVAZIONE,KEY WORD 1, KEY WORDS 2,KEY WORDS 3,KEY WORDS 4,KEY WORDS 5,LINKS,FORMATO,TOPIC,TOPIC,TOPIC,NOTES FOR INTERNAL USE,Responsible
"Eeckhout, Gerbrand van den","Johannes Pistorius aen een pael 
verbrandt, sijn borst openende op
dat de Beul het bus-poederdaer op
sounde stroyen. ",1659,"Adriaen Cornelis van 
Haemstede, 
Historie der martelaren, fol. 
69, ed. 1659",Ghent University,Martyrology,Lutheran,Jan de Bakker,Netherlands,,https://drive.google.com/file/d/1AiI01PEUrdT6IhfNTan6PNvZwQFlJq4m/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Eeckhout, Gerbrand van den","Thomas Bilney sijn vinger ettelicke 
maael in de keers stekende, omsijn
vleesch alsoo in 't toekomende 
lijden tot den brandt te beteyden. ",1659,"Adriaen Cornelis van 
Haemstede, 
Historie der martelaren, fol. 
77, ed. 1659",Ghent University,Martyrology,Lutheran,English Reformation ,Tudor England,Henry VIII,https://drive.google.com/file/d/17fNUn1TS8E03OS6Wu6ynDH95P7RwrDNC/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Eeckhout, Gerbrand van den","Johannes Frythus ende Andreis 
Hewet ruggelings aen malkanderen
door het vyer gemarteliseert, tot
Londen.  ",1659,"Adriaen Cornelis van 
Haemstede, Historie der 
martelaren, fol. 79, ed. 1659 ",Ghent University,Martyrology,English Reformation ,John Frith,Andrew Hewet,Henry VIII,https://drive.google.com/file/d/1HiGXzejXWpaMMnG46R05EgPlvPm__5VG/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Eeckhout, Gerbrand van den","Gerard Moyart, ende Pieter de 
Muelen, tot Pamele levendig 
verbrandt.  ",1659,"Adriaen Cornelis van 
Haemstede, Historie der 
martelaren, fol. 457, ed. 
1659 ",Ghent University,Martyrology,Anabaptist,Belgium ,"Pieter van der 
Meulen",,https://drive.google.com/file/d/1aejNx8iiGeMaS5AapG-90mGto2Ji13Bc/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,"Hieronimus van Praga
",1604,"Adriaen Cornelis van 
Haemstede, De historien 
de vrome martelaren, p. 
82, ed. 1609",Bibliotheek Rotterdam,Martyrology,Jerome of Prague,Hussite,Bohemia,Council of Constance,https://drive.google.com/file/d/1ZpAK9uOZYmGuouAqrJh_UAYY93X3fpjS/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,Henricus Zudphen,1604,"Adriaen Cornelis van 
Haemstede, De historien 
de vrome martelaren, p. 
100, ed. 1609",Biblotheek Rotterdam,Martyrology,Lutheran,Heinrich von Zütphen,Augustinian,,https://drive.google.com/file/d/1ZCK7_p-92g7wFiQWSNDL40HjHFa62qg7/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,Jan de Backer van Woerde,1604,"Adriaen Cornelis van 
Haemstede, De historien 
de vrome martelaren, p. 
104, ed. 1609",Bibliotheek Rotterdam,Martyrology,Lutheran,Netherlands,Jan de Bakker,Johannes Pistorius,https://drive.google.com/file/d/1SA8a2zE3Gyx7OmH9zi6Qup_2pEoOZki9/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,"Petrus Fliesteden / ende Adolf
Clarenbach",1604,"Adriaen Cornelis van 
Haemstede, De historien 
de vrome martelaren, p. 
122, ed. 1609",Bibliotheek Rotterdam,Martyrology,Lutheran,Cologne,Anabaptist,,https://drive.google.com/file/d/1euMGetTlmHRYiTqu9DqtvmGFocF2OFzA/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Anonymous,Johannes Mollius,1604,"Adriaen Cornelis van 
Haemstede, De historien 
de vrome martelaren, p. 
295, ed. 1609",Bibliotheek Rotterdam,Martyrology,Italian Reformation ,Giovanni Buzio ,Franciscan,Giovanni Teodori ,https://drive.google.com/file/d/19Xsoxzo2XB9gP9nQ7h7lyVg58TlefMEp/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,"Giovanni Buzio (il Mollio) 
da Montalcino;
Giovanni Teodori 
(Perugiono, Tisserano)  ",Martinuzzi
Anonymous,Bertrand de Blas,1604,"Adriaen Cornelis van 
Haemstede, De historien 
de vrome martelaren, p. 
346, ed. 1609",Bibliotheek Rotterdam,Martyrology,Bertrand le Blas,Protestant,Holy Roman Empire,,https://drive.google.com/file/d/1MVo6WTauIsg_ilq0UDtvgl5Kfr3XD-J2/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Sichem, Christoffel van","Michael Servetus Hispanicus de 
Aragonia",1609,"Michael Servetus een 
Spangiard Amsterdam, 
1607",The University of Edinburgh ,Heretic,Geneva,John Calvin ,Anti-Trinitarian ,Michael Servetus,https://drive.google.com/file/d/1p1KXhAGTT0NL8WUaeQNUMvzN51R8neI4/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Sichem, Christoffel van","Balthasar Hubmor Doctor von 
Fridberg",1609,Unknown,Wien Museum ,Anabaptist,Vienna,Balthasar Hubmaier,Heretic,,https://drive.google.com/file/d/1_MA_QZ5xrvS-bQLLWRa9v877rQZHmHcW/view?usp=sharing,PNG,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
"Sichem, Christoffel van","Tomas. Muncer Prediger zu Alstet 
in Duringen.",1608,Unknown,"Rijksmuseum, Amsterdam","German Peasants'
War",Holy Roman Empire,Radical Reformation ,Thomas Müntzer,Martin Luther,https://drive.google.com/file/d/1-Jb80Y1mnBPn2GoCkR6Xingk0418Kt3C/view?usp=sharing,,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Hans Koch en 
Leonhard Meysler",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, 
p. 1;  ed. 1685
","Rijksmuseum, Amsterdam ",Martyrology,Waldensian ,Holy Roman Empire,Augsburg,Anabaptist,https://drive.google.com/file/d/1BQj2sBmUXhHgyoZl2xSkpRlLZmKAyNUY/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Leonhard 
Kayser. Scharding, 
1527",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
10;  ed. 1685
","Rijksmuseum, Amsterdam ",Martyrology,Lutheran,Holy Roman Empire,,,https://drive.google.com/file/d/106Wu1MH88Ro0gTRCLzmb4C2Zgtcb8qnk/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of 18 
Persons in Salzburg, 
1528",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
17;  ed. 1685
","Rijksmuseum, Amsterdam ",Martyrology,Salzburg,Anabaptist,,,https://drive.google.com/file/d/1oXj9V7MO3fQ0CqLV7uWoCan4qBy57SEF/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE 

Burning of Leonhard 
Bernkopff. 
Salzburg, 1542",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
63; ed. 1685
","Rijksmuseum, Amsterdam ",Martyrology,Salzburg,Anabaptist,,,https://drive.google.com/file/d/14iWSF8pFjGbRcou7mj77tYeGaNVS49IY/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Maria van Beckum, 
en Ursel, haers 
Broeders Wijf. 1544",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
65;  ed.  1685","Rijksmuseum, Amsterdam ",Martyrology,Anabptist,Netherlands,Women Martyrs,,https://drive.google.com/file/d/1Q0Ft2NbLvgJo84_NkpiB7-fMCjRks6tA/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Capture of Hans van 
Overdam. Ghent, 
1550 ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
89;  ed.  1685","Rijksmuseum, Amsterdam ",Martyrology,Anabptist,Flanders,Ghent,,https://drive.google.com/file/d/1iBCdZ_KBzfOzlkkH7mU8iY7mJZJ56IQJ/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Johan Knel of 
Buchner, en Anna 
Cantiana. 1550",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
99; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabptist,Mennonite,Tudor England,Mary Tudor,https://drive.google.com/file/d/1DKHRMt7zGo4o6hJA4TiIt9BahgeAe7h5/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Twee jonge 
Maegdekens, ontrent 
Anno 1550.",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
103; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabptist,Holy Roman Empire,Women Martyrs,Bamberg,https://drive.google.com/file/d/1FRLMiwl7R-h7qFlfOKr083fFqO5hfwLY/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Maria van Monjou. 
1552.",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
131; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Holy Roman Empire,Women Martyrs,,https://drive.google.com/file/d/1HCoh6cUYzFMF2Bwl-cDQc74QMvP5cmPy/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Anneken Jans uyt 
den Briel, 
verdronken tot 
Rotterdam, met, en 
Beneffens Christina 
Michiel Barents van 
Leuven, op den 23. 
January, Anno 1539.    ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
143; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,Women Martyrs,David Joris,https://drive.google.com/file/d/1FkyriYf2URpRfausqPn2307AXH8e56gS/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Simon den Kramer, 
Anno 1553. ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
149; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,,,https://drive.google.com/file/d/1D_rMiu1inweuWsm46y1xy7UvaQJkUOes/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of David van 
der Leyen and 
Levina Ghyselius. 
Ghent, 1554 ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
161; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Flanders,Women Martyrs,,https://drive.google.com/file/d/18GjwdLdNmHKDzC0mBenG4db0cuexSn9x/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Joriaen 
Simonsz, Clement 
Dirksz, and Mary 
Joris. Haarlme, 1557",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
179; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,Women Martyrs,,https://drive.google.com/file/d/1XcnVTQxQ3bL8vJ8q07Yg0AycZsnvi3G5/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Algerius. 
Rome, 1557",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
189; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Rome,Italian Anabaptism ,,https://drive.google.com/file/d/1SyCYe7ov6WbIkhz2Yy83c8Jg66DIir8e/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Joris Wippe, 
Joostens soon, tot 
Dordrecht gedood. 
1558",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
203; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,,,https://drive.google.com/file/d/17tApmLMOLoBmJAwbFIC4V6w3eSNAU-lL/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Jan 
Durps (Bosch). 
Maastricht, 1559",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
259; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,,,https://drive.google.com/file/d/12BS_hGQb_1jtbqYik39bnvvb5G_s0SKP/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Drowning of 
Lenaert Plovier, 
Janneken van Aken, 
and Maeyken de 
Hont. Antwerp, 1560 ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
271; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Flanders,Women Martyrs,,https://drive.google.com/file/d/1cfC4fjcGZ0H5Ef82FWcOm31pbbzhFQ11/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Torture of Joost 
Joonsen. Veere, 
1560",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
283; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,,,https://drive.google.com/file/d/1jJVSMg6yokPLclWD0YmjuVNMggSNWLz0/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Hendrik 
Eemkens. Utrecht, 
1562",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
295; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,,,https://drive.google.com/file/d/1Te4iS5YGeVmW1PsC4IL93a_b9mYcQkuk/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Beheading of 
Matthias Servaes 
von Ottenheim. 
Cologne, 1565",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
327; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Holy Roman Empire,,,https://drive.google.com/file/d/1hUYLZjIl5a-uXEivlThLWiTGNuyJYnCx/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Cristiaen Langedul, 
Cornelis Claesz, 
Mattheus de Vik, en 
Hans Symonsz. 1567.",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
345; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Flanders,,,https://drive.google.com/file/d/1aq27ZqJNydVWONfImmDab8y2O6xd9xfv/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Jacob 
Dirks and his sons 
Adries Jacobsz and 
Hans Jacobsz. 
Antwerp, 1568",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
371; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Flanders,Antwerp ,,https://drive.google.com/file/d/1aq27ZqJNydVWONfImmDab8y2O6xd9xfv/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Pieter Pietersz 
Bekjen, om het 
getuygenis Jesu 
Christi, tot Amsterdam 
levendigh verbrandt, 
op den 26. Februarij, 
Anno 1569.    ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
385; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,Amsterdam,,https://drive.google.com/file/d/1Zcce70Qt1di1i3jGit2MhWq--rKr5OGc/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Willem 
Jansz. Amsterdam, 
1569",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
491; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,Amsterdam,,https://drive.google.com/file/d/1nKEFIiR73Gz6aQC0voXIl8QaSAej9P60/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Torture of Ursel. 
Maastricht, 1570",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
503; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,Women Martyrs,,https://drive.google.com/file/d/1M1zFwIfjbRp8K9io5FSJX83ZpfFeS0Ue/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Burning of Anneken 
Hendriks. 
Amsterdam, 1571",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
539; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Mennonite,Netherlands,Women Martyrs,,https://drive.google.com/file/d/1h104dyTOfx0iqhK3rEiED8OA1U8Kb8d9/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Beheading of Wolf 
Binder. Schärding, 
1571",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
540; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Hutterite,Holy Roman Empire,,,https://drive.google.com/file/d/1sFQnrKAfExc_cvEcq9i1e8VlaSCq-NUN/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Execution of Harmen
 de Verwer and  five 
other Anabaptist. 
Deventer, 1571",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
553; ed. 1685","Rijksmuseum, Amsterdam ",Martyrology,Anabaptist,Netherlands,Women Martyrs,,https://drive.google.com/file/d/1h5S9fR8ijDm0fbpJytMPoEu4Q7bxuc50/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Beheading of Hans 
Wiesel. Warthausen, 
1571",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
561; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Holy Roman Empire,,,,https://drive.google.com/file/d/1NtGjS_o6oMEWMddr6PS5tZLk63nPW9OE/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Execution of Jan 
Woutersz van Cuyck
and of Adriaenken 
Jansdochter",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
567; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Mennonite,Netherlands,Women Martyrs,,https://drive.google.com/file/d/1R2DK4PnQWN3LqF3d96fhATxRDxN1DSe5/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Torture of Geleyn 
Conrelis. Breda, 
1572",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
605; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Mennonite,Nethelands,Duke of Alba,,https://drive.google.com/file/d/1-TBMJ4LPeXfSeZZdydgzsfBkAnmscvif/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE 

Hanging of Jan Smit 
from the gallows",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
641; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Anabaptist,Netherlands,Duke of Alba,,https://drive.google.com/file/d/1_W-wF76bLHPQDR-pCFTx5acoXBfqWwBL/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Maeyken Wens (met 
eenige van hare 
Medegenooten) om 
het getuygenisse 
Jesu Christi, tot 
Antwerpen verbrant. 
1573. ",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
661; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Anabaptist,Antwerp ,Women Martyrs,,https://drive.google.com/file/d/19XLx1mACiGmulV8ie5cMYDgrritPA-Li/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Hendrik Pruyt, Anno 
1574",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
691; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Mennonite,Netherlands,Duke of Alba,,https://drive.google.com/file/d/1A2FWqJlRkaOTnRysMpOXmBPjKFMfLHUu/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"NO TITLE

Torture of Hans Bret. Antwerp, 1576",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
729; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Anabaptist,English,Antwerp,,https://drive.google.com/file/d/1ePnGo_aVALQJzejZMa8M78GFdUKy_W22/view?usp=sharing,,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
Jan Luyken,"Louwerens Jansz Nooddruft van 
Delft. 1577",1685,"Tieleman Jansz van Braght, 
Martyrs' Mirror, book 2, p. 
747; ed. 1685","Rijksmuseum, Amsterdam",Martyrology,Anabaptist,Netherlands,,,https://drive.google.com/file/d/1Vwgl9FLvMg-IJRZwQTR8sKq21dBKJmtA/view?usp=sharing,jpg,6. Sacrifices of self: Martyrology after Reformation (16th-18th century),,,,Martinuzzi
